state,District Code,District Name,School Code,School Name,individual_isp,proxy_isp,claiming_isp,participating_in_cep,total_enrolled,total_eligible
ak,00301,Alaska Gateway School District,030010,Dot Lake School                               ,40.00%,,72.67%,Y,10,4
ak,00301,Alaska Gateway School District,030020,Eagle Community School              ,58.33%,,72.67%,Y,12,7
ak,00301,Alaska Gateway School District,030030,Mentasta Lake School                      ,97.29%,,72.67%,Y,37,36
ak,00301,Alaska Gateway School District,030050,Tanacross School,70.00%,,72.67%,Y,10,7
ak,00301,Alaska Gateway School District,030070,Tetlin School,95.34%,,72.67%,Y,43,41
ak,00301,Alaska Gateway School District,030060,Tok School                                       ,66.85%,,72.67%,Y,175,117
ak,00301,Alaska Gateway School District,030040,Walter Northway School                  ,81.25%,,72.67%,Y,48,39
ak,00501,Anchorage School District,050010,Abbott Loop Elementary,44.44%,,44.24%,Y,270,120
ak,00501,Anchorage School District,050020,Airport Heights Elementary,56.74%,,59.13%,Y,289,164
ak,00501,Anchorage School District,050030,Klatt Elementary,35.77%,,46.61%,Y,369,132
ak,00501,Anchorage School District,050050,Bartlett High School,38.43%,,47.87%,Y,1293,497
ak,00501,Anchorage School District,050060,Baxter Elementary,41.05%,,50.43%,Y,246,101
ak,00501,Anchorage School District,050070,Birchwood ABC Elementary,15.06%,,,N,219,33
ak,00501,Anchorage School District,050080,Campbell Elementary,31.08%,,,N,415,129
ak,00501,Anchorage School District,050100,Central Middle School of Science,48.25%,,44.24%,Y,344,166
ak,00501,Anchorage School District,050110,Chester Valley Elementary,43.93%,,47.87%,Y,264,116
ak,00501,Anchorage School District,050120,Chinook Elementary,43.72%,,50.43%,Y,462,202
ak,00501,Anchorage School District,050130,Chugach Optional Elementary,9.41%,,,N,223,21
ak,00501,Anchorage School District,050140,Gruening Middle School,10.22%,,,N,499,51
ak,00501,Anchorage School District,050150,Chugiak Elementary,12.52%,,,N,439,55
ak,00501,Anchorage School District,050160,Chugiak High School,12.98%,,,N,853,111
ak,00501,Anchorage School District,050170,College Gate Elementary,32.80%,,46.61%,Y,381,125
ak,00501,Anchorage School District,050180,Creekside Park Elementary,47.98%,,50.43%,Y,398,191
ak,00501,Anchorage School District,050190,Denali Montessori Elementary,38.88%,,,N,396,154
ak,00501,Anchorage School District,050200,Dimond High School,17.78%,,,N,1361,242
ak,00501,Anchorage School District,050210,Eagle River Elementary,20.91%,,,N,306,64
ak,00501,Anchorage School District,050220,East High School,43.11%,,59.13%,Y,1619,698
ak,00501,Anchorage School District,050240,Aurora Elementary,1.99%,,,N,301,6
ak,00501,Anchorage School District,050250,Orion Elementary School,0.75%,,,N,266,2
ak,00501,Anchorage School District,050300,Etheldra Davis Fairview Elementary,70.25%,,59.13%,Y,353,248
ak,00501,Anchorage School District,050340,Ursa Major Elementary,1.38%,,,N,432,6
ak,00501,Anchorage School District,050350,Ursa Minor Elementary,1.91%,,,N,314,6
ak,00501,Anchorage School District,050360,Girdwood School,5.34%,,,N,187,10
ak,00501,Anchorage School District,050370,Gladys Wood Elementary,38.20%,,46.61%,Y,335,128
ak,00501,Anchorage School District,050380,Government Hill Elementary,27.19%,,46.61%,Y,467,127
ak,00501,Anchorage School District,050400,Homestead Elementary,10.99%,,,N,282,31
ak,00501,Anchorage School District,050420,Huffman Elementary,11.93%,,,N,352,42
ak,00501,Anchorage School District,050430,Inlet View Elementary,21.35%,,,N,206,44
ak,00501,Anchorage School District,050450,Lake Otis Elementary,43.68%,,46.61%,Y,335,146
ak,00501,Anchorage School District,050480,Mountain View Elementary,67.21%,,59.13%,Y,302,203
ak,00501,Anchorage School District,050490,Muldoon Elementary,62.44%,,59.13%,Y,466,291
ak,00501,Anchorage School District,050500,North Star Elementary,63.45%,,59.13%,Y,394,250
ak,00501,Anchorage School District,050510,Northern Lights ABC K-8 School,15.26%,,,N,557,85
ak,00501,Anchorage School District,050520,Northwood ABC,41.72%,,46.61%,Y,290,121
ak,00501,Anchorage School District,050530,Nunaka Valley Elementary,34.72%,,50.43%,Y,216,75
ak,00501,Anchorage School District,050540,O'Malley Elementary,8.08%,,,N,334,27
ak,00501,Anchorage School District,050550,Ocean View Elementary,29.38%,,,N,405,119
ak,00501,Anchorage School District,050560,Clark Middle School,59.54%,,59.13%,Y,885,527
ak,00501,Anchorage School District,050580,Ptarmigan Elementary,43.37%,,50.43%,Y,332,144
ak,00501,Anchorage School District,050590,Rabbit Creek Elementary,12.59%,,,N,413,52
ak,00501,Anchorage School District,050600,Rogers Park Elementary,17.03%,,,N,411,70
