state,District Code,District Name,School Code,School Name,individual_isp,proxy_isp,claiming_isp,participating_in_cep,total_enrolled,total_eligible
al,102-0000,Alexander City Board of Education,102-0010,Alexander City Middle Sch,42.29%,,47.08%,Y,329,139
al,102-0000,Alexander City Board of Education,102-0020,Benjamin Russell High Sch,32.01%,,47.08%,Y,342,109
al,102-0000,Alexander City Board of Education,102-0030,Jim Pearson Elem School,57.52%,,47.08%,Y,199,114
al,102-0000,Alexander City Board of Education,102-0040,Nathaniel H Stephens Elem,54.68%,,47.08%,Y,586,320
al,102-0000,Alexander City Board of Education,102-0050,William L Radney Elem Sch,51.42%,,47.08%,Y,502,258
al,105-0000,Anniston City Board of Education,105-0010,Anniston High School,64.09%,,75.39%,Y,232,149
al,105-0000,Anniston City Board of Education,105-0015,Anniston Middle School,73.20%,,75.39%,Y,528,386
al,105-0000,Anniston City Board of Education,105-0025,Cobb Pre-K Academy,89.26%,,75.39%,Y,260,232
al,105-0000,Anniston City Board of Education,105-0030,Constantine Elementary Sch,0.00%,,75.39%,Y,449,0
al,105-0000,Anniston City Board of Education,105-0060,Golden Springs Elem School,74.75%,,75.39%,Y,236,176
al,105-0000,Anniston City Board of Education,105-0110,Randolph Park Elem School,80.18%,,75.39%,Y,221,177
al,105-0000,Anniston City Board of Education,105-0130,Tenth St Elementary School,0.00%,,75.39%,Y,197,0
al,003-0000,Barbour County Board of Education,003-0020,Barbour County High School,70.74%,,76.37%,Y,625,442
al,003-0000,Barbour County Board of Education,003-0025,Barbour County  Primary School,87.59%,,76.37%,Y,584,512
al,003-0000,Barbour County Board of Education,003-0035,Barbour County Intermediate School,77.01%,,76.37%,Y,314,242
al,113-0000,Bessemer City Board of Education,113-0015,Abrams Elementary School,83.40%,,71.31%,Y,311,259
al,113-0000,Bessemer City Board of Education,113-0040,Bessemer City Middle School,72.03%,,71.31%,Y,144,104
al,113-0000,Bessemer City Board of Education,113-0060,Greenwood Elementary School,57.36%,,71.31%,Y,266,153
al,113-0000,Bessemer City Board of Education,113-0065,Charles F Hard Elem Sch,87.37%,,71.31%,Y,648,566
al,113-0000,Bessemer City Board of Education,113-0080,Bessemer City High School,64.99%,,71.31%,Y,225,146
al,113-0000,Bessemer City Board of Education,113-0090,Jonesboro Elementary School,72.53%,,71.31%,Y,277,201
al,113-0000,Bessemer City Board of Education,113-0095,New Horizon/Alt Spec. Ed.,0.00%,,71.31%,Y,603,0
al,113-0000,Bessemer City Board of Education,113-0120,Westhills Elementary School,67.10%,,71.31%,Y,499,335
al,114-0000,Birmingham City Board of Education,114-0010,Avondale Elementary School ,64.45%,,69.67%,Y,228,147
al,114-0000,Birmingham City Board of Education,114-0040,Barrett Elementary School,81.95%,,69.67%,Y,281,230
al,114-0000,Birmingham City Board of Education,114-0045,Bush Hills Academy ,78.38%,,69.67%,Y,241,189
al,114-0000,Birmingham City Board of Education,114-0050,Charles A Brown Elem School,83.79%,,69.67%,Y,412,345
al,114-0000,Birmingham City Board of Education,114-0095,George Washington Carver H School,65.65%,,69.67%,Y,,
al,114-0000,Birmingham City Board of Education,114-0110,Central Park Elementary Sch,79.07%,,69.67%,Y,,
al,114-0000,Birmingham City Board of Education,114-0130,Christian Alternative Sch,50.53%,,69.67%,Y,,
al,114-0000,Birmingham City Board of Education,114-0212,EPIC School,45.25%,,69.67%,Y,,
al,114-0000,Birmingham City Board of Education,114-0250,Oliver K-5 School,84.37%,,69.67%,Y,317,267
al,114-0000,Birmingham City Board of Education,114-0270,Glen Iris Elementary School,55.67%,,69.67%,Y,,
al,114-0000,Birmingham City Board of Education,114-0320,Green Acres Middle School,77.61%,,69.67%,Y,,
al,114-0000,Birmingham City Board of Education,114-0331,New Hayes K 8,86.93%,,69.67%,Y,,
al,114-0000,Birmingham City Board of Education,114-0340,Hemphill Elementary School,81.42%,,69.67%,Y,473,385
al,114-0000,Birmingham City Board of Education,114-0370,Hudson Elementary School,81.20%,,69.67%,Y,912,741
al,114-0000,Birmingham City Board of Education,114-0380,Huffman Middle School-Magnt,63.57%,,69.67%,Y,384,244
al,114-0000,Birmingham City Board of Education,114-0390,Huffman High School-Magnet,59.13%,,69.67%,Y,356,211
al,114-0000,Birmingham City Board of Education,114-0395,Huffman Academy,68.04%,,69.67%,Y,536,365
