state,District Code,District Name,School Code,School Name,individual_isp,proxy_isp,claiming_isp,participating_in_cep,total_enrolled,total_eligible
ar,6040700,Academics Plus Public Charter School  District,6040703,Maumelle Charter High ,2.31%,,,N,648,15
ar,6040700,Academics Plus Public Charter School  District,6040704,Scott Charter,14.35%,,,N,209,30
ar,6040700,Academics Plus Public Charter School  District,6040702,Maumelle Charter Elementary,4.74%,,,N,822,39
ar,1701000,Alma School District,1701001,Alma Intermediate School,31.12%,,,N,707,220
ar,1701000,Alma School District,1701002,Alma High School,26.94%,,,N,980,264
ar,1701000,Alma School District,1701003,Alma Middle School,30.47%,,,N,745,227
ar,1701000,Alma School District,1701004,Alma Primary School,33.38%,,,N,722,241
ar,0501000,Alpena School District,0501001,Alpena Elementary School,22.98%,,,N,232,53
ar,0501000,Alpena School District,0501002,Alpena High School,18.60%,,,N,226,42
ar,1002000,Arkadelphia School District,1002007,Perritt Primary School,37.85%,,,N,502,190
ar,1002000,Arkadelphia School District,1002008,Peake Elementary School,34.71%,,,N,412,143
ar,1002000,Arkadelphia School District,1002009,Goza Middle School ,26.44%,,,N,416,110
ar,1002000,Arkadelphia School District,1002010,Arkadelphia High School ,20.53%,,,N,570,117
ar,0440700,Arkansas Arts Academy ,0440701,Arkansas Arts Academy  Elementary/Middle School,12.32%,,,N,568,70
ar,0440700,Arkansas Arts Academy ,0440703,Arkansas Arts Academy  High School,10.55%,,,N,597,63
ar,6050700,Arkansas Lighthouse Academies Charter School District,6050707,Capital City Lighthouse Charter ,65.77%,,52.85%,Y,142,93
ar,6050700,Arkansas Lighthouse Academies Charter School District,6050701,Jacksonville Lighthouse Elementary ,59.19%,,52.85%,Y,376,223
ar,6050700,Arkansas Lighthouse Academies Charter School District,6050705,Flightline Upper Academy Campus ,18.71%,,52.85%,Y,126,24
ar,6050700,Arkansas Lighthouse Academies Charter School District,6050703,Jacksonville Lighthouse High School School,48.11%,,52.85%,Y,280,135
ar,6050700,Arkansas Lighthouse Academies Charter School District,6050704,Pine Bluff Lighthouse Elementary School              ,61.07%,,52.85%,Y,147,90
ar,6050700,Arkansas Lighthouse Academies Charter School District,6050708,Pine Bluff Lighthouse Middle School         ,51.85%,,52.85%,Y,68,35
ar,6091000,Arkansas School for the Blind,6091001,Arkansas School for the Blind Elementary School,42.86%,,40.66%,Y,45,19
ar,6091000,Arkansas School for the Blind,6091002,Arkansas School for the Blind High School,18.18%,,40.66%,Y,46,8
ar,6092000,Arkansas School for the Deaf,6092004,AR School for the Deaf,34.95%,,,N,103,36
ar,4701000,Armorel School District,4701001,Armorel Elementary School,17.95%,,,N,234,42
ar,4701000,Armorel School District,4701002,Armorel High School,14.50%,,,N,200,29
ar,4101000,Ashdown School District,4101003,Ashdown Junior High School,36.39%,,,N,305,111
ar,4101000,Ashdown School District,4101004,Ashdown High School,30.71%,,,N,381,117
ar,4101000,Ashdown School District,4101006,Ashdown Elementary School,41.14%,,,N,598,246
ar,5801000,Atkins School District,5801001,Atkins Elementary School,36.99%,,,N,365,135
ar,5801000,Atkins School District,5801002,Atkins High School,25.94%,,,N,293,76
ar,5801000,Atkins School District,5801003,Atkins Middle School,30.22%,,,N,321,97
ar,7401000,Augusta School District,7401001,Augusta Elementary School,60.44%,,60.66%,Y,225,136
ar,7401000,Augusta School District,7401003,Augusta High School,52.73%,,60.66%,Y,136,72
ar,7301000,Bald Knob School District,7301001,H.L. Lubker Elementary School ,61.55%,,,N,489,301
ar,7301000,Bald Knob School District,7301003,Bald Knob High School,53.87%,,,N,362,195
ar,7301000,Bald Knob School District,7301004,Bald Knob Middle School,59.15%,,,N,284,168
ar,5401000,Barton School District,5401002,Barton Elementary School,54.28%,,54.93%,Y,391,212
ar,5401000,Barton School District,5401003,Barton High School,51.64%,,54.93%,Y,319,165
ar,3201000,Batesville School District,3201003,West Magnet Elementary School,45.15%,,,N,536,242
ar,3201000,Batesville School District,3201004,Batesville Junior High,33.29%,,,N,778,259
ar,3201000,Batesville School District,3201009,Eagle Mt Magnet Elementary School ,28.57%,,,N,938,268
ar,3201000,Batesville School District,3201042,Sulphur Rock Magnet Elementary School,27.08%,,,N,277,75
ar,3201000,Batesville School District,3201703,Batesville High School,24.64%,,,N,966,238
ar,6301000,Bauxite School District,6301001,Pine Haven Elementary School,17.38%,,,N,725,126
ar,6301000,Bauxite School District,6301002,Bauxite High School,10.39%,,,N,433,45
ar,6301000,Bauxite School District,6301003,Bauxite Middle School,15.26%,,,N,367,56
ar,6301000,Bauxite School District,6301703,Bauxite Miner Academy,29.23%,,,N,65,19
ar,1601000,Bay School District,1601001,Bay Elementary School,31.82%,,,N,308,98
ar,1601000,Bay School District,1601002,Bay High School,24.00%,,,N,250,60
ar,5201000,Bearden School District,5201001,Bearden Elementary School ,38.00%,,,N,274,104
ar,5201000,Bearden School District,5201002,Bearden High School,35.00%,,,N,205,72
ar,7302000,Beebe Public Schools,7302008,Beebe Elementary School,27.33%,,,N,838,229
ar,7302000,Beebe Public Schools,7302009,Beebe Junior High School,26.37%,,,N,546,144
ar,7302000,Beebe Public Schools,7302010,Beebe High School,21.42%,,,N,1027,220
ar,7302000,Beebe Public Schools,7302011,Beebe Middle School,28.22%,,,N,450,127
ar,7302000,Beebe Public Schools,7302014,Beebe Early Childhood,26.27%,,,N,510,134
ar,6302000,Benton School District,6302006,Caldwell Elementary School,6.83%,,,N,571,39
ar,6302000,Benton School District,6302007,Angie Grant Elemntary School,31.02%,,,N,519,161
ar,6302000,Benton School District,6302008,Howard Perrin Elementary School,15.36%,,,N,586,90
ar,6302000,Benton School District,6302009,Ringgold Elementary School,25.79%,,,N,539,139
ar,6302000,Benton School District,6302010,Benton Junior High School,16.20%,,,N,938,152
ar,6302000,Benton School District,6302011,Benton Middle School,20.00%,,,N,1375,275
ar,6302000,Benton School District,6302012,Benton High School,13.25%,,,N,1223,162
ar,0401000,Bentonville School District,0401001,Thomas Jefferson Elementary School,11.27%,,,N,426,48
ar,0401000,Bentonville School District,0401002,Washington Junior High,12.65%,,,N,688,87
ar,0401000,Bentonville School District,0401003,Bentonville High School,7.58%,,,N,3112,236
ar,0401000,Bentonville School District,0401004,R E Baker Elementary School,21.65%,,,N,425,92
ar,0401000,Bentonville School District,0401005,Old High Middle School,11.45%,,,N,559,64
ar,0401000,Bentonville School District,0401006,Sugar creek Elementary School,9.51%,,,N,736,70
ar,0401000,Bentonville School District,0401007,Apple Glen Elementary School,11.46%,,,N,506,58
ar,0401000,Bentonville School District,0401008,Ardis Ann Middle School,10.85%,,,N,553,60
ar,0401000,Bentonville School District,0401009,Elm Tree Elementary School,4.66%,,,N,494,23
ar,0401000,Bentonville School District,0401010,Lincoln Junior High,9.66%,,,N,683,66
ar,0401000,Bentonville School District,0401011,Mary Mae Jones Elementary School,24.55%,,,N,448,110
ar,0401000,Bentonville School District,0401012,Central Park Elementary School,11.05%,,,N,742,82
ar,0401000,Bentonville School District,0401013,Ruth Hale Barker Middle School,16.03%,,,N,499,80
ar,0401000,Bentonville School District,0401014,Centerton Gamble Elementary School,8.50%,,,N,765,65
ar,0401000,Bentonville School District,0401015,Cooper Elementary School,14.17%,,,N,614,87
ar,0401000,Bentonville School District,0401016,Willowbrook Elementary School,2.27%,,,N,881,20
ar,0401000,Bentonville School District,0401017,Brightfield Middle School,3.11%,,,N,610,19
ar,0401000,Bentonville School District,0401018,Fulbright Junior High,6.10%,,,N,688,42
ar,0401000,Bentonville School District,0401019,Bentonville West High School,9.44%,,,N,2245,212
ar,0401000,Bentonville School District,0401020,Osage Creek Elementary School,15.16%,,,N,640,97
ar,0401000,Bentonville School District,0401021,Creekside Middle School,12.22%,,,N,663,81
ar,0401000,Bentonville School District,0401022,Evening Star Elementary School,3.19%,,,N,815,26
ar,0401000,Bentonville School District,0401023,Grimsley Junior High,11.25%,,,N,853,96
ar,0502000,Bergman School District,0502006,Bergman Elementary School,28.93%,,,N,515,149
ar,0502000,Bergman School District,0502007,Bergman High School,20.07%,,,N,289,58
ar,0502000,Bergman School District,0502008,Bergman Middle School,26.99%,,,N,326,88
ar,0801000,Berryville School District,0801001,Berryville Elementary School,35.60%,,,N,455,162
ar,0801000,Berryville School District,0801002,Berryville High School,18.41%,,,N,527,97
ar,0801000,Berryville School District,0801003,Berryville Middle School,28.90%,,,N,429,124
ar,0801000,Berryville School District,0801004,Berryville Intermediate School,26.25%,,,N,381,100
ar,3001000,Bismarck School District,3001001,Bismarck Elementary School,32.55%,,,N,381,124
ar,3001000,Bismarck School District,3001002,Bismarck Middle School,30.72%,,,N,319,98
ar,3001000,Bismarck School District,3001003,Bismarck High School,23.53%,,,N,289,68
ar,2901000,Blevins School District,2901001,Randy Hughes Elementary School,33.71%,,,N,264,89
ar,2901000,Blevins School District,2901002,Blevins High School,27.56%,,,N,185,51
ar,4702000,Blytheville School District,4702006,Blytheville Elementary School,74.79%,,64.99%,Y,361,270
ar,4702000,Blytheville School District,4702008,Blytheville Primary School,70.47%,,64.99%,Y,447,315
ar,4702000,Blytheville School District,4702012,Blytheville Middle School,64.15%,,64.99%,Y,371,238
ar,4702000,Blytheville School District,4702014,Blytheville High School,64.59%,,64.99%,Y,449,290
ar,4201000,Booneville School District,4201001,Booneville Elementary School,35.40%,,41.42%,Y,781,276
ar,4201000,Booneville School District,4201002,Booneville High School,22.78%,,41.42%,Y,235,54
ar,4201000,Booneville School District,4201003,Booneville Junior High,33.65%,,41.42%,Y,249,84
ar,7303000,Bradford School District,7303014,Bradford Elementary School,54.96%,,51.85%,Y,282,155
ar,7303000,Bradford School District,7303015,Bradford High School,35.44%,,51.85%,Y,204,72
ar,4801000  ,Brinkley School District,4801001,CB Partee Elementary School,69.29%,,64.46%,Y,301,209
ar,4801000,Brinkley School District,4801003,Brinkley High School ,55.29%,,64.46%,Y,183,101
ar,1603000,Brookland School District,1603006,Brookland Elementary School,16.24%,,,N,856,139
ar,1603000,Brookland School District,1603007,Brookland High School,10.05%,,,N,547,55
ar,1603000,Brookland School District,1603009,Brookland Middle School,14.85%,,,N,889,132
ar,1603000,Brookland School District,1603010,Brookland Junior High School,14.81%,,,N,648,96
ar,6303000,Bryant School District,6303017,Bryant Junior High School,17.56%,,,N,1646,289
ar,6303000,Bryant School District,6303018,Hill Farm Elementary School,24.58%,,,N,602,148
ar,6303000,Bryant School District,6303020,Bryant Elementary School,21.13%,,,N,800,169
ar,6303000,Bryant School District,6303022,Bryant High School,13.89%,,,N,2008,279
ar,6303000,Bryant School District,6303023,Salem Elementary School,16.74%,,,N,484,81
ar,6303000,Bryant School District,6303024,Davis Elementary School,29.28%,,,N,502,147
ar,6303000,Bryant School District,6303025,Springhill Elementary School,10.84%,,,N,535,58
ar,6303000,Bryant School District,6303026,Bryant Middle School,25.45%,,,N,880,224
ar,6303000,Bryant School District,6303027,Collegeville Elementary School,19.16%,,,N,501,96
ar,6303000,Bryant School District,6303028,Bethel Middle School,11.11%,,,N,684,76
ar,6303000,Bryant School District,6303029,Hurricane Creek Elementary School,25.88%,,,N,456,118
ar,6303000,Bryant School District,6303035,Parkway Elementary School,11.46%,,,N,576,66
ar,1605000,Buffalo Island Central School District,1605061,Buffalo Island Central Elementary School,33.84%,,,N,396,134
ar,1605000,Buffalo Island Central School District,1605065,Buffalo Island Central High School,32.23%,,,N,332,107
ar,4304000,Cabot School District,4304001,Eastside Elementary School,13.56%,,,N,568,77
ar,4304000,Cabot School District,4304002,Central Elementary School,29.78%,,,N,450,134
ar,4304000,Cabot School District,4304004,Cabot Junior High School - South,21.16%,,,N,690,146
ar,4304000,Cabot School District,4304005,Cabot High School,13.00%,,,N,2030,264
ar,4304000,Cabot School District,4304006,Westside Elementary School,30.02%,,,N,413,124
ar,4304000,Cabot School District,4304007,Southside Elementary School,12.45%,,,N,506,63
ar,4304000,Cabot School District,4304008,Northside Elementary School,28.12%,,,N,409,115
ar,4304000,Cabot School District,4304009,Ward Central Elementary School,30.38%,,,N,474,144
ar,4304000,Cabot School District,4304010,Cabot Middle School - South,25.43%,,,N,696,177
ar,4304000,Cabot School District,4304011,Cabot Junior High - North,15.86%,,,N,845,134
ar,4304000,Cabot School District,4304012,Cabot Middle School - North,18.02%,,,N,860,155
ar,4304000,Cabot School District,4304013,Magness Creek Elementary School,14.14%,,,N,396,56
ar,4304000,Cabot School District,4304014,Stagecoach Elementary School,21.17%,,,N,477,101
ar,4304000,Cabot School District,4304015,Mountain Springs Elementary School,12.16%,,,N,510,62
ar,4304000,Cabot School District,4304017,Cabot Freshman Academy,16.81%,,,N,839,141
ar,4304000,Cabot School District,4304703,Acedemic Center of Excellence,26.30%,,,N,384,101
ar,4901000,Caddo Hills School District,4901001,Caddo Hills Elementary School,38.75%,,,N,320,124
ar,4901000,Caddo Hills School District,4901003,Caddo Hills High School,34.27%,,,N,248,85
ar,3301000,Calico Rock School District,3301001,Calico Rock Elementary School ,32.98%,,,N,191,63
ar,3301000,Calico Rock School District,3301002,Calico Rock High School ,20.79%,,,N,178,37
ar,5204000,Camden Fairview School District,5204021,Fairview Elementary School,31.81%,,,N,393,125
ar,5204000,Camden Fairview School District,5204023,Camden Fairview High School,27.92%,,,N,677,189
ar,5204000,Camden Fairview School District,5204025,Ivory Primary School,41.52%,,,N,277,115
ar,5204000,Camden Fairview School District,5204026,Camden Fairview Intermediate School,40.40%,,,N,354,143
ar,5204000,Camden Fairview School District,5204028,Camden Fairview Middle School,37.76%,,,N,519,196
ar,4303000,Carlisle School District,4303012,Carlisle Elementary School,28.64%,,,N,370,106
ar,4303000,Carlisle School District,4303013,Carlisle High School,32.31%,,,N,294,95
ar,6802000,Cave City School District,6802001,Cave City Elementary School,39.58%,,,N,571,226
ar,6802000,Cave City School District,6802702,Cave City Middle School Career and Collegiate Preparatory,40.57%,,,N,281,114
ar,6802000,Cave City School District,6802703,Cave City High School Career and Collegiate Preparatory,31.88%,,,N,389,124
ar,3212000,Cedar Ridge School District,3212026,Cedar Ridge Elementary School ,41.52%,,,N,277,115
ar,3212000,Cedar Ridge School District,3212027,Cedar Ridge High school ,32.56%,,,N,347,113
