state,District Code,District Name,School Code,School Name,individual_isp,proxy_isp,claiming_isp,participating_in_cep,total_enrolled,total_eligible
az,1000166,A+ Charter Schools,1000972,A+ Charter Schools,14.83%,,,N,562,83
az,90199,"Academy Del Sol, Inc.",90200,Academy Del Sol,52.75%,,88.69%,Y,541,285
az,90199,"Academy Del Sol, Inc.",90770,Academy Del Sol - Hope,30.63%,,,N,616,189
az,90878,"Academy of Mathematics and Science South, Inc.",1000378,Academy of Math and Science Avondale,27.87%,,,N,293,82
az,90878,"Academy of Mathematics and Science South, Inc.",911531,Academy of Math and Science Desert Sky,34.05%,,,N,498,170
az,90878,"Academy of Mathematics and Science South, Inc.",1000119,Academy of Math and Science Glendale,44.95%,,,N,613,276
az,90878,"Academy of Mathematics and Science South, Inc.",1000118,Academy of Math and Science Peoria Advanced,41.45%,,40.82%,Y,1505,624
az,90878,"Academy of Mathematics and Science South, Inc.",1000379,Academy of Math and Science South Mountain,31.27%,,,N,856,268
az,90878,"Academy of Mathematics and Science South, Inc.",92197,Academy of Mathematics and Science South,39.46%,,,N,618,244
az,92768,"Academy of Mathematics and Science, Inc.",92769,Academy of Math and Science Camelback,39.61%,,,N,642,254
az,79961,"Academy of Mathematics and Science, Inc.",79094,Academy of Math and Science,39.89%,,,N,509,203
az,78897,"Academy of Tucson, Inc.",81130,Academy of Tucson Elementary School,20.81%,,,N,474,99
az,78897,"Academy of Tucson, Inc.",78898,Academy of Tucson High School,13.25%,,,N,437,58
az,78897,"Academy of Tucson, Inc.",79986,Academy of Tucson Middle School,27.78%,,,N,356,99
az,7355,ACCEL,7360,ACCEL East Campus,24.19%,,,N,339,82
az,7355,ACCEL,7356,ACCEL Metro Campus,34.87%,,,N,547,191
az,4325,Acclaim Charter School,5496,ACCLAIM Academy,35.69%,,,N,629,224
az,79437,Acorn Montessori Charter School,79438,Acorn Montessori Charter School,24.07%,,,N,466,112
az,79437,Acorn Montessori Charter School,88180,"Acorn Montessori Charter School, Inc. - West",28.93%,,,N,592,171
az,4289,Agua Fria Union High School District,5454,Agua Fria High School,30.20%,,,N,651,197
az,4289,Agua Fria Union High School District,932049,Canyon View High School,9.88%,,,N,436,43
az,4289,Agua Fria Union High School District,79799,Desert Edge High School,16.31%,,,N,499,81
az,4289,Agua Fria Union High School District,78926,Millennium High School,7.69%,,,N,1337,103
az,4289,Agua Fria Union High School District,87903,Verrado High School,8.45%,,,N,736,62
az,4249,Aguila Elementary District,5187,Aguila Elementary School,30.00%,,,N,668,200
az,4409,Ajo Unified District,5831,Ajo Elementary School,40.82%,,,N,324,132
az,4409,Ajo Unified District,6292,Ajo High School,30.83%,,,N,688,212
az,4280,Alhambra Elementary District,1000261,Alhambra Preschool Academy,60.17%,,61.26%,Y,614,369
az,4280,Alhambra Elementary District,5381,Alhambra Traditional School,18.33%,,,N,633,116
az,4280,Alhambra Elementary District,5384,Barcelona Elementary School,49.89%,,61.26%,Y,491,245
az,4280,Alhambra Elementary District,6030,Carol G. Peck Elementary School,55.94%,,61.26%,Y,348,195
az,4280,Alhambra Elementary District,5385,Catalina Ventura School,43.84%,,,N,625,274
az,4280,Alhambra Elementary District,5391,Choice Learning Academy,51.65%,,61.26%,Y,603,311
az,4280,Alhambra Elementary District,5386,Cordova Elementary School,48.56%,,61.26%,Y,584,284
az,4280,Alhambra Elementary District,1001167,Girls Innovation Academy,34.78%,,,N,455,158
az,4280,Alhambra Elementary District,1000259,Global Academy of Phoenix,38.46%,,,N,524,202
az,4280,Alhambra Elementary District,5387,Granada Elementary School-East Campus,41.04%,,,N,585,240
az,4280,Alhambra Elementary District,5388,Granada Elementary School-West Campus,51.02%,,,N,357,182
az,4280,Alhambra Elementary District,5383,James W. Rice Elementary School,38.87%,,,N,393,153
az,4280,Alhambra Elementary District,1000041,Madrid Neighborhood School,40.44%,,,N,595,241
az,4280,Alhambra Elementary District,5390,Sevilla Elementary School-East Campus,55.58%,,61.26%,Y,1838,1022
az,4280,Alhambra Elementary District,79203,Sevilla Elementary School-West Campus,44.08%,,,N,446,197
az,4280,Alhambra Elementary District,1000042,Valencia Newcomer School,41.21%,,,N,387,159
az,4280,Alhambra Elementary District,5392,Westwood Elementary School,57.86%,,61.26%,Y,435,252
az,79969,All Aboard Charter School,79970,All Aboard Charter School,42.86%,,,N,1044,447
az,4418,Altar Valley Elementary District,5859,Altar Valley Middle School,50.98%,,54.92%,Y,34,17
az,4418,Altar Valley Elementary District,84336,Robles Elementary School,63.50%,,54.92%,Y,307,195
az,80995,American Charter Schools Foundation d.b.a. Alta Vista High School,80996,Alta Vista High School,49.88%,,,N,235,117
az,79883 ,American Charter Schools Foundation d.b.a. Apache Trail High School,6346,Apache Trail High School,51.55%,,48.60%,Y,318,164
az,79874,American Charter Schools Foundation d.b.a. Crestview College Preparatory High Sc,78813,Crestview College Preparatory High School,45.33%,,54.67%,Y,265,120
az,79872,American Charter Schools Foundation d.b.a. Desert Hills High School,78901,Desert Hills High School,30.92%,,,N,75,23
az,79873,American Charter Schools Foundation d.b.a. Estrella High School,78900,Estrella High School,51.02%,,,N,965,492
az,79875,American Charter Schools Foundation d.b.a. Peoria Accelerated High School,78817,Peoria Accelerated High School,40.71%,,47.69%,Y,991,403
az,80989,American Charter Schools Foundation d.b.a. South Pointe High School,80990,South Pointe High School,56.65%,,58.40%,Y,555,314
