state,District Code,District Name,School Code,School Name,individual_isp,proxy_isp,claiming_isp,participating_in_cep,total_enrolled,total_eligible
ca,02568,AARONS BOYS HOME,7471,AARON'S BOYS HOME #1,,,,N,12,
ca,01629,ABC Unified School District,19642126010862,ALOHA ELEMENTARY,17.44%,,41.19%,Y,288,50
ca,01629,ABC Unified School District,,ARTESIA HIGH,,,41.19%,Y,1460,
ca,01629,ABC Unified School District,Unknown-0,BRAGG ELEMENTARY,,,41.19%,Y,611,
ca,01629,ABC Unified School District,19642126010953,Burbank (Luther) Elementary                                     ,10.37%,,41.19%,Y,404,42
ca,01629,ABC Unified School District,Unknown-1,CARMENITA MIDDLE,,,41.19%,Y,596,
ca,01629,ABC Unified School District,19642126010904,Carver (Charles J.) Elementary                                  ,5.49%,,41.19%,Y,820,45
ca,01629,ABC Unified School District,Unknown-2,CERRITOS ELEMENTARY,,,41.19%,Y,615,
ca,01629,ABC Unified School District,19642126010987,Elliott (William F) Elementary                                  ,7.50%,,41.19%,Y,445,33
ca,01629,ABC Unified School District,19642126061238,Fedde (Pharis F.) Middle                                        ,69.48%,,41.19%,Y,371,258
ca,01629,ABC Unified School District,19642126010979,Furgeson (Venn W.) Elementary                                   ,41.86%,,41.19%,Y,322,135
ca,01629,ABC Unified School District,Unknown-3,Gahr (Richard) High                                             ,,,41.19%,Y,1701,
ca,01629,ABC Unified School District,Unknown-4,Gonsalves (Joe A.) Elementary                                   ,,,41.19%,Y,575,
ca,01629,ABC Unified School District,Unknown-5,Haskell (Pliny Fisk) Middle                                     ,,,41.19%,Y,444,
ca,01629,ABC Unified School District,19642126010920,HAWAIIAN ELEMENTARY,50.34%,,41.19%,Y,311,157
ca,01629,ABC Unified School District,19642126071351,Juarez (Benito) Elementary                                      ,12.18%,,41.19%,Y,330,40
ca,01629,ABC Unified School District,19642126010938,Kennedy (John F.) Elementary                                    ,7.65%,,41.19%,Y,432,33
ca,01629,ABC Unified School District,Unknown-6,Leal (Frank C.) Elementary                                      ,,,41.19%,Y,727,
ca,01629,ABC Unified School District,19642126010912,Melbourne (Ella P.) Elementary                                  ,41.53%,,41.19%,Y,407,169
ca,01629,ABC Unified School District,19642126010946,Niemes (John H.) Elementary                                     ,23.61%,,41.19%,Y,670,158
ca,01629,ABC Unified School District,Unknown-7,Nixon (Patricia) Elementary                                     ,,,41.19%,Y,710,
ca,01629,ABC Unified School District,19642126010961,PALMS ELEMENTARY,16.09%,,41.19%,Y,525,84
ca,01629,ABC Unified School District,19642126057442,Ross (Faye) Middle                                              ,26.64%,,41.19%,Y,519,138
ca,01629,ABC Unified School District,Unknown-8,Stowers(Cecil B.) Elementary                                    ,,,41.19%,Y,540,
ca,01629,ABC Unified School District,Unknown-9,Tetzlaff (Martin B.) Middle                                     ,,,41.19%,Y,666,
