Academic Year,County Code,District Code,School Code,County Name,District Name,School Name,District Type,School Type,Educational Option Type,"NSLP Provision Status","Charter School",Charter Number,Charter Funding Type,IRC,Low Grade,High Grade,total_enrolled,frpm,foster,homeless,migrant,direct_cert,unduplicated_frpm,english_learner,"CALPADS Unduplicated Pupil Count (UPC)","CALPADS Fall 1 Certification Status (Y/N)",
2017-2018,01,61119,0132142,Alameda,Alameda Unified,Encinal Junior/Senior High,Unified School District,K-12 Schools (Public),Traditional,,No ,,,N,6,12,"1,329",575,4,19,0,385,587,190,644,Y,
2017-2018,01,61119,6090021,Alameda,Alameda Unified,Frank Otis Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,644,111,0,3,0,79,111,103,173,Y,
2017-2018,01,61143,6090211,Alameda,Berkeley Unified,Emerson Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,320,118,1,11,0,65,119,34,131,Y,
2017-2018,01,61143,6090278,Alameda,Berkeley Unified,Leconte Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,381,142,0,7,0,66,142,90,176,Y,
2017-2018,01,61143,6090302,Alameda,Berkeley Unified,Oxford Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,290,103,1,4,0,48,103,34,109,Y,
2017-2018,01,61150,6090385,Alameda,Castro Valley Unified,Creekside Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,No ,,,N,6,8,784,192,2,1,0,109,194,38,210,Y,
2017-2018,01,61150,6090435,Alameda,Castro Valley Unified,Proctor Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,494,85,0,0,0,49,86,59,125,Y,
2017-2018,01,61150,6113005,Alameda,Castro Valley Unified,Jensen Ranch Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,420,38,0,0,0,26,38,62,89,Y,
2017-2018,01,61176,0134452,Alameda,Fremont Unified,John F. Kennedy High,Unified School District,High Schools (Public),Traditional,,No ,,,N,9,12,"1,379",526,4,24,4,243,527,144,579,Y,
2017-2018,01,61176,6000756,Alameda,Fremont Unified,Niles Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,6,605,76,0,2,0,44,76,67,124,Y,
2017-2018,01,61192,6000988,Alameda,Hayward Unified,Glassbrook Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,,,N,K,6,537,287,0,19,52,244,386,362,506,Y,
2017-2018,01,61200,6001283,Alameda,Livermore Valley Joint Unified,Jackson Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,545,222,0,5,7,146,225,143,253,Y,
2017-2018,01,61200,6071906,Alameda,Livermore Valley Joint Unified,Arroyo Seco Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,660,149,1,3,10,102,151,78,180,Y,
2017-2018,01,10017,0112607,Alameda,Alameda County Office of Education,Envision Academy for Arts & Technology,County Office of Education (COE),High Schools (Public),Traditional,,Yes,0811,Directly funded,Y,9,12,413,291,0,3,0,172,308,54,317,Y,
2017-2018,01,61119,0106401,Alameda,Alameda Unified,Alameda Science and Technology Institute,Unified School District,Alternative Schools of Choice,Alternative School of Choice,,No ,,,N,9,12,187,58,0,1,0,45,58,8,62,Y,
2017-2018,01,61119,0130609,Alameda,Alameda Unified,Alameda Community Learning Center,Unified School District,K-12 Schools (Public),Traditional,,Yes,0352,Directly funded,Y,6,12,368,40,0,9,0,85,117,40,133,Y,
2017-2018,01,61119,6090005,Alameda,Alameda Unified,Donald D. Lum Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,4,5,87,29,0,0,0,24,30,19,37,Y,
2017-2018,01,61143,6090195,Alameda,Berkeley Unified,Cragmont Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,399,136,0,14,0,82,140,41,160,Y,
2017-2018,01,61150,0000001,Alameda,Castro Valley Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,7,1,0,0,0,2,2,1,2,Y,
2017-2018,01,61150,0135533,Alameda,Castro Valley Unified,Redwood Continuation High,Unified School District,Continuation High Schools,Continuation School,,No ,,,N,9,12,109,50,3,1,0,38,52,4,54,Y,
2017-2018,01,61150,6090393,Alameda,Castro Valley Unified,Independent Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,657,110,3,0,0,73,111,100,184,Y,
2017-2018,01,61176,6000541,Alameda,Fremont Unified,John Blacow Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,6,461,197,1,4,9,100,197,185,284,Y,
2017-2018,01,61176,6000798,Alameda,Fremont Unified,Parkmont Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,6,881,91,0,2,0,56,91,142,204,Y,
2017-2018,01,61176,6000830,Alameda,Fremont Unified,Vallejo Mill Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,6,542,146,0,3,4,101,148,138,237,Y,
2017-2018,01,61176,6089320,Alameda,Fremont Unified,Brookvale Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,6,717,106,0,6,0,75,106,162,239,Y,
2017-2018,01,61176,6111330,Alameda,Fremont Unified,Forest Park Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,6,"1,013",47,0,4,0,33,48,149,189,Y,
2017-2018,01,61119,0130625,Alameda,Alameda Unified,Alternatives in Action,Unified School District,High Schools (Public),Traditional,,Yes,0398,Directly funded,Y,9,12,183,179,1,4,0,69,181,86,182,Y,
2017-2018,01,61119,0131805,Alameda,Alameda Unified,The Academy of Alameda Elementary,Unified School District,Elementary Schools (Public),Traditional,,Yes,1718,Directly funded,Y,K,5,203,0,0,0,0,43,43,37,66,Y,
2017-2018,01,61119,0134304,Alameda,Alameda Unified,Island High (Continuation),Unified School District,Continuation High Schools,Continuation School,,No ,,,N,9,12,111,56,0,2,0,42,58,18,61,Y,
2017-2018,01,61119,6090112,Alameda,Alameda Unified,Will C. Wood Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,No ,,,N,6,8,519,254,3,7,0,158,257,103,286,Y,
2017-2018,01,61143,6090187,Alameda,Berkeley Unified,Rosa Parks Environmental Science Magnet,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,445,104,1,11,0,64,105,50,123,Y,
2017-2018,01,61176,6000590,Alameda,Fremont Unified,E. M. Grimmer Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,6,495,244,3,16,5,139,244,198,325,Y,
2017-2018,01,61176,6104723,Alameda,Fremont Unified,Ardenwood Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,6,948,83,0,2,0,65,83,123,187,Y,
2017-2018,01,61192,0108670,Alameda,Hayward Unified,Leadership Public Schools - Hayward,Unified School District,High Schools (Public),Traditional,,Yes,0684,Directly funded,Y,9,12,593,363,0,0,0,126,364,45,371,Y,
2017-2018,01,61192,0138339,Alameda,Hayward Unified,Tennyson High,Unified School District,High Schools (Public),Traditional,,No ,,,N,9,12,"1,446",897,10,96,23,550,"1,088",458,"1,203",Y,
2017-2018,01,61192,6066476,Alameda,Hayward Unified,"Martin Luther King, Jr. Middle",Unified School District,Intermediate/Middle Schools (Public),Traditional,Provision 2,No ,,,N,7,8,732,396,2,19,26,270,511,97,550,Y,
2017-2018,01,61200,0133397,Alameda,Livermore Valley Joint Unified,Granada High,Unified School District,High Schools (Public),Traditional,,No ,,,N,9,12,"2,261",429,1,10,44,253,435,121,473,Y,
2017-2018,01,61200,6001242,Alameda,Livermore Valley Joint Unified,East Avenue Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,No ,,,N,6,8,648,190,0,2,5,127,191,54,204,Y,
2017-2018,01,61259,0106559,Alameda,Oakland Unified,Community Day Middle,Unified School District,District Community Day Schools,Community Day School,,No ,,,N,6,8,11,11,0,1,0,9,11,1,11,Y,
2017-2018,01,10017,0124172,Alameda,Alameda County Office of Education,Yu Ming Charter,County Office of Education (COE),Elementary Schools (Public),Traditional,,Yes,1296,Directly funded,Y,K,8,387,53,0,0,0,37,53,21,66,Y,
2017-2018,01,10017,0136101,Alameda,Alameda County Office of Education,Connecting Waters Charter - East Bay,County Office of Education (COE),K-12 Schools (Public),Traditional,,Yes,1881,Directly funded,Y,K,12,106,26,0,0,0,14,27,3,30,Y,
2017-2018,01,61143,0000001,Alameda,Berkeley Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,30,0,2,3,0,3,8,3,11,Y,
