state,District Code,District Name,School Code,School Name,individual_isp,proxy_isp,claiming_isp,participating_in_cep,total_enrolled,total_eligible
co,1040,ACADEMY             20,00017,ACADEMY ENDEAVOUR ELEMENTARY SCHOOL,12.61%,,,N,,
co,1040,ACADEMY             20,00019,ACADEMY INTERNATIONAL ELEMENTARY SCHOOL,7.23%,,,N,,
co,1040,ACADEMY             20,00074,CHALLENGER MIDDLE SCHOOL,7.48%,,,N,,
co,1040,ACADEMY             20,00076,AIR ACADEMY HIGH SCHOOL,4.88%,,,N,,
co,1040,ACADEMY             20,00209,ASPEN VALLEY CAMPUS,10.74%,,,N,,
co,1040,ACADEMY             20,00249,ANTELOPE TRAILS ELEMENTARY SCHOOL,6.25%,,,N,,
co,1040,ACADEMY             20,01229,Encompass Heights Elementary School,6.17%,,,N,,
co,1040,ACADEMY             20,01421,CHINOOK TRAIL MIDDLE SCHOOL,4.21%,,,N,,
co,1040,ACADEMY             20,01615,CHINOOK TRAIL ELEMENTARY SCHOOL,3.17%,,,N,,
co,1040,ACADEMY             20,01627,THE CLASSICAL ACADEMY CHARTER,2.62%,,,N,,
co,1040,ACADEMY             20,01629,The Classical Academy Middle School,2.65%,,,N,,
co,1040,ACADEMY             20,01630,The Classical Academy High School,2.49%,,,N,,
co,1040,ACADEMY             20,01921,Discovery Canyon Campus Middle School,5.28%,,,N,,
co,1040,ACADEMY             20,01929,Discovery Canyon Campus Elementary School,2.92%,,,N,,
co,1040,ACADEMY             20,02195,DISCOVERY CANYON CAMPUS HIGH SCHOOL,4.89%,,,N,,
co,1040,ACADEMY             20,02248,DOUGLASS VALLEY ELEMENTARY SCHOOL,3.59%,,,N,,
co,1040,ACADEMY             20,02358,EAGLEVIEW MIDDLE SCHOOL,8.16%,,,N,,
co,1040,ACADEMY             20,02524,EDITH WOLFORD ELEMENTARY SCHOOL,8.54%,,,N,,
co,1040,ACADEMY             20,02800,EXPLORER ELEMENTARY SCHOOL,12.45%,,,N,,
co,1040,ACADEMY             20,03104,FOOTHILLS ELEMENTARY SCHOOL,13.32%,,,N,,
co,1040,ACADEMY             20,03238,FRONTIER ELEMENTARY SCHOOL,28.14%,,,N,,
co,1040,ACADEMY             20,03985,HIGH PLAINS ELEMENTARY SCHOOL,27.20%,,,N,,
co,1040,ACADEMY             20,05126,LIBERTY HIGH SCHOOL,7.21%,,,N,,
co,1040,ACADEMY             20,06140,MOUNTAIN RIDGE MIDDLE SCHOOL,13.33%,,,N,,
co,1040,ACADEMY             20,06158,MOUNTAIN VIEW ELEMENTARY SCHOOL,6.64%,,,N,,
co,1040,ACADEMY             20,06242,New Summit Charter Academy,13.01%,,,N,,
co,1040,ACADEMY             20,06247,Legacy Peak Elementary,11.00%,,,N,,
co,1040,ACADEMY             20,06960,PIONEER ELEMENTARY SCHOOL,27.81%,,,N,,
