state,District Code,District Name,School Code,School Name,individual_isp,proxy_isp,claiming_isp,participating_in_cep,total_enrolled,total_eligible
ct,00200,Ansonia School District,03,Mead School,76.67%,,62.74%,Y,643,493
ct,00200,Ansonia School District,08,Prendergast School,73.13%,,62.74%,Y,629,460
ct,00200,Ansonia School District,51,Ansonia Middle School,70.35%,,62.74%,Y,452,318
ct,00200,Ansonia School District,61,Ansonia High School,57.75%,,62.74%,Y,516,298
ct,00200,Ansonia School District,90P,St. Mary-St. Michael School,27.27%,,62.74%,Y,143,39
ct,00200,Ansonia School District,91P,Assumption School - Ansonia,0.00%,,62.74%,Y,180,0
ct,01100,Bloomfield School District,10,CREC Museum Academy,53.22%,,53.22%,Y,513,273
ct,01100,Bloomfield School District,63,Global Experience Magnet School (GEMS),53.76%,,53.76%,Y,186,100
ct,01500,Bridgeport School District,01,Barnum School,78.24%,,62.86%,Y,602,471
ct,01500,Bridgeport School District,02,Beardsley School,71.72%,,62.86%,Y,297,213
ct,01500,Bridgeport School District,03-0,Black Rock School,52.06%,,62.86%,Y,461,240
ct,01500,Bridgeport School District,04,Bryant School,73.54%,,62.86%,Y,325,239
ct,01500,Bridgeport School District,05,Columbus School,71.98%,,62.86%,Y,521,375
ct,01500,Bridgeport School District,07,Edison School,78.57%,,62.86%,Y,196,154
ct,01500,Bridgeport School District,10-0,Luis Munoz Marin School,69.18%,,62.86%,Y,782,541
ct,01500,Bridgeport School District,11,Hall School,72.46%,,62.86%,Y,167,121
ct,01500,Bridgeport School District,12,Hallen School,63.08%,,62.86%,Y,279,176
ct,01500,Bridgeport School District,13,Thomas Hooker School,57.10%,,62.86%,Y,303,173
ct,01500,Bridgeport School District,14 ,Cesar Batalla School,61.35%,,62.86%,Y,1079,662
ct,01500,Bridgeport School District,15,Interdistrict Magnet High School - Fairchild/Wheeler Campus,43.37%,,62.86%,Y,973,422
ct,01500,Bridgeport School District,16,Bridgeport Military Academy,66.67%,,62.86%,Y,309,206
ct,01500,Bridgeport School District,17,Park City Magnet School,53.65%,,62.86%,Y,479,257
ct,01500,Bridgeport School District,20,Madison School,63.02%,,62.86%,Y,411,259
ct,01500,Bridgeport School District,21,Classical Studies Academy,66.02%,,62.86%,Y,412,272
ct,01500,Bridgeport School District,22,Jettie S. Tisdale School,74.73%,,62.86%,Y,566,423
ct,01500,Bridgeport School District,25,Read School,67.76%,,62.86%,Y,729,494
ct,01500,Bridgeport School District,26,Roosevelt School,80.34%,,62.86%,Y,524,421
ct,01500,Bridgeport School District,28,Bridgeport Learning Center @ Sheriden,86.89%,,62.86%,Y,61,53
ct,01500,Bridgeport School District,30,Waltersville School,84.62%,,62.86%,Y,481,407
ct,01500,Bridgeport School District,31,Geraldine Claytor Magnet Academy,82.97%,,62.86%,Y,411,341
ct,01500,Bridgeport School District,32,Geraldine Johnson School,73.54%,,62.86%,Y,756,556
ct,01500,Bridgeport School District,36,John Winthrop School,53.33%,,62.86%,Y,600,320
ct,01500,Bridgeport School District,37,CES School Readiness,38.64%,,62.86%,Y,44,17
ct,01500,Bridgeport School District,38,Interdistrict Discovery Magnet School,43.49%,,62.86%,Y,476,207
ct,01500,Bridgeport School District,39,Wilbur Cross School,76.22%,,62.86%,Y,307,234
ct,01500,Bridgeport School District,40,Blackham School,56.86%,,62.86%,Y,1013,576
ct,01500,Bridgeport School District,41,Paul Lawrence Dunbar School,76.72%,,62.86%,Y,305,234
ct,01500,Bridgeport School District,42,James J. Curiale School,81.32%,,62.86%,Y,530,431
ct,01500,Bridgeport School District,44,A.B. Skane Center,62.74%,,62.86%,Y,263,165
ct,01500,Bridgeport School District,45,High Horizons Magnet School,59.50%,,62.86%,Y,442,263
ct,01500,Bridgeport School District,46,Multicultural Magnet School,64.30%,,62.86%,Y,423,272
ct,01500,Bridgeport School District,50,Catholic Academy of Bridgeport: St. Andrew Academy,46.49%,,62.86%,Y,228,106
ct,01500,Bridgeport School District,51-0,Catholic Academy of Bridgeport: St. Ann Academy,44.95%,,62.86%,Y,198,89
ct,01500,Bridgeport School District,52,Catholic Academy of Bridgeport: St. Augustine Academy,46.83%,,62.86%,Y,205,96
ct,01500,Bridgeport School District,53,Catholic Academy of Bridgeport: St. Raphael Academy,53.57%,,62.86%,Y,168,90
ct,01500,Bridgeport School District,61-0,Bassick High School,69.46%,,62.86%,Y,884,614
ct,01500,Bridgeport School District,62,Central High School,51.76%,,62.86%,Y,1507,780
ct,01500,Bridgeport School District,63-0,Warren Harding High School,62.19%,,62.86%,Y,1095,681
ct,01500,Bridgeport School District,90,Six-Six Magnet School,28.90%,,62.86%,Y,436,126
ct,01500,Bridgeport School District,91,CES Special Education (second site),49.75%,,62.86%,Y,199,99
ct,01500,Bridgeport School District,93,CES @ Cambridge Drive,22.41%,,62.86%,Y,58,13
ct,01700,Bristol School District,03-1,Edgewood School,43.77%,,47.35%,Y,281,123
ct,01700,Bristol School District,05-0,Greene-Hills School,52.21%,,47.35%,Y,860,449
ct,01700,Bristol School District,11-0,South Side School,51.80%,,47.35%,Y,444,230
ct,01700,Bristol School District,12-0,Stafford School,52.04%,,47.35%,Y,367,191
ct,01700,Bristol School District,14,Ellen P. Hubbell School,59.40%,,47.35%,Y,367,218
ct,01700,Bristol School District,17-0,Mountain View School,40.58%,,47.35%,Y,308,125
ct,01700,Bristol School District,19,Ivy Drive School,42.06%,,47.35%,Y,340,143
ct,01700,Bristol School District,20-0,West Bristol  School,59.93%,,47.35%,Y,876,525
ct,01700,Bristol School District,40-0,Bristol Arts and Innovation Magnet School,47.18%,,47.35%,Y,248,117
ct,01700,Bristol School District,51-1,Chippens Hill Middle School,47.93%,,47.35%,Y,676,324
ct,01700,Bristol School District,52-0,Northeast Middle School,39.60%,,47.35%,Y,447,177
ct,01700,Bristol School District,61-1,Bristol Central High School,43.17%,,47.35%,Y,1237,534
ct,01700,Bristol School District,62-0,Bristol Eastern High School,37.94%,,47.35%,Y,1078,409
ct,02400,Chaplin School District,02-0,Chaplin Elementary School,50.00%,,50.00%,Y,146,73
ct,03400,Danbury School District,01-0,DPS Early Childhood Center (Cottage Street),47.62%,,44.05%,Y,84,40
ct,03400,Danbury School District,02-1,Haystown Avenue School,51.21%,,44.05%,Y,412,211
ct,03400,Danbury School District,05-1,Mill Ridge Primary School,36.06%,,44.05%,Y,330,119
ct,03400,Danbury School District,06,Morris Street School,54.68%,,44.05%,Y,395,216
ct,03400,Danbury School District,08-0,Park Avenue School,53.87%,,44.05%,Y,633,341
ct,03400,Danbury School District,09,Saint Peter Sacred Heart School,55.30%,,44.05%,Y,217,120
ct,03400,Danbury School District,10-1,South Street School,47.12%,,44.05%,Y,399,188
ct,03400,Danbury School District,11-1,Great Plain School,40.70%,,44.05%,Y,285,116
ct,03400,Danbury School District,12-1,Shelter Rock School,43.47%,,44.05%,Y,536,233
ct,03400,Danbury School District,13-0,King Street Primary School,45.27%,,44.05%,Y,402,182
ct,03400,Danbury School District,14-0,Ellsworth Ave School,52.41%,,44.05%,Y,477,250
ct,03400,Danbury School District,15-0,Pembroke,47.14%,,44.05%,Y,350,165
ct,03400,Danbury School District,16-0,Stadley Rough School,45.02%,,44.05%,Y,502,226
ct,03400,Danbury School District,17-1,King Street Intermediate School,41.45%,,44.05%,Y,386,160
ct,03400,Danbury School District,19-0,Western CT Academy of International Studies Magnet,30.94%,,44.05%,Y,320,99
ct,03400,Danbury School District,51-2,Broadview Middle School,48.35%,,44.05%,Y,1063,514
ct,03400,Danbury School District,52-1,Rogers Park Middle School,48.30%,,44.05%,Y,1087,525
ct,03400,Danbury School District,54,Westside Middle School Academy,36.12%,,44.05%,Y,717,259
ct,03400,Danbury School District,61-2,Danbury High School,39.97%,,44.05%,Y,3385,1353
ct,03400,Danbury School District,62-1,Alternative Center for Education,67.47%,,44.05%,Y,83,56
ct,03400,Danbury School District,100,DPS Early Childhood Center at Granville,53.28%,,44.05%,Y,244,130
ct,03400,Danbury School District,03P,St. Gregory the Great,14.02%,,44.05%,Y,271,38
ct,03700,Derby School District,04-0,Irving School,77.85%,,54.41%,Y,325,253
ct,03700,Derby School District,06-0,Bradley School,52.63%,,54.41%,Y,247,130
ct,03700,Derby School District,50-0,Derby Middle School,41.79%,,54.41%,Y,347,145
ct,03700,Derby School District,61-3,Derby High School,47.15%,,54.41%,Y,386,182
ct,04300,East Hartford School District,04-1,Joseph O. Goodwin School,61.10%,,56.91%,Y,347,212
ct,04300,East Hartford School District,05-2,Early Childhood Learning Center at Hockanum School,60.11%,,56.91%,Y,351,211
ct,04300,East Hartford School District,06-1,Dr. Franklin H. Mayberry School,68.24%,,56.91%,Y,340,232
ct,04300,East Hartford School District,09-0,Anne E. Norris School,74.25%,,56.91%,Y,268,199
ct,04300,East Hartford School District,10-2,Dr. Thomas S. O'Connell School,46.99%,,56.91%,Y,532,250
