state,District Code,District Name,School Code,School Name,individual_isp,proxy_isp,participating_in_cep,claiming_isp,total_enrolled,total_eligible
dc,155,Achievement Preparatory Academy PCS,217,Achievement Preparatory Academy PCS - Wahler Place Elementary School,62.81%,,Y,61.83%,436,274
dc,155,Achievement Preparatory Academy PCS,1100,Achievement Preparatory Academy PCS - Wahler Place Middle School,61.01%,,Y,61.83%,363,221
dc,103,AppleTree Early Learning PCS,140,AppleTree Early Learning Center PCS - Columbia Heights,32.00%,,N,,150,48
dc,103,AppleTree Early Learning PCS,3072,AppleTree Early Learning Center PCS - Douglas Knoll,67.06%,,Y,63.19%,82,55
dc,103,AppleTree Early Learning PCS,3073,AppleTree Early Learning Center PCS - Lincoln Park,26.67%,,N,,60,16
dc,103,AppleTree Early Learning PCS,1137,AppleTree Early Learning Center PCS - Oklahoma Avenue,47.59%,,Y,63.19%,145,69
dc,103,AppleTree Early Learning PCS,1069,AppleTree Early Learning Center PCS - Parklands at THEARC,66.29%,,Y,63.19%,89,59
dc,103,AppleTree Early Learning PCS,141,AppleTree Early Learning Center PCS - Southwest,47.37%,,N,,95,45
dc,123,Cedar Tree Academy PCS,188,Cedar Tree Academy PCS,66.48%,,Y,66.48%,361,240
dc,156,Center City PCS,1103,Center City PCS - Brightwood,29.32%,,Y,47.98%,249,73
dc,156,Center City PCS,1104,Center City PCS - Capitol Hill,52.55%,,Y,47.98%,255,134
dc,156,Center City PCS,1105,Center City PCS - Congress Heights,48.12%,,Y,47.98%,239,115
dc,156,Center City PCS,1106,Center City PCS - Petworth,27.20%,,Y,47.98%,250,68
dc,156,Center City PCS,1107,Center City PCS - Shaw,40.17%,,Y,47.98%,229,92
dc,156,Center City PCS,1108,Center City PCS - Trinidad,59.11%,,Y,47.98%,203,120
dc,109,Cesar Chavez PCS for Public Policy,153,Cesar Chavez PCS for Public Policy - Capitol Hill,52.75%,,N,,218,115
dc,109,Cesar Chavez PCS for Public Policy,127,Cesar Chavez PCS for Public Policy - Chavez Prep,42.41%,,N,,224,95
dc,109,Cesar Chavez PCS for Public Policy,109,Cesar Chavez PCS for Public Policy - Parkside High School,57.75%,,Y,60.18%,329,190
dc,109,Cesar Chavez PCS for Public Policy,102,Cesar Chavez PCS for Public Policy - Parkside Middle School,66.41%,,Y,60.18%,128,85
dc,153,City Arts & Prep PCS,210,City Arts & Prep PCS,51.91%,,N,,418,217
dc,115,DC Prep PCS,276,DC Prep PCS - Anacostia Elementary School,62.50%,,Y,54.45%,368,230
dc,115,DC Prep PCS,1110,DC Prep PCS - Benning Elementary School,53.36%,,Y,54.45%,431,230
dc,115,DC Prep PCS,218,DC Prep PCS - Benning Middle School,47.02%,,Y,54.45%,336,158
dc,115,DC Prep PCS,130,DC Prep PCS - Edgewood Elementary School,35.32%,,N,,436,154
dc,115,DC Prep PCS,196,DC Prep PCS - Edgewood Middle School,27.05%,,N,,329,89
dc,170,DC Scholars PCS,3070,DC Scholars PCS,57.49%,,Y,57.49%,375,216
dc,179,Democracy Prep Congress Heights PCS,234,Democracy Prep Congress Heights PCS,72.65%,,N,,713,518
dc,317,Digital Pioneers Academy PCS,1038,Digital Pioneers Academy PCS,62.50%,,Y,62.50%,120,75
dc,1,District of Columbia Public Schools,202,Aiton Elementary School,67.82%,,Y,58.05%,263,178
dc,1,District of Columbia Public Schools,203,Amidon-Bowen Elementary School,59.25%,,Y,58.05%,365,216
dc,1,District of Columbia Public Schools,450,Anacostia High School,68.64%,,Y,58.05%,424,291
dc,1,District of Columbia Public Schools,452,Ballou High School,64.64%,,Y,58.05%,912,590
dc,1,District of Columbia Public Schools,462,Ballou STAY High School,75.44%,,Y,58.05%,238,180
dc,1,District of Columbia Public Schools,204,Bancroft Elementary School @ Sharpe,21.24%,,Y,58.05%,568,121
dc,1,District of Columbia Public Schools,,Bard High School Early College DC,,,Y,42.39%,169,
dc,1,District of Columbia Public Schools,205,Barnard Elementary School,40.15%,,Y,58.05%,672,270
