state,District Code,District Name,School Code,School Name,individual_isp,proxy_isp,claiming_isp,participating_in_cep,total_enrolled,total_eligible
de,13,Capital SD,0636,Booker T. Washington,62.37%,,50.19%,Y,388,242
de,13,Capital SD,0644,Central Middle,50.05%,,50.19%,Y,1015,508
de,29,Appoquinimin,0010,Silver  Lake Elementary School ,11.60%,,,N,,
de,29,Appoquinimin,0011,Cedar Lane Elementary School ,3.93%,,,N,,
de,29,Appoquinimin,0013,Appoquinimink Preschool,7.31%,,,N,,
de,29,Appoquinimin,0014,Townsend Elementary School ,8.06%,,,N,,
de,29,Appoquinimin,0016,Louis L. Redding Middle School ,12.87%,,,N,,
de,29,Appoquinimin,0017,Everett Meredith Middle School ,10.20%,,,N,,
de,29,Appoquinimin,0018,Middletown High School ,6.48%,,,N,,
de,29,Appoquinimin,0020,Olive B. Loss Elementary School,4.51%,,,N,,
de,29,Appoquinimin,0021,Brick Mill Elementary School ,9.73%,,,N,,
de,29,Appoquinimin,0022,Cedar Lane Early Childhood Center,2.82%,,,N,,
de,29,Appoquinimin,0023,Alfred G. Waters Middle School,4.15%,,,N,,
de,29,Appoquinimin,0024,Appoquinimink High School,5.51%,,,N,,
de,29,Appoquinimin,0027,Townsend Early Childhood Center,8.74%,,,N,,
de,29,Appoquinimin,0029,Bunker Hill Elementary,7.87%,,,N,,
de,29,Appoquinimin,11692,Old State Elementary School,7.68%,,,N,,
de,29,Appoquinimin,11693,Spring Meadow Early Childhood Center,5.37%,,,N,,
de,29,Appoquinimin,20192900,Lorewood Grove Elementary School,8.04%,,,N,,
de,29,Appoquinimin,20202901,Odessa High School,6.98%,,,N,,
de,29,Appoquinimin,20212901,Brick Mill Early Childhood Center,12.57%,,,N,,
de,29,Appoquinimin,20212902,Cantwell's Bridge Middle School,8.06%,,,N,,
de,31,Brandywine SD,0190,Brandywine High School ,31.47%,,,N,1001,315
de,31,Brandywine SD,0112,Carcroft Elementary,41.45%,,40.59%,Y,457,189
de,31,Brandywine SD,0510,Charles W. Bush School ,22.73%,,,N,264,60
de,31,Brandywine SD,0151,Claymont Elementary,35.36%,,40.59%,Y,868,307
de,31,Brandywine SD,0194,Concord High,22.72%,,,N,,
de,31,Brandywine SD,0156,David Harlan Elementary,70.80%,,40.59%,Y,358,253
de,31,Brandywine SD,1062229,ECAP Brandywine,66.67%,,,N,72,48
de,31,Brandywine SD,0124,Forwood Elementary,26.63%,,,N,,
de,31,Brandywine SD,0110,Hanby Elementary,27.27%,,,N,,
de,31,Brandywine SD,0128,Lancashire Elementary,24.13%,,,N,,
de,31,Brandywine SD,0130,Lombardy Elementary,30.34%,,,N,445,135
de,31,Brandywine SD,0132,Maple Lane Elementary,40.82%,,40.59%,Y,388,158
de,31,Brandywine SD,0176,Mount Pleasant Elementary,35.47%,,40.59%,Y,728,258
de,31,Brandywine SD,0196,Mount Pleasant High,32.36%,,,N,1162,376
de,31,Brandywine SD,1700,Pierre S. duPont Middle School,43.91%,,40.59%,Y,926,407
de,31,Brandywine SD,0178,Springer Middle,27.35%,,,N,,
de,31,Brandywine SD,0180,Talley Middle,33.92%,,,N,849,288
de,10,Caesar Rodney SD,0610,Allen Frear Elementary School ,25.62%,,,N,,
de,10,Caesar Rodney SD,0611,J. Ralph McIlvaine Early Childhood Center ,36.65%,,,N,543,199
de,10,Caesar Rodney SD,0612,Major George S. Welch Elementary School ,2.93%,,,N,,
de,13,Capital SD,0648,Dover High,40.41%,,50.19%,Y,1866,754
de,10,Caesar Rodney SD,0616,Nellie Hughes Stokes Elementary School ,40.85%,,,N,377,154
de,13,Capital SD,0632,East Dover Elementary,56.82%,,50.19%,Y,447,254
de,10,Caesar Rodney SD,0620,W.B. Simpson Elementary School ,36.14%,,,N,581,210
de,10,Caesar Rodney SD,0621,F. Niel Postlehwait Middle School ,34.71%,,,N,628,218
de,10,Caesar Rodney SD,0622,W. Reily Brown Elementary School ,42.26%,,,N,594,251
de,10,Caesar Rodney SD,0625,Fred Fifer Middle School ,36.08%,,,N,765,276
de,10,Caesar Rodney SD,0626,Caesar Rodney High School ,25.77%,,,N,,
de,10,Caesar Rodney SD,0628,Dover Air Force Base Middle School ,4.71%,,,N,,
de,10,Caesar Rodney SD,0630,John S. Charlton School ,32.95%,,,N,258,85
de,10,Caesar Rodney SD,2021001001,Magnolia Middle School,25.67%,,,N,,
de,10,Caesar Rodney SD,2021001002,David E. Robinson Elementary School,32.57%,,,N,482,157
de,caesar-rodney-sd,Caesar Rodney SD,,Positive Outcomes Charter School,0.00%,,44.44%,Y,108,0
de,74,Campus Community Charter Scho,0573,Campus Community Charter School ,67.44%,,,N,390,263
de,17,Cape Henlopen,0710,H.O. Brittingham Elementary School ,27.68%,,,N,,
de,17,Cape Henlopen,0712,Lewes Elementary School,22.63%,,,N,,
de,17,Cape Henlopen,0718,Love Creek Elementary,24.33%,,,N,,
de,17,Cape Henlopen,0720,Mariner Middle School ,28.53%,,,N,,
de,17,Cape Henlopen,0721,Milton Elementary School ,23.73%,,,N,,
de,17,Cape Henlopen,0722,Rehoboth Elementary School ,23.64%,,,N,,
de,17,Cape Henlopen,0724,Beacon Middle School ,21.70%,,,N,,
de,17,Cape Henlopen,0725,Sussex Consortium,19.48%,,,N,,
de,17,Cape Henlopen,0726,Cape Henlopen High School,19.17%,,,N,,
de,13,Capital SD,0638,Fairview Elementary,57.04%,,50.19%,Y,291,166
de,13,Capital SD,0640,Hartly Elementary,33.93%,,50.19%,Y,336,114
de,13,Capital SD,0650,Kent County Community,47.67%,,50.19%,Y,86,41
