state,District Code,District Name,School Code,School Name,individual_isp,proxy_isp,claiming_isp,participating_in_cep,total_enrolled,total_eligible
fl,1,Alachua County School Board,0031,Carolyn Beatrice Parker Elementary,44.44%, ,62.60%,Y,576,256
fl,1,Alachua County School Board,0041,Stephen Foster Elementary School,62.24%, ,62.60%,Y,457,284
fl,1,Alachua County School Board,0052,A.Q. Jones Exceptional Student,97.44%, ,62.60%,Y,64,62
fl,1,Alachua County School Board,0071,Lake Forest Elementary School,90.75%, ,62.60%,Y,336,305
fl,1,Alachua County School Board,0081,Sidney Lanier School / HDCP,60.87%, ,62.60%,Y,169,103
fl,1,Alachua County School Board,0091,Littlewood Elementary School,49.50%, ,62.60%,Y,677,335
fl,1,Alachua County School Board,0101,Metcalfe Elementary School,87.89%, ,62.60%,Y,482,424
fl,1,Alachua County School Board,0111,Williams Elementary School,68.68%, ,62.60%,Y,480,330
fl,1,Alachua County School Board,0112,Lincoln Middle School,55.38%, ,62.60%,Y,732,405
fl,1,Alachua County School Board,0121,Howard Bishop Middle School,55.21%, ,62.60%,Y,710,392
fl,1,Alachua County School Board,0141,Westwood Middle School,52.33%, ,62.60%,Y,849,444
fl,1,Alachua County School Board,0151,Gainesville High School,39.13%, ,,N,1794,702
fl,1,Alachua County School Board,0161,Alachua Elementary School,65.61%, ,62.60%,Y,325,213
fl,1,Alachua County School Board,0171,Archer Community,56.91%, ,62.60%,Y,508,289
fl,1,Alachua County School Board,0201,Hawthorne High School,73.33%, ,62.60%,Y,472,346
fl,1,Alachua County School Board,0221,A. L. Mebane Middle School,63.55%, ,62.60%,Y,332,211
fl,1,Alachua County School Board,0261,Newberry High School,38.63%, ,,N,655,253
fl,1,Alachua County School Board,0271,Santa Fe High School,39.37%, ,,N,1072,422
fl,1,Alachua County School Board,0281,Shell Elementary School,78.86%, ,62.60%,Y,388,306
fl,1,Alachua County School Board,0311,Myra Terwilliger Elementary School,78.62%, ,62.60%,Y,524,412
fl,1,Alachua County School Board,0321,Idywild Elementary School,80.63%, ,62.60%,Y,686,553
fl,1,Alachua County School Board,0331,Glen Springs Elementary School,46.88%, ,62.60%,Y,394,185
fl,1,Alachua County School Board,0341,Marjorie K. Rawlings Elementary School,92.43%, ,62.60%,Y,434,401
fl,1,Alachua County School Board,0411,Loften Center,35.43%, ,,N,254,90
fl,1,Alachua County School Board,0421,Eastside High School,54.07%, ,62.60%,Y,1174,635
fl,1,Alachua County School Board,0431,Buchholz High School,29.29%, ,,N,0,0
fl,1,Alachua County School Board,0461,High Springs Community,37.84%, ,,N,954,361
fl,1,Alachua County School Board,0481,Fort Clarke Middle School,44.96%, ,,N,932,419
fl,1,Alachua County School Board,0482,Hidden Oak Elementary School,30.79%, ,,N,786,242
fl,1,Alachua County School Board,0501,Kimball Wiles Elementary School,35.58%, ,,N,874,311
fl,1,Alachua County School Board,0502,Kanapaha Middle School,45.71%, ,,N,1131,517
fl,1,Alachua County School Board,0510,Lawton M Chiles Elementary School,30.80%, ,,N,724,223
fl,1,Alachua County School Board,0520,Meadowbrook Elementary School,28.30%, ,,N,0,0
fl,1,Alachua County School Board,0531,Newberry Elementary School,45.52%, ,62.60%,Y,654,298
fl,1,Alachua County School Board,0541,C.W. Norton Elementary School,48.03%, ,62.60%,Y,572,275
fl,1,Alachua County School Board,0561,William S Talbot Elementary School,31.88%, ,,N,665,212
fl,1,Alachua County School Board,0571,W.W. Irby Elementary School,66.32%, ,62.60%,Y,380,252
fl,1,Alachua County School Board,0591,Oak View Middle School,42.49%, ,,N,946,402
fl,1,Alachua County School Board,0603,AMI Kids,81.82%, ,81.82%,Y,26,21
fl,1,Alachua County School Board,0801,P.K. Yonge Developmental School,19.37%, ,,N,0,0
fl,1,Alachua County School Board,0924,Santa Fe College High School Dual Enrollment,0.00%, ,,N,0,0
fl,1,Alachua County School Board,0950,One Room School House,67.26%, ,62.60%,Y,188,126
fl,1,Alachua County School Board,0953,Caring and Sharing Learning School,74.29%, ,62.60%,Y,256,190
fl,1,Alachua County School Board,0955,"The Einstein School, Inc.",59.18%, ,62.60%,Y,99,59
fl,1,Alachua County School Board,0956,"Expressions Learning Arts Academy, Inc.",25.30%, ,,N,83,21
fl,1,Alachua County School Board,0961,Micanopy Academy,53.85%, ,66.15%,Y,85,46
fl,1,Alachua County School Board,0981,Healthy Learning Academy,11.54%, ,,N,0,0
fl,1,Alachua County School Board,0991,SIATech at Gainesville Annex,68.45%, ,62.60%,Y,92,63
fl,1,Alachua County School Board,1003,North Central Florida Public Charter School,84.95%, ,62.60%,Y,184,156
fl,1,Alachua County School Board,1012,Boulware Springs Charter School,60.65%, ,62.60%,Y,157,95
fl,1,Alachua County School Board,1013,Resilience Charter School,65.35%, ,66.33%,Y,110,72
fl,1,Alachua County School Board,1057,Z.I. Sung S.D.A. School,66.67%, ,,N,24,16
fl,2,Baker County School Board,0012,Baker County High School,43.13%, ,48.72%,Y,1319,569
fl,2,Baker County School Board,0013,Macclenny Elementary School,57.26%, ,57.26%,Y,572,328
fl,2,Baker County School Board,0022,Baker County Pre-K and Kindergarten Center,54.65%, ,54.65%,Y,613,335
fl,2,Baker County School Board,0031-0,Keller Intermediate School,57.43%, ,57.43%,Y,770,442
fl,2,Baker County School Board,0032,Baker Middle School,51.57%, ,51.57%,Y,1086,560
fl,2,Baker County School Board,0091-0,Westside Elementary School,63.23%, ,48.72%,Y,562,355
fl,3,Bay District School System,0061,Bay High School,60.45%, ,62.98%,Y,1267,766
fl,3,Bay District School System,0071-0,Brown Middle School,55.26%, ,62.98%,Y,700,387
fl,3,Bay District School System,0081-0,Beach Elementary School,43.37%, ,,N,671,291
fl,3,Bay District School System,0091-1,Cedar Grove Elementary School,93.57%, ,62.98%,Y,590,552
fl,3,Bay District School System,0101-0,Callaway Elementary School,67.86%, ,62.98%,Y,495,336
fl,3,Bay District School System,0111-0,Cherry Street Elementary School,85.62%, ,62.98%,Y,380,325
fl,3,Bay District School System,0131,Lucille Moore Elementary School,72.02%, ,62.98%,Y,507,365
fl,3,Bay District School System,0151-0,Hiland Park Elementary School,54.42%, ,62.98%,Y,642,349
fl,3,Bay District School System,0161-0,Jinks Middle School,80.70%, ,62.98%,Y,564,455
fl,3,Bay District School System,0171-0,Lynn Haven Elementary School,44.34%, ,62.98%,Y,693,307
fl,3,Bay District School System,0201-0,Surfside Middle School,38.62%, ,,N,813,314
fl,3,Bay District School System,0211,Parker Elementary School,72.94%, ,62.98%,Y,491,358
fl,3,Bay District School System,0221-0,Southport Elementary School,53.18%, ,62.98%,Y,492,262
fl,3,Bay District School System,0241,St. Andrew School at Oakland Terrace,82.68%, ,62.98%,Y,101,84
fl,3,Bay District School System,0251,Waller Elementary School,72.84%, ,62.98%,Y,435,317
fl,3,Bay District School System,0262,West Bay Elementary School,46.58%, ,62.98%,Y,297,138
fl,3,Bay District School System,0281-0,M.K. Lewis School,51.76%, ,62.98%,Y,174,90
fl,3,Bay District School System,0331-0,Mowat Middle School,47.00%, ,62.98%,Y,879,413
fl,3,Bay District School System,0341-0,Rutherford High School,79.44%, ,62.98%,Y,1328,1055
fl,3,Bay District School System,0461-0,Deer Point Elementary School,43.21%, ,,N,641,277
fl,3,Bay District School System,0471,Northside Elementary School,62.02%, ,62.98%,Y,582,361
fl,3,Bay District School System,0491,A. Crawford Mosley High School,34.42%, ,,N,1871,644
fl,3,Bay District School System,0501-0,Tyndall Elementary School,23.01%, ,,N,578,133
fl,3,Bay District School System,0511,Tommy Smith Elementary School,52.02%, ,62.98%,Y,615,320
fl,3,Bay District School System,0521,Patronis Elementary School,34.25%, ,,N,654,224
fl,3,Bay District School System,0531-0,New Horizons Learning Center,76.11%, ,76.11%,Y,110,84
fl,3,Bay District School System,0541-0,Deane Bozeman School,48.73%, ,62.98%,Y,1614,787
fl,3,Bay District School System,0551,Arnold High School,34.58%, ,,N,1472,509
fl,3,Bay District School System,0571-0,Breakfast Point Academy,36.98%, ,,N,1060,392
fl,3,Bay District School System,0581,Rosenwald High School,68.32%, ,62.98%,Y,282,193
fl,3,Bay District School System,0611,A. Gary Walsingham Academy,0.00%, ,,N,0,0
fl,3,Bay District School System,0781,Chautauqua Learn & Serve Charter School,23.91%, ,62.98%,Y,45,11
fl,4,Bradford County School Board,0021,Bradford County High School,51.16%, ,62.42%,Y,816,417
fl,4,Bradford County School Board,0172,Bradford Middle School-Vo Tech,64.19%, ,62.42%,Y,655,420
fl,4,Bradford County School Board,0131-0,Lawtey Elementary School,60.55%, ,62.42%,Y,267,162
fl,4,Bradford County School Board,0081-1,Southside Elementary School,72.99%, ,62.42%,Y,651,475
fl,4,Bradford County School Board,0051,Starke Elementary School,64.77%, ,62.42%,Y,565,366
fl,5,Brevard County School Board,0011,Titusville High School,42.00%, ,,N,1169,491
fl,5,Brevard County School Board,0051-0,Oak Park Elementary School,67.31%, ,59.80%,Y,579,390
fl,5,Brevard County School Board,0052-0,James Madison Middle School,59.96%, ,59.80%,Y,482,289
fl,5,Brevard County School Board,0061-0,Apollo Elementary School,64.60%, ,59.80%,Y,808,522
fl,5,Brevard County School Board,0089,Fieldston Preparatory School,66.20%, ,71.09%,Y,130,86
fl,5,Brevard County School Board,0091-2,Coquina Elementary School,67.28%, ,59.80%,Y,547,368
fl,5,Brevard County School Board,0101-1,Mims Elementary School,75.49%, ,59.80%,Y,465,351
fl,5,Brevard County School Board,0122,South Lake Elementary School,24.87%, ,,N,0,0
fl,5,Brevard County School Board,0141-0,Andrew Jackson Middle School,57.52%, ,59.80%,Y,571,328
fl,5,Brevard County School Board,0151-1,Imperial Estates Elementary School,55.38%, ,59.80%,Y,645,357
fl,5,Brevard County School Board,0161-1,Astronaut High School,43.58%, ,,N,1028,448
fl,5,Brevard County School Board,0181,Pinewood Elementary School,51.11%, ,59.80%,Y,504,258
fl,5,Brevard County School Board,0191,Challenger 7 Elementary School,48.26%, ,59.80%,Y,518,250
fl,5,Brevard County School Board,0201-1,Atlantis Elementary School,51.93%, ,59.80%,Y,647,336
fl,5,Brevard County School Board,0301,Enterprise Elementary School,40.66%, ,,N,605,246
fl,5,Brevard County School Board,0302,Space Coast Jr./Sr. High School,38.88%, ,,N,1484,577
fl,5,Brevard County School Board,1011,Rockledge High School,40.37%, ,,N,1506,608
fl,5,Brevard County School Board,1017,North/Centeral Area Alternative Learning,75.51%, ,75.51%,Y,133,100
fl,5,Brevard County School Board,1018,South Area Abeyance Center,63.85%, ,63.85%,Y,170,109
fl,5,Brevard County School Board,1029,Riverdale Country School,77.19%, ,,N,57,44
fl,5,Brevard County School Board,1041,Cambridge Elementary School,75.63%, ,60.79%,Y,513,388
fl,5,Brevard County School Board,1051,Endeavour Magnet Elementary School,70.89%, ,60.79%,Y,720,510
fl,5,Brevard County School Board,1071,Golfview Magnet Elementary School,72.00%, ,60.79%,Y,478,344
fl,5,Brevard County School Board,1081,Ronald McNair Magnet Middle School,48.84%, ,60.79%,Y,345,168
fl,5,Brevard County School Board,1091,Fairglen Elementary School,65.16%, ,60.79%,Y,600,391
fl,5,Brevard County School Board,1101,John F. Kennedy Middle School,35.06%, ,,N,676,237
fl,5,Brevard County School Board,1121,Cocoa High School,65.86%, ,60.79%,Y,1517,999
fl,5,Brevard County School Board,1121A,BLAST Program at Clearlake 1073,3.33%, ,,N,0,0
fl,5,Brevard County School Board,1131,Saturn Elementary School,80.31%, ,60.79%,Y,681,547
fl,5,Brevard County School Board,1141,Hans Christian Andersen Elementary School,49.19%, ,60.79%,Y,617,304
fl,5,Brevard County School Board,1151,"Williams, Ralph Elementary School",29.78%, ,,N,0,0
fl,5,Brevard County School Board,1161,Manatee Elementary School,14.10%, ,,N,0,0
fl,5,Brevard County School Board,1171,Viera High School,12.17%, ,,N,0,0
fl,5,Brevard County School Board,2011,Melbourne High School,24.03%, ,,N,0,0
fl,5,Brevard County School Board,2021,Palm Bay High School,53.81%, ,60.79%,Y,1296,697
fl,5,Brevard County School Board,2031,Meadowlane Intermediate School,30.56%, ,,N,854,261
fl,5,Brevard County School Board,2041,Meadowlane Primary,36.25%, ,,N,698,253
fl,5,Brevard County School Board,2042,West Melbourne Elementary School for Science,13.68%, ,,N,0,0
fl,5,Brevard County School Board,2051,University Park Elementary School,72.87%, ,59.36%,Y,495,361
fl,5,Brevard County School Board,2061,Port Malabar Elementary School,62.92%, ,59.36%,Y,642,404
fl,5,Brevard County School Board,2071,Stone Middle School,60.65%, ,59.36%,Y,758,460
fl,5,Brevard County School Board,2081,Palm Bay Elementary School,73.62%, ,59.36%,Y,584,430
fl,5,Brevard County School Board,2111,Lockmar Elementary School,48.41%, ,59.36%,Y,635,307
fl,5,Brevard County School Board,2121,"John F. Turner, Sr. Elementary School",59.15%, ,59.36%,Y,591,350
fl,5,Brevard County School Board,2122,Southwest Middle School,49.25%, ,59.36%,Y,946,466
fl,5,Brevard County School Board,2131,Columbia Elementary School,64.24%, ,59.36%,Y,483,310
fl,5,Brevard County School Board,2151,Discovery Elementary School,62.01%, ,59.36%,Y,648,402
fl,5,Brevard County School Board,2161,Christa McAuliffe Elementary School,59.36%, ,60.15%,Y,659,391
fl,5,Brevard County School Board,2171,Riviera Elementary School,61.35%, ,59.36%,Y,714,438
fl,5,Brevard County School Board,2191,Jupiter Elementary School,62.16%, ,59.36%,Y,778,484
fl,5,Brevard County School Board,2211,Bayside High School,39.48%, ,,N,1621,640
fl,5,Brevard County School Board,2212,Westside Elementary School,42.42%, ,60.79%,Y,808,343
fl,5,Brevard County School Board,2221,Sunrise Elementary School,46.74%, ,59.36%,Y,740,346
fl,5,Brevard County School Board,2311,Heritage High School,43.36%, ,,N,1898,823
