state,District Code,District Name,School Code,School Name,individual_isp,proxy_isp,claiming_isp,participating_in_cep,total_enrolled,total_eligible
ga,11589,7 Pillars Academy,0001,7 Pillars Academy,,,57.50%,Y,226,
ga,601,Appling County,0103,Appling County High School,32.39%,,50.04%,Y,1060,343
ga,601,Appling County,0177,Appling County Elementary School,48.89%,,50.04%,Y,1189,581
ga,601,Appling County,0195,Appling County Middle School,44.70%,,50.04%,Y,713,319
ga,601,Appling County,0277,Appling County Primary School,52.00%,,,N,650,338
ga,601,Appling County,1050,Altamaha Elementary School,34.11%,,50.04%,Y,380,130
ga,601,Appling County,5050,Fourth District Elementary School,32.84%,,50.04%,Y,121,40
ga,602,Atkinson County,0103-0,Atkinson County High School,32.95%,,,N,440,145
ga,602,Atkinson County,0111,Atkinson County Middle School,50.53%,,,N,376,190
ga,602,Atkinson County,0187,Willacoochee Elementary School,71.86%,,,N,167,120
ga,602,Atkinson County,0190,Pearson Elementary School,45.77%,,,N,627,287
ga,761,Atlanta Public Schools,0415,Atlanta Classical Academy,0.44%,,,N,,
ga,761,Atlanta Public Schools,0505,Atlanta Neighborhood Charter - Elementary,1.02%,,,N,,
ga,761,Atlanta Public Schools,0206,Atlanta Neighborhood Charter - Middle,0.43%,,,N,,
ga,761,Atlanta Public Schools,1411,B.E.S.T Academy,6.48%,,62.50%,Y,237,15
ga,761,Atlanta Public Schools,5066,Barack and Michelle Obama Academy,12.24%,,62.50%,Y,258,32
ga,761,Atlanta Public Schools,0604,Bazoline E. Usher/Collier Heights Elmentary School,13.00%,,62.50%,Y,398,52
ga,761,Atlanta Public Schools,3051,Beecher Hills Elementary School,7.76%,,62.50%,Y,241,19
ga,761,Atlanta Public Schools,0182,Benjamin E. Mays High School,10.65%,,62.50%,Y,1337,142
ga,761,Atlanta Public Schools,5051,Benteen Elementary School,5.00%,,62.50%,Y,267,13
ga,761,Atlanta Public Schools,0303,Bolton Academy Elementary ,0.37%,,,N,,
ga,761,Atlanta Public Schools,0315,Booker T. Washington High School,12.41%,,62.50%,Y,831,103
ga,761,Atlanta Public Schools,0305,Burgess-Peterson Elementary School,6.29%,,,N,,
ga,761,Atlanta Public Schools,1413,Carver High School,12.37%,,62.50%,Y,445,55
ga,761,Atlanta Public Schools,0196,Cascade Elementary School,15.06%,,62.50%,Y,348,52
ga,761,Atlanta Public Schools,0199,Centennial Place Academy (Charter),10.05%,,62.50%,Y,804,81
ga,761,Atlanta Public Schools,0515,Charles Drew Charter JA/SR Academy,3.26%,,,N,,
ga,761,Atlanta Public Schools,2560,Charles L. Gideons Elementary School,10.34%,,62.50%,Y,343,35
ga,761,Atlanta Public Schools,0201,Charles R. Drew Charter School,3.02%,,,N,,
ga,761,Atlanta Public Schools,4056,Cleveland Avenue Elementary School,13.15%,,62.50%,Y,273,36
ga,761,Atlanta Public Schools,3057,Continental Colony Elementary School,13.68%,,62.50%,Y,371,51
ga,761,Atlanta Public Schools,1410,Corretta Scott King Young Womens' Leadership Academy,7.69%,,62.50%,Y,323,25
ga,761,Atlanta Public Schools,0173,Crawford Long Middle School,12.85%,,62.50%,Y,705,91
ga,761,Atlanta Public Schools,1409,D. M. Therrell High School,10.77%,,62.50%,Y,973,105
ga,761,Atlanta Public Schools,1563,David T Howard Middle School,3.55%,,,N,,
ga,761,Atlanta Public Schools,0304,Deerwood Academy ,11.35%,,62.50%,Y,512,58
ga,761,Atlanta Public Schools,1066,E. Rivers Elementary School,2.31%,,,N,,
ga,761,Atlanta Public Schools,1063,Emma Hutchinson Elementary School,15.56%,,62.50%,Y,297,46
ga,761,Atlanta Public Schools,5566,F. L. Stanton Elementary School,9.77%,,62.50%,Y,207,20
ga,761,Atlanta Public Schools,0105,Finch Elementary,18.10%,,62.50%,Y,339,61
ga,761,Atlanta Public Schools,5567,Fred A. Toomer Elementary School,8.51%,,,N,,
ga,761,Atlanta Public Schools,4058,Frederick Douglass High School,11.08%,,62.50%,Y,1112,123
ga,761,Atlanta Public Schools,0106,G.W. Carver High School Early College,9.51%,,,N,515,49
ga,761,Atlanta Public Schools,1560,Garden Hills Elementary School,4.19%,,,N,,
ga,761,Atlanta Public Schools,0403,Hank Aaron New Beginnings Academy,33.33%,,62.50%,Y,168,56
ga,761,Atlanta Public Schools,1421,Harper-Archer Elementary School,10.48%,,62.50%,Y,641,67
ga,761,Atlanta Public Schools,0103-1,Heritage Academy Elementary School,16.46%,,62.50%,Y,398,66
ga,761,Atlanta Public Schools,0100,Herman J. Russell West End Academy,13.24%,,62.50%,Y,399,53
ga,761,Atlanta Public Schools,0207,Hillside Conant School,100.00%,,,N,46,46
ga,761,Atlanta Public Schools,2563,Jackson Elementary School,0.81%,,,N,,
ga,761,Atlanta Public Schools,0282,Jean Childs Young Middle School,12.11%,,62.50%,Y,747,90
ga,761,Atlanta Public Schools,1418,John Lewis Invictus Academy,10.86%,,62.50%,Y,825,90
ga,761,Atlanta Public Schools,0104,John Wesley Dobbs Elementary School,11.96%,,62.50%,Y,354,42
ga,761,Atlanta Public Schools,5562,Joseph Humphries Elementary School,14.48%,,62.50%,Y,262,38
ga,761,Atlanta Public Schools,0288,Judson Price Middle School,14.09%,,62.50%,Y,283,40
ga,761,Atlanta Public Schools,1417,Kindezi Old 4th Ward,8.29%,,62.50%,Y,434,36
ga,761,Atlanta Public Schools,1064,L. O. Kimberly Elementary School,15.19%,,62.50%,Y,334,51
ga,761,Atlanta Public Schools,4063,M. A. Jones Elementary School,13.55%,,62.50%,Y,461,62
ga,761,Atlanta Public Schools,0373,Martin L. King Jr. Middle School,9.92%,,62.50%,Y,818,81
ga,761,Atlanta Public Schools,2564,Mary Lin Elementary School,0.95%,,,N,,
ga,761,Atlanta Public Schools,0186,Maynard Jackson High School,6.96%,,,N,,
ga,761,Atlanta Public Schools,1414,Michael R. Hollis Innovation Academy,17.05%,,62.50%,Y,653,111
ga,761,Atlanta Public Schools,4560,Midtown High School,3.24%,,,N,,
ga,761,Atlanta Public Schools,0513,Miles Elementary School,11.52%,,62.50%,Y,516,59
ga,761,Atlanta Public Schools,1664,Morningside Elementary School,0.87%,,,N,,
ga,761,Atlanta Public Schools,2053,Morris Brandon Elementary School,1.22%,,,N,,
ga,761,Atlanta Public Schools,0192,North Atlanta High School,2.34%,,,N,,
ga,761,Atlanta Public Schools,0101,Parkside Elementary School,6.57%,,,N,,
ga,761,Atlanta Public Schools,5558,Paul L. Dunbar Elementary School,12.09%,,62.50%,Y,287,35
ga,761,Atlanta Public Schools,3065,Peyton Forest Elementary School,13.63%,,62.50%,Y,386,53
ga,761,Atlanta Public Schools,3559,R. N. Fickett Elementary School,10.78%,,62.50%,Y,451,49
ga,761,Atlanta Public Schools,0180,Ralph Bunche Middle School,13.45%,,62.50%,Y,824,111
ga,761,Atlanta Public Schools,1567,Sara Rawson Smith Elementary School,1.87%,,,N,,
ga,761,Atlanta Public Schools,1412,South Atlanta High School,12.14%,,62.50%,Y,928,113
ga,761,Atlanta Public Schools,0116,Springdale Park Elementary School,1.39%,,,N,,
ga,761,Atlanta Public Schools,0188,Sylvan Hills Middle School,11.59%,,62.50%,Y,445,52
ga,761,Atlanta Public Schools,0296,T. J. Perkerson Elementary School,8.31%,,62.50%,Y,354,29
ga,761,Atlanta Public Schools,2062,The John Hope-Charles Walter Hill Elementary Schools,13.73%,,62.50%,Y,369,51
ga,761,Atlanta Public Schools,0123,The Kindezi School,8.87%,,62.50%,Y,427,38
ga,761,Atlanta Public Schools,4066,Thomas Heathe Slater Elementary School,14.44%,,62.50%,Y,569,82
ga,761,Atlanta Public Schools,5067,Thomasville Heights Elementary School,12.94%,,62.50%,Y,373,48
ga,761,Atlanta Public Schools,1416,Tuskegee Airman Global Academy,14.79%,,62.50%,Y,520,77
ga,761,Atlanta Public Schools,1208,Wesley International Academy Charter,7.16%,,,N,,
ga,761,Atlanta Public Schools,2569,West Manor Elementary School,11.76%,,62.50%,Y,248,29
ga,761,Atlanta Public Schools,0314,Westside Atlanta Charter School,6.29%,,,N,,
ga,761,Atlanta Public Schools,3566,William J. Scott Elementary School,8.98%,,62.50%,Y,289,26
ga,761,Atlanta Public Schools,1053,William M.Boyd Elementary School,18.22%,,62.50%,Y,503,92
ga,761,Atlanta Public Schools,3067,Willis A. Sutton Middle School,2.55%,,,N,,
ga,761,Atlanta Public Schools,1415,Woodson Park Academy School,13.16%,,,N,737,97
ga,11592,"Atlanta Youth Academies, Inc.",0001-0,"Atlanta Youth Academies, Inc.",,,57.73%,Y,123,
ga,603,Bacon County,0102,Bacon County Primary School,48.52%,,56.01%,Y,571,277
ga,603,Bacon County,0202,Bacon County Middle School,35.60%,,48.48%,Y,465,166
ga,603,Bacon County,0302,Bacon County High School,27.15%,,,N,,
ga,603,Bacon County,3050,Bacon County Elementary School,37.50%,,56.01%,Y,451,169
ga,604,Baker County,0105-0,Baker County K12 School,30.16%,,68.59%,Y,300,90
ga,605,Baldwin County,0189,Baldwin High School,36.24%,,55.88%,Y,1311,475
ga,605,Baldwin County,0300,Lakeview Academy,43.33%,,55.88%,Y,650,282
ga,605,Baldwin County,0302-0,Lakeview Primary,47.32%,,55.88%,Y,835,395
ga,605,Baldwin County,0303-0,Midway Hills Academy,56.88%,,55.88%,Y,427,243
ga,605,Baldwin County,0301,Midway Hills Primary,49.69%,,55.88%,Y,427,212
ga,605,Baldwin County,0100-0,Oak Hill MS,49.32%,,55.88%,Y,986,486
ga,607,Barrow County,0101-0,Apalachee High School,15.76%,,,N,,
ga,607,Barrow County,0105-1,County Line Elementary School,21.38%,,,N,,
ga,607,Barrow County,0106-0,Haymon-Morris Middle School,19.41%,,,N,,
ga,607,Barrow County,0114,Bear Creek Middle School,24.28%,,,N,,
ga,607,Barrow County,0189-0,Kennedy Elementary School,26.54%,,,N,,
ga,607,Barrow County,0193,Bramlett Elementary School,14.14%,,,N,,
ga,607,Barrow County,0198,Westside Middle School,26.36%,,,N,,
ga,607,Barrow County,0205,Bethlehem Elementary School,21.51%,,,N,,
ga,607,Barrow County,0289,Russell Middle School,22.49%,,,N,,
ga,607,Barrow County,0298,Yargo Elementary School,17.55%,,,N,,
ga,607,Barrow County,0299,Winder Elementary School,35.56%,,,N,599,213
ga,607,Barrow County,0300-0,Barrow Arts and Sciences Academy,10.43%,,,N,,
ga,607,Barrow County,1050-0,Auburn Elementary School,24.20%,,,N,,
ga,607,Barrow County,3052,Winder-Barrow High School,17.61%,,,N,,
ga,607,Barrow County,4050,Holsenbeck Elementary School,23.93%,,,N,,
ga,607,Barrow County,5050-0,Statham Elementary School,24.61%,,,N,,
ga,608,Bartow County,0101-1,Woodland Middle School at Euharlee,20.95%,,,N,,
ga,608,Bartow County,0104-0,Clear Creek Elementary School,27.54%,,,N,,
ga,608,Bartow County,0105-2,Adairsville High School,20.57%,,,N,,
ga,608,Bartow County,0106-1,Pine Log Elementary,25.46%,,,N,,
ga,608,Bartow County,0107,Euharlee Elementary School,22.76%,,,N,,
