state,District Code,District Name,School Code,School Name,individual_isp,proxy_isp,claiming_isp,participating_in_cep,total_enrolled,total_eligible
hi,2406-6,Connections PCS,396-PCS,Connections PCS,56.13%,,63.11%,Y,351,197
hi,2413-9,Hawaii Academy of Arts and Sciences PCS,561-PCS,Hawaii Academy of Arts and Sciences PCS,52.14%,,53.86%,Y,679,354
hi,1443-5,Ho'okako'o Schools,275-PCS,Kamaile Academy PCS,74.64%,,68.99%,Y,978,730
hi,1443-5,Ho'okako'o Schools,411-PCS,Kualapuu Elementary PCS,54.44%,,68.99%,Y,349,190
hi,1443-5,Ho'okako'o Schools,394-PCS,Waimea Middle PCS,64.32%,,68.99%,Y,213,137
hi,2410-4,Ka 'Umeke Ka'eo PCS,568-PCS,Ka 'Umeke Ka'eo PCS,67.31%,,60.67%,Y,146,98
hi,2410-4,Ka 'Umeke Ka'eo PCS,562-PCS,Ka 'Umeke Ka'eo PCS- Pa Hoaka,49.19%,,,N,124,61
hi,2410-4,Ka 'Umeke Ka'eo PCS,567-PCS,Ka Umeke Ka'eo PCS- Kai Kohola,68.18%,,,N,22,15
hi,1433-8,Ka Waihona o ka Na'auao PCS ,545-PCS,Ka Waihona o ka Na'auao PCS ,51.38%,,51.38%,Y,578,297
hi,2411-2,Ke Ana La'ahana PCS,549-PCS,Ke Ana La'ahana PCS,68.29%,,68.29%,Y,41,28
hi,2414-7,Ke Kula 'o Nawahiokalani'opu'u Iki Laboratory PCS,701-PCS,Alo Kehau O ka 'Aina Mauna PCS,42.11%,,,N,38,16
hi,2414-7,Ke Kula 'o Nawahiokalani'opu'u Iki Laboratory PCS,563-PCS,Ke Kula 'o Nawahiokalani'opu'u Iki Laboratory PCS,39.72%,,43.49%,Y,477,189
hi,2414-7,Ke Kula 'o Nawahiokalani'opu'u Iki Laboratory PCS,702-PCS,Ma'ilikukahi,46.84%,,,N,79,37
hi,4407-5,Ke Kula Ni'ihau O Kekaha Learning Center PCS,556-PCS,Ke Kula Ni'ihau O Kekaha Learning Center PCS,42.86%,,56.67%,Y,56,24
hi,2415-5,Kua 'O Ka La PCS,716-PCS,Kua 'O Ka La PCS,68.94%,,69.54%,Y,174,120
hi,2415-5,Kua 'O Ka La PCS,717-PCS,Pu'ula Church,76.92%,,,N,13,10
hi,2418-0,Laupahoehoe Community PCS,377-PCS,Laupahoehoe Community PCS,47.59%,,49.14%,Y,332,158
hi,2412-1,Na Wai Ola PCS,398-PCS,Na Wai Ola PCS,80.45%,,80.45%,Y,133,107
hi,1434-6,State of Hawaii - Department of Education,224,Admiral Arthur W. Radford High,9.35%,,,N,,
hi,1434-6,State of Hawaii - Department of Education,335,Ahuimanu Elementary,22.81%,,,N,,
hi,1434-6,State of Hawaii - Department of Education,200,Aiea Elem School,69.40%,,62.76%,Y,317,220
hi,1434-6,State of Hawaii - Department of Education,202,Aiea High,29.13%,,,N,,
hi,1434-6,State of Hawaii - Department of Education,201,Aiea Intermediate,29.85%,,,N,,
hi,1434-6,State of Hawaii - Department of Education,300,Aikahi Elementary,7.13%,,,N,,
hi,1434-6,State of Hawaii - Department of Education,100,Aina Haina Elementary,12.37%,,,N,,
hi,1434-6,State of Hawaii - Department of Education,101,Ala Wai Elem School,49.19%,,49.19%,Y,372,183
hi,1434-6,State of Hawaii - Department of Education,203,Aliamanu Elementary,14.40%,,,N,,
hi,1434-6,State of Hawaii - Department of Education,204,Aliamanu Middle,9.76%,,,N,,
hi,1434-6,State of Hawaii - Department of Education,102,Aliiolani Elementary,34.41%,,,N,247,85
hi,1434-6,State of Hawaii - Department of Education,227,Alvah A. Scott Elementary,31.50%,,,N,473,149
hi,1434-6,State of Hawaii - Department of Education,103,Anuenue School,48.95%,,61.34%,Y,476,233
hi,1434-6,State of Hawaii - Department of Education,250,August Ahrens Elementary,32.30%,,,N,1226,396
hi,1434-6,State of Hawaii - Department of Education,251,Barbers Point Elem School,43.74%,,58.62%,Y,455,199
hi,1434-6,State of Hawaii - Department of Education,221,Chester W. Nimitz Elementary,1.77%,,,N,,
hi,1434-6,State of Hawaii - Department of Education,448,Chiefess Kamakahelei Middle,35.26%,,,N,831,293
hi,1434-6,State of Hawaii - Department of Education,207,Daniel K. Inouye Elementary,4.23%,,,N,,
hi,1434-6,State of Hawaii - Department of Education,105,Dole Middle School,62.57%,,62.58%,Y,537,336
hi,1434-6,State of Hawaii - Department of Education,451,Eleele Elementary,37.06%,,,N,456,169
hi,1434-6,State of Hawaii - Department of Education,463,Elsie H. Wilcox Elementary,36.52%,,,N,764,279
hi,1434-6,State of Hawaii - Department of Education,302,Enchanted Lake Elementary,25.90%,,,N,,
hi,1434-6,State of Hawaii - Department of Education,351,Ernest Bowen de Silva Elementary,22.68%,,,N,,
hi,1434-6,State of Hawaii - Department of Education,254,Ewa Beach Elementary,20.67%,,,N,,
hi,1434-6,State of Hawaii - Department of Education,253,Ewa Elementary,35.15%,,,N,1064,374
hi,1434-6,State of Hawaii - Department of Education,296,Ewa Makai Middle School,21.71%,,,N,,
hi,1434-6,State of Hawaii - Department of Education,107,Fern Elem School,62.12%,,64.47%,Y,396,246
hi,1434-6,State of Hawaii - Department of Education,235,Gustave H. Webling Elementary,16.67%,,,N,,
hi,1434-6,State of Hawaii - Department of Education,352,Haaheo Elementary,32.34%,,,N,167,54
hi,1434-6,State of Hawaii - Department of Education,108,Hahaione Elementary,9.87%,,,N,,
