state,District Code,District Name,School Code,School Name,individual_isp,proxy_isp,claiming_isp,participating_in_cep,total_enrolled,total_eligible
ia,00180000,Adair-Casey CSD,0172,Adair-Casey Jr-Sr High School,37.41%,,,N,,
ia,00090000,AGWSR CSD,0109,Ackley-Geneva High School,30.30%,,,N,,
ia,00090000,AGWSR CSD,0436,AGWSR Elem at Wellsburg,43.48%,,,N,,
ia,00090000,AGWSR CSD,0172-0,AGWSR Middle School,35.25%,,,N,,
ia,04410000,AHSTW CSD,0409,AHST Elementary School,37.34%,,,N,,
ia,00720000,Albert City-Truesdale CSD,0109-0,Albert City-Truesdale High School,33.03%,,,N,,
ia,00810000,Albia CSD,0409-0,Grant Center,30.99%,,,N,,
ia,00810000,Albia CSD,0427,Lincoln Center,32.47%,,,N,,
ia,01080000,Alden CSD,0409-1,Alden Elementary School,31.21%,,,N,,
ia,01260000,Algona CSD,0409-2,Bertha Godfrey Elementary School,32.97%,,,N,,
ia,16118103,All Saints Catholic Schools-Davenport,8103,All Saints Catholic School,40.73%,,,N,,
ia,01710000,Alta-Aurelia CSD,0409-3,Alta Elementary School,35.74%,,,N,,
ia,02250000,Ames CSD,0456,Kate Mitchell Elementary School,42.72%,,,N,,
ia,02250000,Ames CSD,0454,Meeker Elementary School,33.61%,,,N,,
ia,02250000,Ames CSD,0961,Northwood Preschool Center,34.02%,,,N,,
ia,02340000,Anamosa CSD,0109-1,Anamosa High School,33.08%,,,N,,
ia,02340000,Anamosa CSD,0209,Anamosa Middle School,42.68%,,,N,,
ia,02340000,Anamosa CSD,8000,St Patrick School - Anamosa,36.96%,,,N,,
ia,02340000,Anamosa CSD,0418,Strawberry Hill Elementary School,41.31%,,,N,,
ia,02430000,Andrew CSD,0409-4,Andrew Elementary School,33.12%,,,N,,
ia,03870000,Atlantic CSD,0445,Washington Elementary School,45.55%,,,N,,
ia,03870000,Atlantic CSD,0109-2,Atlantic High School,40.74%,,,N,,
ia,03870000,Atlantic CSD,0209-0,Atlantic Middle School,34.68%,,,N,,
ia,03870000,Atlantic CSD,0118,Educational Opportunity Center,51.35%,,,N,,
ia,03870000,Atlantic CSD,0427-0,Schuler Elementary School,46.30%,,,N,,
ia,04140000,Audubon CSD,0409-5,Audubon Elementary School,41.77%,,43.70%,Y,254,106
ia,04140000,Audubon CSD,0109-3,Audubon High School,31.21%,,,N,,
ia,05400000,BCLUW CSD,0407,BCLUW Elementary School,41.51%,,,N,,
ia,05490000,Bedford CSD,0409-6,Bedford Elementary School,38.76%,,,N,,
ia,05760000,Belle Plaine CSD,0436-0,Longfellow Elementary School,35.03%,,,N,,
ia,05940000,Belmond-Klemme CSD,0109-4,Belmond-Klemme Community High School,40.35%,,,N,,
ia,05940000,Belmond-Klemme CSD,0409-7,Jacobson Elementary School,37.24%,,,N,,
ia,06030000,Bennett CSD,0409-8,Bennett Elementary School,53.57%,,,N,,
ia,06210000,Bettendorf CSD,0405,Grant Wood Elementary School,44.97%,,,N,,
ia,06210000,Bettendorf CSD,8201,Edison Center,36.17%,,,N,,
ia,06210000,Bettendorf CSD,0436-1,Mark Twain Elementary School,43.46%,,,N,,
ia,06210000,Bettendorf CSD,0445-0,Neil Armstrong Elementary School,50.70%,,,N,,
ia,60398005,Bishop Heelan Catholic Schools,8107,Dual Language Academy,32.76%,,,N,,
ia,07290000,Boone CSD,0209-1,Boone Middle School,34.41%,,,N,,
ia,07290000,Boone CSD,0418-0,Franklin Elementary School,33.89%,,,N,,
ia,07290000,Boone CSD,0436-2,Lincoln Elementary School,46.62%,,,N,,
ia,07290000,Boone CSD,0454-0,Page Elementary School,30.51%,,,N,,
