state,District Code,District Name,School Code,School Name,individual_isp,proxy_isp,claiming_isp,participating_in_cep,total_enrolled,total_eligible
id,0058,Aberdeen S.D.  #058,0298,Aberdeen Schools,,28.32%,,N,,
id,1508,All Saints Catholic School (Formerly St. Stanislaus),P01,All Saints Catholic School,,,,N,,
id,0381,American Falls S.D.  #381,0491,American Falls Alternative Academy,,48.57%,,N,35,
id,0381,American Falls S.D.  #381,0168,American Falls High School,,24.37%,,N,,
id,0381,American Falls S.D.  #381,0808,Hillcrest Elementary School,,31.79%,,N,346,
id,0381,American Falls S.D.  #381,0102,J.R. Simplot Elementary School,,31.36%,,N,338,
id,0381,American Falls S.D.  #381,0167,William Thomas Middle School,,25.75%,,N,,
id,0822,American Heritage Charter School,1346,American Heritage Charter School,,12.10%,,N,,
id,0814,Anser of Idaho Inc.,0001,Anser Public Charter School,,13.45%,,N,,
id,0072,Basin S.D.  #072,0159,Basin Schools,,15.55%,,N,,
id,0033,Bear Lake County S.D.  #033,0370,A J Winters Elementary School,,12.08%,,N,,
id,0033,Bear Lake County S.D.  #033,0404,Bear Lake Clover Creek School,,11.11%,53.33%,Y,15,
id,0033,Bear Lake County S.D.  #033,0027,Bear Lake High School,,8.54%,,N,,
id,0033,Bear Lake County S.D.  #033,0026,Bear Lake Middle School,,9.61%,,N,,
id,0033,Bear Lake County S.D.  #033,0371,Georgetown Elementary School,,13.54%,,N,,
id,0033,Bear Lake County S.D.  #033,0372,Paris Elementary School,,10.32%,,N,,
id,1518,Bishop Kelly High School,S01,Bishop Kelly High School,,,,N,,
id,0055,Blackfoot S.D.  #055,0402,Blackfoot Community Charter Learning Center Middle School,,0.00%,,N,,
id,0055,Blackfoot S.D.  #055,0701,Blackfoot Community Learning,,,,N,,
id,0055,Blackfoot S.D.  #055,0381,Blackfoot Heritage Sixth Grade School,,22.09%,,N,,
id,0055,Blackfoot S.D.  #055,0034,Blackfoot High School,,12.46%,,N,,
id,0055,Blackfoot S.D.  #055,0382,Donald D. Stalker Elementary School,,35.85%,47.27%,Y,275,
id,0055,Blackfoot S.D.  #055,0387,Fort Hall Elementary School,,48.33%,62.42%,Y,157,
id,0055,Blackfoot S.D.  #055,0386,Groveland Elementary School,,14.86%,,N,,
id,0055,Blackfoot S.D.  #055,0388,I T Stoddard Elementary School,,24.41%,,N,,
id,0055,Blackfoot S.D.  #055,9006,Independence Alternate High School,,37.42%,43.89%,Y,18,
id,0055,Blackfoot S.D.  #055,0033,Mountain View Middle School,,17.53%,,N,,
id,0055,Blackfoot S.D.  #055,0384,Ridge Crest Elementary School,,19.52%,,N,,
id,0055,Blackfoot S.D.  #055,0385,Wapello Elementary School,,14.60%,,N,,
id,0061,Blaine County S.D.  #61,0636,Alturas Elementary School,,9.85%,,N,,
id,0061,Blaine County S.D.  #61,0394,Bellevue Elementary School,,11.64%,,N,,
id,0061,Blaine County S.D.  #61,0197,Carey Public School,,8.10%,,N,,
id,0061,Blaine County S.D.  #61,0395,Ernest Hemingway STEAM School,,3.15%,,N,,
id,0061,Blaine County S.D.  #61,0396,Hailey Elementary School,,16.79%,,N,,
id,0061,Blaine County S.D.  #61,1102,Silver Creek High School,,25.00%,,N,,
id,0061,Blaine County S.D.  #61,0042,Wood River High School,,5.02%,,N,,
id,0061,Blaine County S.D.  #61,0984,Wood River Middle School,,9.20%,,N,,
id,0234,Bliss S.D.  #234,0714,Bliss School,,16.67%,,N,,
id,0001,Boise S. D.  #001,0315,Adams Elementary School,,5.28%,,N,,
id,0001,Boise S. D.  #001,0300,Amity Elementary School,,14.25%,,N,,
id,0001,Boise S. D.  #001,T01,ASCENT,,,52.78%,Y,36,
id,0001,Boise S. D.  #001,0007,Boise Senior High School,,9.34%,,N,,
id,0001,Boise S. D.  #001,0008,Borah Senior High School,,15.63%,,N,,
id,0001,Boise S. D.  #001,0009,Capital Senior High School,,18.78%,,N,,
id,0001,Boise S. D.  #001,0326,Collister Elementary School,,5.32%,,N,,
id,0001,Boise S. D.  #001,0665,Cynthia Mann Elementary School,,17.85%,,N,,
id,0001,Boise S. D.  #001,0677,East Junior High School,,6.35%,,N,,
id,0001,Boise S. D.  #001,0002,Fairmont Junior High School,,28.63%,,N,,
id,0001,Boise S. D.  #001,0675,Frank Church High School,,36.96%,48.64%,Y,479,
id,0001,Boise S. D.  #001,0303,Garfield Elementary School,,46.79%,50.53%,Y,376,
id,0001,Boise S. D.  #001,0674,Grace Jordan Elementary,,28.50%,,N,,
id,0001,Boise S. D.  #001,0308,Hawthorne Elementary School,,30.60%,37.15%,Y,323,
id,0001,Boise S. D.  #001,0679,Hidden Springs Elementary School,,1.72%,,N,,
id,0001,Boise S. D.  #001,0302,Highlands Elementary School,,1.78%,,N,,
id,0001,Boise S. D.  #001,0307,Hillcrest Elementary School,,38.46%,44.25%,Y,348,
id,0001,Boise S. D.  #001,0003,Hillside Junior High School,,21.91%,,N,,
id,0001,Boise S. D.  #001,0510,Horizon Elementary School,,30.84%,,N,467,
id,0001,Boise S. D.  #001,0317,Jefferson Elementary School,,44.87%,58.11%,Y,265,
id,0001,Boise S. D.  #001,0325,Koelsch Elementary School,,40.19%,51.34%,Y,372,
id,0001,Boise S. D.  #001,0206,Les Bois Junior High School,,9.97%,,N,,
id,0001,Boise S. D.  #001,0316,Liberty Elementary School,,5.84%,,N,,
id,0001,Boise S. D.  #001,0323,Longfellow Elementary School,,6.44%,,N,,
id,0001,Boise S. D.  #001,0319,Lowell Elementary School,,17.89%,,N,,
id,0001,Boise S. D.  #001,0301,Maple Grove Elementary School,,15.79%,,N,,
id,0001,Boise S. D.  #001,0324,Monroe Elementary School,,16.87%,,N,,
id,0001,Boise S. D.  #001,0673,Morley Nelson Elementary,,40.70%,43.55%,Y,535,
id,0001,Boise S. D.  #001,0322,Mountain View Elementary School,,20.39%,,N,,
id,0001,Boise S. D.  #001,0004,North Junior High School,,8.63%,,N,,
id,0001,Boise S. D.  #001,0313,Owyhee Elementary School,,21.29%,,N,,
id,0001,Boise S. D.  #001,0310,Pierce Park Elementary School,,20.80%,,N,,
id,0001,Boise S. D.  #001,0242,Riverglen Junior High School,,19.31%,,N,,
id,0001,Boise S. D.  #001,0509,Riverside Elementary School,,4.72%,,N,,
