state,District Code,District Name,School Code,School Name,individual_isp,proxy_isp,claiming_isp,participating_in_cep,total_enrolled,total_eligible
il,1009262026,A-C Central CUSD 262,14266,A-C Central High School,,19.38%,,N,129,
il,1009262026,A-C Central CUSD 262,14267,A-C Central Middle School,,30.77%,,N,117,
il,1009262026,A-C Central CUSD 262,14268,A-C Central Elementary School,,44.67%,,N,150,
il,33048276026,Abingdon-Avon CUSD 276,69808,Abingdon-Avon High Sch,,33.10%,46.23%,Y,281,
il,33048276026,Abingdon-Avon CUSD 276,69809,Abingdon-Avon Middle Sch,,45.78%,46.23%,Y,204,
il,33048276026,Abingdon-Avon CUSD 276,69810,Hedding Grade Sch,,47.56%,46.23%,Y,370,
il,33048276026,Abingdon-Avon CUSD 276,69811,Avon Elem Sch,,44.00%,46.23%,Y,47,
il,150162990AI,Acero Chtr Sch Network,60791,Acero Chtr Sch Network,,,,N,7489,
il,1000000000,Adam/Brwn/Cass/Morgn/Pik/Sctt ROE,61242,Adams County RSSP,,,71.11%,Y,27,
il,1000000000,Adam/Brwn/Cass/Morgn/Pik/Sctt ROE,63218,ARC,,,71.11%,Y,9,
il,1000000000,Adam/Brwn/Cass/Morgn/Pik/Sctt ROE,70305,PACE Alternative School,,100.00%,71.11%,Y,12,
il,1000000000,Adam/Brwn/Cass/Morgn/Pik/Sctt ROE,62954,The Lafayette Academy,,,71.11%,Y,25,
il,01001005P00,Adams County of,10019,Adams County of,,,,N,30,
il,19022004002,Addison SD 4,12600,Indian Trail Jr High School,,45.80%,,N,1297,
il,19022004002,Addison SD 4,12601,Army Trail Elem School,,73.67%,66.78%,Y,296,
il,19022004002,Addison SD 4,12602,Fullerton Elem School,,59.51%,,N,531,
il,19022004002,Addison SD 4,12603,Lake Park Elem School,,64.62%,65.85%,Y,246,
il,19022004002,Addison SD 4,12604,Lincoln Elem School,,68.90%,66.78%,Y,291,
il,19022004002,Addison SD 4,12605,Wesley Elem School,,47.41%,,N,232,
il,19022004002,Addison SD 4,12606,Stone Elem School,,27.39%,,N,460,
il,19022004002,Addison SD 4,12607,Ardmore Elem School,,64.57%,,N,254,
il,19022004002,Addison SD 4,54761,Partners for Success-Old Mill Sch,,,,N,40,
il,19022004002,Addison SD 4,73320,Addison Early Learning Center,,63.91%,,N,169,
il,50082108P00,Adolescent Adjustment Ctr NFP,68637,Juvenile Transitional Cntr Acad,,,74.07%,Y,22,
il,50082108P00,Adolescent Adjustment Ctr NFP,69932,JTC Girls-Boys Academy,,,74.07%,Y,5,
il,21028091004,Akin CCSD 91,12921,Akin Comm Cons Elem School,,46.15%,47.95%,Y,73,
il,13014063002,Albers SD 63,10638,Albers Elem School,,18.13%,,N,182,
il,44063019024,Alden Hebron SD 19,14164,Alden-Hebron High School,,25.89%,,N,112,
il,44063019024,Alden Hebron SD 19,14165,Alden-Hebron Middle School,,44.21%,,N,95,
il,44063019024,Alden Hebron SD 19,14166,Alden Hebron Elem School,,33.02%,,N,215,
il,13014004X10,All Saints Academy,10629,All Saints Academy,,,,N,285,
il,49081001Y10,Alleman High School,64459,Alleman High School,,9.95%,,N,422,
il,35050065004,Allen-Otter Creek CCSD 65,13767,Ransom Grade School,,25.71%,,N,70,
il,34049085P00,Allendale Association,13598,Allendale School,,19.40%,,N,134,
il,34049085P00,Allendale Association,42532,Allendale-Walter Cherry,,,,N,1,
il,34049085P00,Allendale Association,42534,Allendale-Becker House,,,,N,7,
il,34049085P00,Allendale Association,44298,Allendale-Stepping Stone-LINC,,70.00%,,N,30,
il,34049085P00,Allendale Association,72111,Allendale-North Chicago,,,,N,12,
il,20093017024,Allendale CCSD 17,12882,Allendale Elementary School,,40.63%,52.59%,Y,135,
il,7016126002,Alsip-Hazlgrn-Oaklwn SD 126,11348,Prairie Jr High School,,35.20%,,N,375,
il,7016126002,Alsip-Hazlgrn-Oaklwn SD 126,11349,Hazelgreen Elem School,,49.28%,,N,276,
il,7016126002,Alsip-Hazlgrn-Oaklwn SD 126,11350,Lane Elem School,,66.21%,,N,219,
il,7016126002,Alsip-Hazlgrn-Oaklwn SD 126,11351,Stony Creek Elem School,,45.57%,,N,643,
il,3025010026,Altamont CUSD 10,10114,Altamont High School,,38.22%,,N,225,
il,3025010026,Altamont CUSD 10,10115,Altamont Grade School,,56.04%,,N,439,
il,50082036Y10,Althoff Catholic High School,14570,Althoff Catholic High School,,7.62%,,N,341,
il,41057011026,Alton CUSD 11,14053,Alton High School,,,54.10%,Y,1937,
il,41057011026,Alton CUSD 11,14056,West Elementary School,,,54.10%,Y,536,
il,41057011026,Alton CUSD 11,14057,Eunice Smith Elem School,,,54.10%,Y,196,
il,41057011026,Alton CUSD 11,14058,Gilson Brown Elem School,,,54.10%,Y,218,
il,41057011026,Alton CUSD 11,14061,Lewis & Clark Elem School,,,54.10%,Y,286,
il,41057011026,Alton CUSD 11,14070,Mark Twain,,,54.10%,Y,57,
il,41057011026,Alton CUSD 11,56987,East Elementary School,,,54.10%,Y,425,
il,41057011026,Alton CUSD 11,56988,North Elementary School,,,54.10%,Y,561,
il,41057011026,Alton CUSD 11,56989,Alton Middle School,,,54.10%,Y,1404,
il,41057011026,Alton CUSD 11,56995,Lovejoy Elem School,,,54.10%,Y,249,
il,28037225026,AlWood CUSD 225,13179,AlWood  Middle/High School,,26.95%,,N,167,
il,28037225026,AlWood CUSD 225,13180,AlWood Elem School,,38.54%,,N,192,
il,30000000000,Alxndr/Jcksn/Pulsk/Prry/Union ROE,55740,Cope Alternative School,,,66.67%,Y,16,
il,30000000000,Alxndr/Jcksn/Pulsk/Prry/Union ROE,71842,Project SOAR Alternative Optional Ed Program,,,66.67%,Y,8,
il,30000000000,Alxndr/Jcksn/Pulsk/Prry/Union ROE,71902,Jackson/Perry Project SOAR MS TAOEP,,,66.67%,Y,9,
il,15016902090,Amandla Charter School,74550,Amandla Charter School,,,79.39%,Y,262,
il,47052272026,Amboy CUSD 272,14321,Amboy High School,,6.25%,,N,208,
il,47052272026,Amboy CUSD 272,14322,Amboy Jr High School,,6.39%,,N,219,
il,47052272026,Amboy CUSD 272,14323,Amboy Central Elem School,,10.03%,,N,299,
il,30091037004,Anna CCSD 37,10091,Anna Junior High School,,54.75%,53.70%,Y,310,
