state,District Code,District Name,School Code,School Name,individual_isp,proxy_isp,claiming_isp,participating_in_cep,total_enrolled,total_eligible
in,9545,21st Century Charter Sch of Gary,4164,Gary Charter Elementary,,68.79%,60.95%,Y,362,
in,9545,21st Century Charter Sch of Gary,4027,Gary Middle College,,35.61%,60.95%,Y,220,
in,9545,21st Century Charter Sch of Gary,9966,"GEO High School, Indianapolis",,10.50%,48.67%,Y,150,
in,9970,ACE Preparatory Academy,1111,ACE Preparatory Academy,,66.33%,52.87%,Y,87,
in,9130,Adelante Schools,9993,Adelante Schools,,74.49%,63.01%,Y,319,
in,5265,Alexandria Community School Corp,5065,Alexandria Monroe Elementary School,,16.28%,,N,,
in,5265,Alexandria Community School Corp,5041,Alexandria-Monroe High School,,8.21%,,N,,
in,9065,Allegiant Preparatory Academy,1002,Allegiant Preparatory Academy,,77.10%,74.80%,Y,123,
in,K406,Ambassador Christian Academy,B806,Ambassador Christian Academy,,93.89%,68.53%,Y,178,
in,5275,Anderson Community School Corp,J800,Anderson Career Campus at District 26,,,53.99%,Y,71,
in,5275,Anderson Community School Corp,5142,Anderson Elementary School,,89.20%,53.99%,Y,390,
in,5275,Anderson Community School Corp,4945,Anderson High School,,52.86%,53.99%,Y,1756,
in,5275,Anderson Community School Corp,4967,Anderson Intermediate School,,69.31%,53.99%,Y,985,
in,5275,Anderson Community School Corp,4906,COMPASS Alternative School,,85.71%,53.99%,Y,57,
in,5275,Anderson Community School Corp,5102,Eastside Elementary School,,79.65%,53.99%,Y,495,
in,5275,Anderson Community School Corp,4953,Edgewood Elementary School,,68.00%,53.99%,Y,230,
in,5275,Anderson Community School Corp,5146,Erskine Elementary School,,83.15%,53.99%,Y,412,
in,5275,Anderson Community School Corp,5076,Highland Middle School,,63.22%,53.99%,Y,980,
in,5275,Anderson Community School Corp,C211,Holy Cross North Campus,,79.49%,53.99%,Y,108,
in,5275,Anderson Community School Corp,5023,Southview Preschool Center,,73.24%,53.99%,Y,222,
in,5275,Anderson Community School Corp,4977,Tenth Street Elementary School,,76.60%,53.99%,Y,490,
in,9790,Anderson Preparatory Academy,5092,Anderson Preparatory Academy,,67.82%,,N,,
in,9615,Andrew J Brown Academy,5488,Andrew J Brown Academy,,82.99%,64.30%,Y,675,
in,K270,Annuc Cthlc Sch @ Christ the King,D545,Annuc Cthlc Sch @ Christ the King,,38.19%,,N,,
in,K132,Aquinas School at St Andrew's,B755,Aquinas School at St Andrew's,,58.55%,52.69%,Y,186,
in,5470,Argos Community Schools,5936,Argos Community Elementary,,55.45%,,N,,
in,5470,Argos Community Schools,5937,Argos Comm Jr-Sr High School,,36.39%,,N,,
in,TBD,Ascension Lutheran Christian Schl,B892,Ascension Lutheran Christian Schl,,81.82%,,N,,
in,9685,Aspire Charter Academy,4043,Aspire Charter Academy,,86.07%,68.25%,Y,649,
in,2435,Attica Consolidated School Corp,2053,Attica Jr-Sr High School,,33.66%,,N,,
in,2435,Attica Consolidated School Corp,2057,Attica Elementary School,,62.03%,,N,,
in,3315,Avon Community School Corp,2726,River Birch Elementary School,,34.09%,,N,,
in,3315,Avon Community School Corp,2738,Cedar Elementary School,,38.63%,,N,,
in,3315,Avon Community School Corp,2739,Pine Tree Elementary School,,37.17%,,N,,
in,3315,Avon Community School Corp,2740,Hickory Elementary School,,29.11%,,N,,
in,3315,Avon Community School Corp,2735,Sycamore Elementary School,,28.27%,,N,,
in,3315,Avon Community School Corp,2733,Maple Elementary School,,27.07%,,N,,
in,3315,Avon Community School Corp,2728,Avon Intermediate School East,,26.07%,,N,,
in,3315,Avon Community School Corp,2729,Avon Intermediate School West,,25.46%,,N,,
in,3315,Avon Community School Corp,2730,Avon Middle School North,,22.77%,,N,,
in,3315,Avon Community School Corp,2736,Avon Middle School South,,22.48%,,N,,
in,3315,Avon Community School Corp,2737,Avon High School,,18.60%,,N,,
in,3315,Avon Community School Corp,C512,Our Shepherd Lutheran School,,30.23%,,N,,
in,9645,Avondale Meadows Academy,5716,Avondale Meadows Academy,,83.67%,76.29%,Y,388,
in,9645,Avondale Meadows Academy,5899,Vision Academy,,70.46%,64.24%,Y,165,
in,9645,Avondale Meadows Academy,7094,Avondale Meadows Middle School,,57.07%,76.96%,Y,421,
in,0365,Bartholomew Con School Corp,328,Clifty Creek Elementary School,,54.34%,,N,,
in,0365,Bartholomew Con School Corp,353,Mount Healthy Elementary School,,36.01%,,N,,
in,0365,Bartholomew Con School Corp,354,Richard L Johnson Early Educ Cntr,,52.67%,,N,,
in,0365,Bartholomew Con School Corp,357,Parkside Elementary School,,31.13%,,N,,
in,0365,Bartholomew Con School Corp,366,Rockcreek Elementary School,,32.62%,,N,,
in,0365,Bartholomew Con School Corp,369,Lillian Schmitt Elementary School,,59.83%,,N,,
in,0365,Bartholomew Con School Corp,371,L F Smith Elementary,,47.63%,,N,,
in,0365,Bartholomew Con School Corp,375,CSA Fodrea Campus,,31.61%,,N,,
in,0365,Bartholomew Con School Corp,377,Taylorsville Elementary School,,55.20%,,N,,
in,0365,Bartholomew Con School Corp,390,Central Middle School,,27.50%,,N,,
in,0365,Bartholomew Con School Corp,363,W D Richards Elementary School,,27.41%,,N,,
in,0365,Bartholomew Con School Corp,399,Columbus East High School,,26.26%,,N,,
in,0365,Bartholomew Con School Corp,395,Northside Middle School,,25.79%,,N,,
in,0365,Bartholomew Con School Corp,397,Columbus North High School,,19.18%,,N,,
in,0365,Bartholomew Con School Corp,346,CSA Lincoln Campus,,19.11%,,N,,
in,0365,Bartholomew Con School Corp,392,Southside Elementary School,,14.88%,,N,,
in,0365,Bartholomew Con School Corp,A425,St Bartholomew School,,18.82%,,N,,
in,2260,Baugo Community Schools,1703,Jimtown Junior High School,,36.30%,,N,,
in,2260,Baugo Community Schools,1705,Jimtown Elementary School,,55.58%,,N,,
in,2260,Baugo Community Schools,1707,Jimtown Intermediate School,,35.04%,,N,,
in,2260,Baugo Community Schools,1701,Jimtown High School,,27.42%,,N,,
in,5380,Beech Grove City Schools,5449,Beech Grove Sr High School,,40.14%,49.86%,Y,934,
in,5380,Beech Grove City Schools,5453,Beech Grove Middle School,,52.29%,49.86%,Y,482,
in,5380,Beech Grove City Schools,5457,Central Elementary School,,57.94%,49.86%,Y,382,
in,5380,Beech Grove City Schools,5461,South Grove Intermediate School,,54.04%,49.86%,Y,610,
in,5380,Beech Grove City Schools,5463,Hornet Park Elementary School,,94.48%,49.86%,Y,460,
in,9140,BELIEVE Circle City High School,9994,BELIEVE Circle City High School,,67.13%,74.55%,Y,55,
in,0395,Benton Community School Corp,421,Otterbein Elementary School,,45.34%,,N,,
in,0395,Benton Community School Corp,445,Benton Central Jr-Sr High School,,33.38%,,N,,
in,0395,Benton Community School Corp,446,Prairie Crossing Elementary School,,49.16%,,N,,
in,K007,Bishop Luers High School,A125,Bishop Luers High School,,34.75%,,N,,
in,K301,Bishop Noll Institute,B970,Bishop Noll Institute,,39.25%,,N,,
in,0515,Blackford County Schools,485,Montpelier School,,85.92%,57.69%,Y,182,
in,0515,Blackford County Schools,489,Blackford Jr-Sr High School,,45.39%,43.93%,Y,737,
in,0515,Blackford County Schools,494,Blackford Intermediate School,,58.74%,43.93%,Y,376,
in,0515,Blackford County Schools,501,North Side Elementary School,,89.93%,56.71%,Y,268,
in,2920,Bloomfield School District,2419,Bloomfield Jr/Sr School,,21.95%,,N,,
in,2920,Bloomfield School District,2417,Bloomfield Elementary School,,17.24%,,N,,
in,2920,Bloomfield School District,2419-0,Bloomfield Jr/Sr School,,3.27%,,N,,
in,3405,Blue River Valley Schools,2801,Blue River Valley Jr-Sr High Sch,,31.15%,,N,,
in,3405,Blue River Valley Schools,2803,Blue River Valley Elementary Sch,,55.89%,,N,,
in,0935,Borden-Henryville School Corporation,765,Henryville Jr & Sr High School,,30.00%,,N,,
in,0935,Borden-Henryville School Corporation,767,Henryville Elementary School,,41.45%,,N,,
in,0935,Borden-Henryville School Corporation,815,William W Borden Elementary School,,35.82%,,N,,
in,0935,Borden-Henryville School Corporation,813,William W Borden High School,,20.43%,,N,,
in,0670,Brown County School Corporation,573,Brown County High School,,44.77%,,N,,
in,0670,Brown County School Corporation,577,Van Buren Elementary School,,42.05%,,N,,
in,0670,Brown County School Corporation,581,Helmsburg Elementary School,,49.25%,,N,,
in,0670,Brown County School Corporation,585,Sprunica Elementary School,,55.84%,,N,,
in,0670,Brown County School Corporation,587,Brown County Middle School,,28.53%,,N,,
in,3305,Brownsburg Community School Corp,2727,Cardinal Elementary School,,33.58%,,N,,
in,3305,Brownsburg Community School Corp,2714,Reagan Elementary School,,27.23%,,N,,
in,3305,Brownsburg Community School Corp,2723,White Lick Elementary School,,25.72%,,N,,
in,3305,Brownsburg Community School Corp,2718,Delaware Trail Elementary School,,25.17%,,N,,
in,3305,Brownsburg Community School Corp,2744,Lincoln Elementary School,,21.05%,,N,,
in,3305,Brownsburg Community School Corp,2706,Brown Elementary School,,20.52%,,N,,
in,3305,Brownsburg Community School Corp,2711,Eagle Elementary School,,20.20%,,N,,
in,3305,Brownsburg Community School Corp,2713,Brownsburg West Middle School,,19.01%,,N,,
in,3305,Brownsburg Community School Corp,2720,Brownsburg East Middle School,,18.76%,,N,,
in,3305,Brownsburg Community School Corp,2709,Brownsburg High School,,16.25%,,N,,
in,3695,Brownstown Cnt Com Sch Corp,3107,Brownstown Central Middle School,,40.62%,,N,,
in,3695,Brownstown Cnt Com Sch Corp,3129,Brownstown Elementary School,,47.51%,,N,,
in,3695,Brownstown Cnt Com Sch Corp,3126,Brownstown Central High School,,23.56%,,N,,
in,3455,C A Beard Memorial School Corp,2869,Knightstown High School,,39.88%,,N,,
in,3455,C A Beard Memorial School Corp,2870,Knightstown Intermediate School,,46.27%,,N,,
in,3455,C A Beard Memorial School Corp,2887,Knightstown Elementary School,,53.00%,,N,,
in,K321,Calvary Christian School,C580,Calvary Christian School,,42.79%,,N,,
in,K170,Calvary Lutheran School,C315,Calvary Lutheran School,,46.55%,,N,,
in,9725,Canaan Community Academy,3312,Canaan Community Academy,,70.75%,61.54%,Y,130,
in,6340,Cannelton City Schools,6733,Cannelton Jr. - Sr. High School,,77.56%,58.33%,Y,123,
in,K206,Cardinal Ritter High School,C715,Cardinal Ritter High School,,41.43%,,N,,
in,K397,Career Academy,7562-1,Success Academy Primary School,,68.67%,,N,,
in,K397,Career Academy,7562,Success Academy,,43.92%,55.90%,Y,761,
in,K397,Career Academy,7567,Career Academy,,31.26%,55.90%,Y,568,
in,0750,Carroll Consolidated School Corp,621,Carroll Jr-Sr High School,,32.90%,,N,,
in,0750,Carroll Consolidated School Corp,629,Carroll Elementary School,,47.34%,,N,,
in,0750,Carroll Consolidated School Corp,621-0,Carroll Jr-Sr High School,,23.77%,,N,,
in,2650,Caston School Corporation,2157,Caston Elementary School,,44.97%,,N,,
in,2650,Caston School Corporation,2159,Caston Jr-Sr High School,,39.95%,,N,,
in,4205,Center Grove Community School Corp,3434,Sugar Grove Elementary School,,32.51%,,N,,
in,4205,Center Grove Community School Corp,3440,North Grove Elementary School,,35.05%,,N,,
in,4205,Center Grove Community School Corp,3444,Pleasant Grove Elementary School,,30.41%,,N,,
in,4205,Center Grove Community School Corp,3443,Center Grove Middle School North,,24.64%,,N,,
