state,District Code,District Name,School Code,School Name,individual_isp,proxy_isp,claiming_isp,participating_in_cep,total_enrolled,total_eligible
ks,D0101,Erie,00111,101 Elementary School,22.75%,,,N,,
ks,D0101,Erie,00105,Erie High Charter School,6.37%,,,N,,
ks,D0101,Erie,00112,Galesburg Middle School,23.23%,,,N,,
ks,D0102,Cimarron-Ensign,00124,Cimarron Elementary School,14.04%,,,N,,
ks,D0102,Cimarron-Ensign,00125,Cimarron High School,12.29%,,,N,,
ks,D0103,Cheylin,03374,Cheylin Elementary School,26.71%,,,N,,
ks,D0105,Rawlins County,03348,Rawlins County Elementary School,17.24%,,,N,,
ks,D0105,Rawlins County,03350,Rawlins High School,10.90%,,,N,,
ks,D0106,Western Plains,02928,Western Plains High School,6.33%,,,N,,
ks,D0106,Western Plains,02966,Western Plains Junior High and South Elementary,34.21%,,,N,38,13
ks,D0107,Rock Hills,02976,Rock Hills Elementary School,19.17%,,,N,,
ks,D0107,Rock Hills,02978,Rock Hills High School,14.86%,,,N,,
ks,D0108,Washington County,02981,Washington County High School,10.39%,,,N,,
ks,D0108,Washington County,02980,Washington Elementary School,9.73%,,,N,,
ks,D0109,Republic County,02972,Belleville Elementary,11.16%,,,N,,
ks,D0109,Republic County,02974,Republic County High,13.33%,,,N,,
ks,D0110,Thunder Ridge Schools,00192,Thunder Ridge Elementary,8.77%,,,N,,
ks,D0110,Thunder Ridge Schools,00194,Thunder Ridge Middle School,19.35%,,,N,,
ks,D0111,Doniphan West Schools,0201,Doniphan West Elementary School,10.70%,,,N,,
ks,D0111,Doniphan West Schools,0200,Doniphan West Jr/Sr High School,10.81%,,,N,,
ks,D0112,Central Plains,0416,Central Plains Elementary School-Holyrood,18.30%,,,N,,
ks,D0112,Central Plains,0417,Central Plains High School-Claflin,12.82%,,,N,,
ks,D0112,Central Plains,0415,Wilson Elementary School,17.71%,,,N,,
ks,D0112,Central Plains,0393,Wilson Jr/Sr High School,10.45%,,,N,,
ks,D0113,Prairie Hills,0462,Axtell Public School,5.70%,,,N,,
ks,D0113,Prairie Hills,0409,Sabetha Elementary,13.97%,,,N,,
ks,D0113,Prairie Hills,0410,Sabetha High School,6.93%,,,N,,
ks,D0113,Prairie Hills,0411,Sabetha Middle School,13.04%,,,N,,
ks,D0113,Prairie Hills,0413,Wetmore Academic Center,17.04%,,,N,,
