state,District Code,District Name,School Code,School Name,individual_isp,proxy_isp,claiming_isp,participating_in_cep,total_enrolled,total_eligible
ky,10121,Adair County Board of Education,1002,Adair County Middle School,63.61%,,62.51%,Y,643,409
ky,10121,Adair County Board of Education,1007,Adair County High School,54.66%,,62.51%,Y,783,428
ky,10121,Adair County Board of Education,1008,Adair County Elementary School,65.82%,,62.51%,Y,550,362
ky,10121,Adair County Board of Education,1009,Adair County Primary Center,67.84%,,62.51%,Y,681,462
ky,10001,Allen County Board of Education,1000,Allen County Primary Center,61.70%,,61.70%,Y,1000,617
ky,10001,Allen County Board of Education,1001,Allen County-Scottsville High School,54.30%,,56.49%,Y,879,477
ky,10001,Allen County Board of Education,1002-0,James E Bazzell Middle School,53.36%,,56.49%,Y,484,258
ky,10001,Allen County Board of Education,1003,Allen County Intermediate Center,56.98%,,56.49%,Y,710,405
ky,10058,Anchorage Board of Education,1000-0,Anchorage Independent Public School,5.71%,,,N,,
ky,10122,Anderson County Board of Education,1000-1,Emma B Ward Elementary School,46.15%,,44.04%,Y,468,216
ky,10122,Anderson County Board of Education,1001-0,Anderson County Middle School,47.39%,,44.04%,Y,842,399
ky,10122,Anderson County Board of Education,1003-0,Saffell Street Elementary School,53.87%,,44.04%,Y,401,216
ky,10122,Anderson County Board of Education,1004,Anderson County High School/APEX Academy,35.60%,,44.04%,Y,1177,419
ky,10122,Anderson County Board of Education,1005,Robert B Turner Elementary School,41.47%,,44.04%,Y,557,231
ky,10122,Anderson County Board of Education,1006,Anderson County Early Childhood Center,53.74%,,44.04%,Y,374,201
ky,10010,Ashland Independent Board of Education,1000-2,Charles Russell Elementary School,57.35%,,62.15%,Y,204,117
ky,10010,Ashland Independent Board of Education,1002-1,Paul G Blazer High School,50.38%,,62.15%,Y,915,461
ky,10010,Ashland Independent Board of Education,1004-0,Hager Elementary School,46.78%,,62.15%,Y,357,167
ky,10010,Ashland Independent Board of Education,1005-0,AISD Head Start Preschool Ctr,71.21%,,62.15%,Y,198,141
ky,10010,Ashland Independent Board of Education,1006-0,Ashland Middle School,56.38%,,62.15%,Y,697,393
