state,District Code,District Name,School Code,School Name,individual_isp,proxy_isp,claiming_isp,participating_in_cep,total_enrolled,total_eligible
la,001,Acadia Parish School System,001001,Armstrong Middle School,65.67%,,52.24%,Y,329,216
la,001,Acadia Parish School System,001002,Branch Elementary School,37.89%,,52.24%,Y,342,130
la,001,Acadia Parish School System,001003,Central Rayne Kindergarten School,63.68%,,52.24%,Y,199,127
la,001,Acadia Parish School System,001004,Church Point Elementary School,67.05%,,52.24%,Y,586,393
la,001,Acadia Parish School System,001005,Church Point High School,42.08%,,52.24%,Y,502,211
la,001,Acadia Parish School System,001006,Church Point Middle School,58.37%,,52.24%,Y,232,135
la,001,Acadia Parish School System,001007,Crowley High School,59.05%,,52.24%,Y,528,312
la,001,Acadia Parish School System,001009,Crowley Kindergarten School,74.73%,,52.24%,Y,260,194
la,001,Acadia Parish School System,001008,Crowley Middle School,70.93%,,52.24%,Y,449,318
la,001,Acadia Parish School System,001011,Egan Elementary School,47.52%,,52.24%,Y,236,112
la,001,Acadia Parish School System,001012,Estherwood Elementary School,50.93%,,52.24%,Y,221,113
la,001,Acadia Parish School System,001013,Evangeline Elementary School,35.84%,,52.24%,Y,197,71
la,001,Acadia Parish School System,001014,Iota Elementary School,35.78%,,52.24%,Y,625,224
la,001,Acadia Parish School System,001034,Iota High School,27.00%,,52.24%,Y,584,158
la,001,Acadia Parish School System,001015,Iota Middle School,34.16%,,52.24%,Y,314,107
la,001,Acadia Parish School System,001020,Martin Petitjean Elementary School,71.65%,,52.24%,Y,311,223
la,001,Acadia Parish School System,001016,Mermentau Elementary School,35.21%,,52.24%,Y,144,51
la,001,Acadia Parish School System,001017,Midland High School,37.60%,,52.24%,Y,266,100
la,001,Acadia Parish School System,001018,Mire Elementary School,36.70%,,52.24%,Y,648,238
la,001,Acadia Parish School System,001019,Morse Elementary School,43.56%,,52.24%,Y,225,98
la,001,Acadia Parish School System,001010,North Crowley Elementary School,75.99%,,52.24%,Y,277,210
la,001,Acadia Parish School System,001021,Rayne High School,44.57%,,52.24%,Y,603,269
la,001,Acadia Parish School System,001022,Richard Elementary School,29.84%,,52.24%,Y,499,149
la,001,Acadia Parish School System,001023,Ross Elementary School,84.58%,,52.24%,Y,228,193
la,001,Acadia Parish School System,001024,South Crowley Elementary School,73.28%,,52.24%,Y,281,206
la,001,Acadia Parish School System,001025,South Rayne Elementary School,68.34%,,52.24%,Y,241,165
la,F21,Advocates for Science and Mathematics Ed Inc,F21003,New Orleans Charter Science and Mathematics HS,67.23%,,70.39%,Y,412,277
la,501,Alexandria Diocese,501003,Holy Savior Menard Central High School,10.02%,,,N,,
la,501,Alexandria Diocese,501011,Our Lady of Prompt Succor School,5.14%,,,N,,
la,501,Alexandria Diocese,501013,Sacred Heart School,16.02%,,,N,,
la,501,Alexandria Diocese,501014,St. Anthony of Padua School,24.83%,,,N,,
la,501,Alexandria Diocese,501016,St. Frances Cabrini School,33.44%,,,N,317,106
la,501,Alexandria Diocese,501034,St. Joseph Elementary & High School,20.71%,,,N,,
la,501,Alexandria Diocese,501023,St. Mary's Assumption School Cottonport,13.56%,,,N,,
la,501,Alexandria Diocese,501022,St. Mary's Catholic School,5.81%,,,N,,
la,395,Algiers Charter School System,395005,Lord Beaconsfield Landry-Oliver Perry Walker High,68.47%,,70.90%,Y,473,324
la,395,Algiers Charter School System,395001,Martin Behrman Charter Acad of Creative Arts & Sci,72.44%,,70.90%,Y,912,661
la,002,Allen Parish School System,002001,Elizabeth High School,44.79%,,,N,384,172
la,002,Allen Parish School System,002002,Fairview High School,36.80%,,,N,356,131
la,002,Allen Parish School System,002003,Kinder Elementary School,49.25%,,,N,536,264
la,002,Allen Parish School System,002004,Kinder High School,31.37%,,,N,322,101
la,002,Allen Parish School System,002015,Kinder Middle School,35.98%,,,N,378,136
la,002,Allen Parish School System,002005,Oakdale Elementary School,57.48%,,59.29%,Y,574,330
la,002,Allen Parish School System,002006,Oakdale High School,50.00%,,59.29%,Y,278,139
la,002,Allen Parish School System,002007,Oakdale Middle School,57.59%,,59.29%,Y,373,215
la,002,Allen Parish School System,002008,Oberlin Elementary School,54.23%,,59.29%,Y,283,153
la,002,Allen Parish School System,002009,Oberlin High School,38.67%,,59.29%,Y,250,97
la,002,Allen Parish School System,002010,Reeves High School,38.78%,,59.29%,Y,276,107
la,373,Arise School System,373001,Arise Academy,87.38%,,,N,325,284
la,373,Arise School System,036189,Homer A. Plessy Community School,56.26%,,62.68%,Y,711,400
la,373,Arise School System,373002,Mildred Osborne Charter School,73.84%,,62.68%,Y,409,302
la,003,Ascension Parish School System,003022,Ascension Head Start,100.00%,,60.70%,Y,73,73
la,003,Ascension Parish School System,003038,Bluff Middle School,22.63%,,,N,,
