state,District Code,District Name,School Code,School Name,individual_isp,proxy_isp,claiming_isp,participating_in_cep,total_enrolled,total_eligible
ma,01-020,Barnstable Public Schools,020-001,OSTERVILLE CAPE COD,53.26%,,51.49%,Y,55,29
ma,01-020,Barnstable Public Schools,020-002,BARNSTABLE COMMUNITY INNOVATION SCHOOL,57.34%,,51.49%,Y,293,168
ma,01-020,Barnstable Public Schools,020-003,BARNSTABLE UNITED ELEMENTARY,50.07%,,51.49%,Y,740,371
ma,01-020,Barnstable Public Schools,020-004,Cape Cod Waypoint,100.00%,,51.49%,Y,40,40
ma,01-020,Barnstable Public Schools,020-005,BARNSTABLE WEST BARNSTABLE,49.80%,,51.49%,Y,265,132
ma,01-020,Barnstable Public Schools,020-010,CENTERVILLE ELEMENTARY,48.59%,,51.49%,Y,252,122
ma,01-020,Barnstable Public Schools,020-025,HYANNIS WEST ELEMENTARY,87.86%,,51.49%,Y,334,293
ma,01-020,Barnstable Public Schools,020-045,WEST VILLAGES ELEMENTARY,36.29%,,51.49%,Y,398,144
ma,01-020,Barnstable Public Schools,020-405,BARNSTABLE INTERMEDIATE SCHOOL,48.96%,,51.49%,Y,661,324
ma,01-020,Barnstable Public Schools,020-505,BARNSTABLE HIGH SCHOOL,48.47%,,51.49%,Y,1775,860
ma,01-126-2,Cape Cod Reg'l Tech High School,126-605,CAPE COD REGIONAL TECH,41.71%,,41.71%,Y,664,277
ma,01-242,Provincetown School Committee,242-010,PROVINCETOWN PRE-SCHOOL,62.16%,,62.16%,Y,35,22
ma,01-242,Provincetown School Committee,242-505,PROVINCETOWN SCHOOLS,45.61%,,45.61%,Y,109,50
ma,01-300,Truro School Committee,300-005,TRURO CENTRAL,49.56%,,49.56%,Y,98,49
ma,01-351-1,Dennis-Yarmouth Regional School District,351-005,EZRA H. BAKER,54.58%,,49.15%,Y,270,147
ma,01-351-1,Dennis-Yarmouth Regional School District,351-015,MARGUERITE E. SMALL,60.92%,,49.15%,Y,235,143
ma,01-351-1,Dennis-Yarmouth Regional School District,351-301,NATHENIEL H. WIXON REG. SCH,52.26%,,49.15%,Y,444,232
ma,01-351-1,Dennis-Yarmouth Regional School District,351-305,MATTACEESE REG MIDDLE SCH,46.65%,,49.15%,Y,435,203
ma,02-004-1,Hoosac Valley Regional School District,004-020,HOOSAC VALLEY ELEMENTARY SCHOOL,43.75%,,55.89%,Y,399,175
ma,02-004-1,Hoosac Valley Regional School District,004-505,HOOSAC VALLEY MIDDLE AND HIGH SCHOOL,62.77%,,55.89%,Y,626,393
ma,02-098,Florida School Committee,098-005,GABRIEL ABBOTT MEMORIAL SCHOOL,47.12%,,47.12%,Y,91,43
ma,02-209,North Adams School Committee,206-605,Emma Miller Elementary School,23.53%,,63.82%,Y,41,10
