state,District Code,District Name,School Code,School Name,individual_isp,proxy_isp,claiming_isp,participating_in_cep,total_enrolled,total_eligible
md,allegany-county-public-schools,Allegany County Public Schools,,Allegany High,31.29%,,,N,719,225
md,allegany-county-public-schools,Allegany County Public Schools,Unknown-0,Beall Elementary,48.85%,,,N,479,234
md,allegany-county-public-schools,Allegany County Public Schools,Unknown-1,Bel Air Elementary,34.12%,,,N,211,72
md,allegany-county-public-schools,Allegany County Public Schools,Unknown-2,Braddock Middle,40.98%,,,N,593,243
md,allegany-county-public-schools,Allegany County Public Schools,Unknown-3,Cash Valley,51.92%,,61.88%,Y,289,150
md,allegany-county-public-schools,Allegany County Public Schools,Unknown-4,Center For Career & Technology Education,38.08%,,,N,239,91
md,allegany-county-public-schools,Allegany County Public Schools,Unknown-5,"Cresaptown
Elementary",44.33%,,,N,282,125
md,allegany-county-public-schools,Allegany County Public Schools,Unknown-6,"Eckhart Alternative
Program",68.75%,,,N,48,33
md,allegany-county-public-schools,Allegany County Public Schools,Unknown-7,Flintstone School,37.32%,,,N,209,78
md,allegany-county-public-schools,Allegany County Public Schools,Unknown-8,Frost Elementary,21.16%,,,N,189,40
md,allegany-county-public-schools,Allegany County Public Schools,Unknown-9,Ft Hill High,35.79%,,,N,637,228
md,allegany-county-public-schools,Allegany County Public Schools,Unknown-10,George’s Creek Elementary,49.42%,,61.88%,Y,263,130
md,allegany-county-public-schools,Allegany County Public Schools,Unknown-11,John Humbird Elementary,74.79%,,61.88%,Y,235,176
md,allegany-county-public-schools,Allegany County Public Schools,Unknown-12,"Mountain Ridge High
School",29.91%,,,N,739,221
md,allegany-county-public-schools,Allegany County Public Schools,Unknown-13,Mt Savage Elementary,40.59%,,,N,202,82
md,allegany-county-public-schools,Allegany County Public Schools,Unknown-14,Mt Savage Middle,30.25%,,,N,400,121
md,allegany-county-public-schools,Allegany County Public Schools,Unknown-15,"Northeast
Elementary",42.91%,,,N,275,118
md,allegany-county-public-schools,Allegany County Public Schools,Unknown-16,Parkside School,44.17%,,,N,206,91
