state,District Code,District Name,School Code,School Name,individual_isp,proxy_isp,claiming_isp,participating_in_cep,total_enrolled,total_eligible
me,1038,Airline CSD,1039,Airline Community School,,30.06%,,N,40,
me,1069,Arthur R. Gould Sch--LCYDC,1070,Arthur R. Gould Sch--LCYDC,,33.33%,,N,15,
me,14,Auburn Public Schools,25,Auburn Middle School,,34.34%,40.29%,Y,606,
me,14,Auburn Public Schools,15,East Auburn Community School,,19.63%,40.29%,Y,170,
me,14,Auburn Public Schools,23,Edward Little High School,,27.58%,,N,,
me,14,Auburn Public Schools,16,Fairview School,,18.70%,40.29%,Y,464,
me,14,Auburn Public Schools,27,Park Avenue Elementary School,,41.67%,40.29%,Y,323,
me,14,Auburn Public Schools,24,Sherwood Heights Elementary Sch,,38.42%,40.29%,Y,340,
me,14,Auburn Public Schools,21,Walton School,,46.40%,40.29%,Y,215,
me,14,Auburn Public Schools,19,Washburn School,,54.86%,40.29%,Y,257,
me,14,Auburn Public Schools,,Frank,,,40.29%,Y,53,
me,28,Augusta Public Schools,37,Cony,,30.06%,,N,652,
me,28,Augusta Public Schools,2021,Cony Middle School,,33.88%,,N,304,
me,28,Augusta Public Schools,34,Farrington School,,50.69%,,N,290,
me,28,Augusta Public Schools,31,Lillian Parks Hussey School,,24.23%,,N,,
me,28,Augusta Public Schools,35,Lincoln School,,42.14%,,N,299,
me,28,Augusta Public Schools,33,Sylvio J Gilbert School,,39.33%,,N,328,
me,38,Baileyville Public Schools,40,Woodland Elementary School,,27.05%,,N,122,
me,38,Baileyville Public Schools,39,Woodland Jr-Sr High School,,30.17%,,N,,
me,42,Bangor Public Schools,45,Abraham Lincoln School,,25.88%,40.51%,Y,161,
me,42,Bangor Public Schools,52,Bangor High School,,25.61%,,N,1148,
me,42,Bangor Public Schools,48,Downeast School,,66.42%,40.51%,Y,267,
me,42,Bangor Public Schools,43,Fairmount School,,45.00%,40.51%,Y,241,
me,42,Bangor Public Schools,49,Fourteenth Street School,,21.48%,40.51%,Y,151,
me,42,Bangor Public Schools,44,Fruit Street School,,19.03%,40.51%,Y,323,
me,42,Bangor Public Schools,50,James F. Doughty School,,43.77%,40.51%,Y,378,
me,42,Bangor Public Schools,46,Mary Snow School,,21.94%,,N,237,
me,42,Bangor Public Schools,47,Vine Street School,,40.98%,40.51%,Y,217,
me,42,Bangor Public Schools,51,William S. Cohen School,,19.68%,,N,376,
me,62,Beals Public Schools,63,Beals Elementary School,,44.44%,,N,36,
me,65,Biddeford Public Schools,66,Biddeford High School,,25.61%,,N,738,
me,65,Biddeford Public Schools,71,Biddeford Intermediate School,,33.96%,,N,318,
me,65,Biddeford Public Schools,68,Biddeford Middle School,,31.31%,,N,658,
me,65,Biddeford Public Schools,69,Biddeford Primary School,,31.37%,,N,357,
me,65,Biddeford Public Schools,67,John F Kennedy Memorial School,,30.11%,,N,279,
me,108,Calais Public Schools,109,Calais Elementary School,,34.48%,,N,261,
me,108,Calais Public Schools,111,Calais Middle/High School,,32.46%,,N,342,
me,1266,Carleton Project,1267,Carleton Project - Houlton,,50.00%,,N,14,
me,1033,Caswell Public Schools,128,Dawn F Barnes Elementary,,65.22%,62.50%,Y,48,
me,1510,Community Regional Charter School,1828,Community Downtown Campus,,41.57%,,N,166,
me,1510,Community Regional Charter School,1829,Community Early Childhood Campus,,33.33%,,N,51,
me,1510,Community Regional Charter School,1511,Community Regional Charter School,,31.85%,,N,135,
me,1002,Connor Consolidated School,1003,Connor Consolidated School,,45.71%,,N,35,
me,163,Eastport Public Schools,164,Eastport Elementary School,,38.96%,,N,77,
me,163,Eastport Public Schools,165,Shead High School,,41.33%,,N,75,
me,1073,Harmony Public Schools,218,Harmony Elementary,,43.33%,48.15%,Y,54,
me,1271,Indian Township,1012,Indian Township School,,67.89%,49.52%,Y,105,
me,5602,Kingman,Unknown-0,Kingman Elementary School,,,60.87%,Y,23,
me,1088,Lewiston Public Schools,251,Farwell Elementary School,,43.19%,57.54%,Y,188,
me,1088,Lewiston Public Schools,255,Lewiston High School,,45.39%,57.54%,Y,756,
me,1088,Lewiston Public Schools,257,Lewiston Middle School,,50.91%,57.54%,Y,415,
me,1088,Lewiston Public Schools,254,Montello School,,58.88%,57.54%,Y,417,
me,1088,Lewiston Public Schools,260,Raymond A. Geiger Elementary School,,42.93%,57.54%,Y,284,
me,1088,Lewiston Public Schools,2048,Robert V. Connors Elementary School,,64.49%,57.54%,Y,485,
me,1088,Lewiston Public Schools,256,Thomas J McMahon Elementary Sch,,46.40%,57.54%,Y,284,
me,2040,Limestone Public Schools,1969,Limestone Community School,,55.32%,50.78%,Y,128,
me,277,Machias Public Schools,279,Machias Memorial High School,,27.39%,,N,,
me,277,Machias Public Schools,278,Rose M Gaffney School,,33.63%,,N,336,
me,1412,Machiasport Public Schools,1000,Fort O'Brien School,,25.53%,,N,,
me,282,Madawaska Public Schools,284,Madawaska Elementary School,,30.29%,,N,208,
me,282,Madawaska Public Schools,283,Madawaska Middle/High School,,17.80%,,N,,
me,1501,Maine Academy of Natural Sciences,1502,Maine Academy of Natural Sciences,,37.43%,,N,187,
me,296,Milford Public Schools,297,Dr Lewis S Libby School,,31.69%,,N,284,
