state,District Code,District Name,School Code,School Name,individual_isp,proxy_isp,claiming_isp,participating_in_cep,total_enrolled,total_eligible
mi,56903,Academic and Career Education Academy,09696,Academic and Career Education Academy,73.00%,,73.00%,Y,100,73
mi,82921,Academy for Business and Technology,09332,Academy for Business and Technology Elementary,85.21%,,84.77%,Y,257,219
mi,82921,Academy for Business and Technology,08435,Academy for Business and Technology High School,84.36%,,84.77%,Y,275,232
mi,50911,Academy of Warren,09602,Academy of Warren,88.22%,,88.22%,Y,730,644
mi,82717,Achieve Charter Academy,00110,Achieve Charter Academy,15.95%,,,N,771,123
mi,31020,Adams Township School District,01893,Jeffers High School,30.30%,,,N,264,80
mi,31020,Adams Township School District,03527,South Range Elementary School,41.33%,,,N,196,81
mi,46020,Addison Community Schools,09983,Addison Elementary School,51.62%,,44.74%,Y,308,159
mi,46020,Addison Community Schools,00023,Addison High School,34.02%,,44.74%,Y,244,83
mi,46020,Addison Community Schools,01315,Addison Middle School,47.65%,,44.74%,Y,170,81
mi,46010,Adrian Public Schools,07431,Adrian Community High School,66.67%,,58.43%,Y,39,26
mi,46010,Adrian Public Schools,00027,Adrian High School,43.85%,,58.43%,Y,779,342
mi,46010,Adrian Public Schools,00046,Alexander Elementary School,50.87%,,58.43%,Y,464,236
mi,46010,Adrian Public Schools,02197,Lincoln Elementary School,48.56%,,58.43%,Y,344,167
mi,46010,Adrian Public Schools,09674,Michener Elementary School,79.66%,,58.43%,Y,280,223
mi,46010,Adrian Public Schools,09675,Prairie Elementary School,63.29%,,58.43%,Y,249,158
mi,46010,Adrian Public Schools,06301,Springbrook Middle School,57.05%,,58.43%,Y,648,370
mi,46010,Adrian Public Schools,03186,Drager Early Education Center - 460103186,,,58.43%,Y,221,
mi,63914,Advanced Technology Academy,09910,Advanced Technology Academy,73.71%,,73.71%,Y,1198,883
mi,63901,AGBU Alex-Marie Manoogian School,08265,AGBU Alex-Marie Manoogian School,55.46%,,,N,348,193
mi,58020,Airport Community Schools,01798,Airport Center for Education,60.00%,,,N,90,54
mi,58020,Airport Community Schools,02547,Airport Middle College,18.75%,,,N,16,3
mi,58020,Airport Community Schools,01086,Airport Senior High School,33.90%,,,N,711,241
mi,58020,Airport Community Schools,01312,Fred W. Ritter Elementary School,58.36%,,,N,293,171
mi,58020,Airport Community Schools,03583,Henry Niedermeier Elementary School,45.56%,,,N,270,123
mi,58020,Airport Community Schools,05782,Joseph C. Sterling Elementary School,36.11%,,,N,288,104
mi,58020,Airport Community Schools,02262,Loren Eyler Elementary School,33.46%,,,N,269,90
mi,58020,Airport Community Schools,02559,Wagar 5/6 Middle School,45.39%,,,N,412,187
mi,58020,Airport Community Schools,06362,Wagar 7/8 Middle School,45.20%,,,N,396,179
mi,79010,Akron-Fairgrove Schools,00033,Akron-Fairgrove Elem. School,55.88%,,55.88%,Y,170,95
mi,79010,Akron-Fairgrove Schools,00034,Akron-Fairgrove Jr/Sr High School,48.21%,,48.21%,Y,168,81
mi,24030,Alanson Public Schools,02241,Alanson Public School,62.39%,,,N,234,146
mi,05010,Alba Public Schools,06938,Alba School,58.06%,,58.06%,Y,93,54
mi,01010,Alcona Community Schools,00044,Alcona Community High School,53.87%,,56.22%,Y,388,209
mi,01010,Alcona Community Schools,04937,Alcona Elementary School,59.32%,,56.22%,Y,295,175
mi,74030,Algonac Community School District,02752,Algonac Alternative Education,71.43%,,,N,28,20
mi,74030,Algonac Community School District,00054,Algonac Junior/Senior High School,36.43%,,,N,678,247
mi,74030,Algonac Community School District,02686,Algonquin Elementary School,50.00%,,,N,482,241
mi,74030,Algonac Community School District,02687,Millside Elementary School,49.51%,,,N,206,102
mi,03000,Allegan Area Educational Service Agency,06730,Hillside Learning & Behavior Center,38.17%,,,N,131,50
mi,03030,Allegan Public Schools,03535,Allegan Alternative High School,60.16%,,45.35%,Y,130,78
mi,03030,Allegan Public Schools,00062,Allegan High School,30.89%,,45.35%,Y,639,197
mi,03030,Allegan Public Schools,04047,Allegan Online K-8,70.00%,,,N,60,42
mi,03030,Allegan Public Schools,00881,Dawson Elementary School,39.06%,,45.35%,Y,289,113
mi,03030,Allegan Public Schools,00059,L.E. White Middle School,46.58%,,49.45%,Y,451,210
mi,03030,Allegan Public Schools,02748,North Ward Elementary School,50.00%,,63.00%,Y,55,28
mi,03030,Allegan Public Schools,05954,Pine Trails Elementary School,63.80%,,45.35%,Y,337,215
mi,03030,Allegan Public Schools,04469,West Ward Elementary School,45.57%,,45.35%,Y,239,109
mi,03030,Allegan Public Schools,09085,Outlook Academy - 039029085,,,63.00%,Y,45,
mi,82020,Allen Park Public Schools,08422,Allen Park Community School,50.00%,,,N,116,58
mi,82020,Allen Park Public Schools,00065,Allen Park High School,25.23%,,,N,1098,277
mi,82020,Allen Park Public Schools,03517,Allen Park Middle School,32.88%,,,N,876,288
mi,82020,Allen Park Public Schools,00121,Arno Elementary School,43.03%,,,N,488,210
mi,82020,Allen Park Public Schools,00279,Bennie Elementary School,36.81%,,,N,470,173
mi,82020,Allen Park Public Schools,02229,Lindemann Elementary School,32.58%,,,N,617,201
mi,70040,Allendale Public Schools,03598,Allendale Early Childhood Center,26.74%,,,N,273,73
