state,District Code,District Name,School Code,School Name,individual_isp,proxy_isp,claiming_isp,participating_in_cep,total_enrolled,total_eligible
mn,1000005282,Academia Cesar Chavez Charter School,1000006480,Academia Cesar Chavez Charter School,,20.55%,,N,545,
mn,1000004141,Achieve Language Academy,1000002822,Achieve Language Academy,,27.44%,,N,441,
mn,2000010408,Ada-Borup-West ISD #2910,1000002643,Ada-Borup-West Elementary & Secondary,,9.42%,,N,701,
mn,1000003952,Adrian ISD #511,1000001900,Adrian Secondary,,7.18%,,N,181,
mn,1000003952,Adrian ISD #511,1000001899,Adrian Elementary,,15.56%,,N,270,
mn,1000003952,Adrian ISD #511,9000014175,Adrian Middle,,15.63%,,N,128,
mn,1000005749,AFSA High School dba Academy for Sciences & Agriculture,1000005750,AFSA High School,,15.97%,,N,238,
mn,1000005749,AFSA High School dba Academy for Sciences & Agriculture,9000017012,AFSA Middle School,,29.73%,,N,185,
mn,2000010185,Agamim Classical Academy,9000015233,Agamim Classical Academy,,11.47%,,N,279,
mn,2000010403,AIM Academy of Science & Technology,9000019333,AIM Academy of Science & Technology,,66.67%,66.92%,Y,225,
mn,1000003805,Aitkin ISD #1,1000001229,Aitkin Secondary,,13.26%,,N,543,
mn,1000003805,Aitkin ISD #1,1000001230,Rippleside Elementary,,24.54%,,N,485,
mn,1000004593,Al-Amal School,1000004612,Al-Amal School,,0.00%,,N,402,
mn,1000004022,Albany ISD #745,1000005603,Albany Senior High,,3.09%,,N,517,
mn,1000004022,Albany ISD #745,1000002327,Albany Junior High,,4.78%,,N,460,
mn,1000004022,Albany ISD #745,1000002326,Albany Elementary,,8.98%,,N,490,
mn,1000004022,Albany ISD #745,1000002325,Avon Elementary,,12.63%,,N,285,
mn,1000003870,Albert Lea ISD #241,1000005112,Albert Lea Senior High,,19.45%,,N,1239,
mn,1000003870,Albert Lea ISD #241,9000015177,Albert Lea ALC - Riverland,,29.46%,,N,112,
mn,1000003870,Albert Lea ISD #241,1000001581,Sibley Elementary,,33.33%,,N,300,
mn,1000003870,Albert Lea ISD #241,1000001582,Brookside Education Center,,34.04%,,N,220,
mn,1000003870,Albert Lea ISD #241,1000001580,Lakeview Elementary,,34.65%,,N,404,
mn,1000003870,Albert Lea ISD #241,1000001583,Southwest Middle School,,36.27%,,N,499,
mn,1000003870,Albert Lea ISD #241,1000001579,Hawthorne Elementary,,41.27%,,N,424,
mn,1000003870,Albert Lea ISD #241,1000001578,Halverson Elementary,,46.76%,,N,370,
mn,1000003871,Alden ISD #242,1000005611,Alden - Conger Secondary,,14.29%,,N,217,
mn,1000003871,Alden ISD #242,1000001584,Alden - Conger Elementary,,21.33%,,N,225,
mn,1000003862,Alexandria ISD #206,1000002891,St Marys School,,0.00%,,N,103,
mn,1000003862,Alexandria ISD #206,1000001567,Alexandria Area High School,,7.67%,,N,1303,
mn,1000003862,Alexandria ISD #206,1000001563,Miltona Elementary,,8.21%,,N,134,
mn,1000003862,Alexandria ISD #206,1000001560,Carlos Elementary,,12.04%,,N,108,
mn,1000003862,Alexandria ISD #206,1000001566,Discovery Middle,,12.83%,,N,974,
mn,1000003862,Alexandria ISD #206,1000001565,Voyager Elementary,,15.18%,,N,448,
mn,1000003862,Alexandria ISD #206,1000001562,Lincoln Elementary,,17.08%,,N,445,
mn,1000003862,Alexandria ISD #206,1000001561,Garfield Elementary,,19.20%,,N,125,
mn,1000003862,Alexandria ISD #206,1000001564,Woodland Elementary,,24.88%,,N,418,
mn,2000010090,All Saints Academy,1000003014,All Saints Academy - St Joseph,,2.15%,,N,93,
mn,1000005772,All Saints Catholic School,1000005773,All Saints Catholic School,,0.28%,,N,361,
mn,1000004057,Annandale ISD #876,1000002456,Annandale Secondary,,5.20%,,N,596,
mn,1000004057,Annandale ISD #876,1000002455,Annandale Middle,,9.31%,,N,505,
mn,1000004057,Annandale ISD #876,1000002454,Annandale Elementary,,10.16%,,N,925,
mn,1000003493,Anoka ISD #11,1000001276,Bridges Program - Andover,,0.00%,,N,75,
mn,1000003493,Anoka ISD #11,1000001278,Pathways,,0.00%,,N,117,
mn,1000003493,Anoka ISD #11,1000005455,Andover High School,,4.77%,,N,1739,
mn,1000003493,Anoka ISD #11,9000017758,Sunrise Elementary School,,4.95%,,N,747,
mn,1000003493,Anoka ISD #11,1000001273,Andover Elementary,,5.69%,,N,1159,
mn,1000003493,Anoka ISD #11,9000017757,Brookside Elementary School,,5.70%,,N,1106,
mn,1000003493,Anoka ISD #11,1000005337,Rum River Elementary,,6.76%,,N,799,
mn,1000003493,Anoka ISD #11,1000001258,McKinley Elementary,,6.88%,,N,567,
mn,1000003493,Anoka ISD #11,1000001271,Dayton Elementary,,7.91%,,N,569,
mn,1000003493,Anoka ISD #11,1000001244,Champlin Park Senior,,7.95%,,N,3008,
mn,1000003493,Anoka ISD #11,1000001241,Blaine Senior,,8.52%,,N,2981,
mn,1000003493,Anoka ISD #11,1000001246,Oak View Middle,,8.88%,,N,1205,
mn,1000003493,Anoka ISD #11,1000001234,Anoka Senior,,9.06%,,N,2252,
mn,1000003493,Anoka ISD #11,1000001238,Roosevelt Middle,,9.69%,,N,753,
mn,1000003493,Anoka ISD #11,9000010948,Anoka-Hennepin Technical High School,,12.98%,,N,208,
mn,1000003493,Anoka ISD #11,1000001239,Jackson Middle School,,13.09%,,N,1933,
mn,1000003493,Anoka ISD #11,1000001264,Sand Creek Elementary,,13.75%,,N,589,
mn,1000003493,Anoka ISD #11,1000001240,Northdale Middle School,,13.89%,,N,1296,
mn,1000003493,Anoka ISD #11,1000006090,Secondary Technical Education Program,,14.29%,,N,28,
mn,1000003493,Anoka ISD #11,1000001236,Anoka Middle School for the Arts - Fred Moore,,15.22%,,N,1715,
mn,1000003493,Anoka ISD #11,1000001249,Crooked Lake Elementary,,15.22%,,N,427,
mn,1000003493,Anoka ISD #11,1000001253,Jefferson Elementary,,15.96%,,N,564,
mn,1000003493,Anoka ISD #11,1000001257,Madison Elementary,,16.08%,,N,398,
mn,1000003493,Anoka ISD #11,1000001235,Coon Rapids High School,,16.46%,,N,2193,
mn,1000003493,Anoka ISD #11,1000001254,Johnsville Elementary,,17.01%,,N,535,
mn,1000003493,Anoka ISD #11,1000001270,Ramsey Elementary,,18.35%,,N,654,
mn,1000003493,Anoka ISD #11,1000001260,Monroe Elementary,,18.79%,,N,479,
mn,1000003493,Anoka ISD #11,1000001269,Eisenhower Elementary,,18.94%,,N,491,
