state,District Code,District Name,School Code,School Name,individual_isp,proxy_isp,claiming_isp,participating_in_cep,total_enrolled,total_eligible
mo,048-927,ACADEMY FOR INTEGRAT,6995  ,ACADEMY FOR INTEGRATED ARTS,58.85%,,69.05%,Y,252,148
mo,001-090,ADAIR CO. R-I,4020,ADAIR CO. ELEM.,44.74%,,40.34%,Y,119,53
mo,001-090,ADAIR CO. R-I,1050,ADAIR CO. HIGH,31.37%,,,N,102,32
mo,103-129,ADVANCE R-IV,4020-0,ADVANCE ELEM.,31.40%,,,N,242,76
mo,115-406,AGAPE CHILD DEVELOPM,4020-1,AGAPE ACADEMY,73.33%,,73.33%,Y,105,77
mo,047-062,ARCADIA VALLEY R-II,4020-2,ARCADIA VALLEY ELEM.,51.99%,,50.29%,Y,416,216
mo,047-062,ARCADIA VALLEY R-II,3000,ARCADIA VALLEY MIDDLE,38.10%,,50.29%,Y,274,104
mo,115-933,ATLAS PUBLIC SCHOOLS,6905  ,ATLAS ELEMENTARY,,,90.16%,Y,122,
mo,034-124,AVA R-I,3000-0,AVA MIDDLE,42.30%,,,N,409,173
mo,034-124,AVA R-I,4020-3,AVA ELEM.,41.07%,,,N,543,223
mo,077-101,BAKERSFIELD R-IV,1050-0,BAKERSFIELD HIGH,31.75%,,,N,211,67
mo,077-101,BAKERSFIELD R-IV,4020-4,BAKERSFIELD ELEM.,37.29%,,,N,177,66
mo,103-135,BERNIE R-XIII,4020-5,BERNIE ELEM.,44.41%,,,N,322,143
mo,094-076,BISMARCK R-V,1050-1,BISMARCK HIGH,41.91%,,44.04%,Y,241,101
mo,094-076,BISMARCK R-V,4020-6,BISMARCK ELEM.,46.57%,,44.04%,Y,204,95
mo,104-045,BLUE EYE R-V,4020-7,BLUE EYE ELEM.,41.71%,,,N,187,78
mo,104-045,BLUE EYE R-V,3000-1,BLUE EYE MIDDLE,32.67%,,,N,150,49
mo,027-061,BOONVILLE R-I,4020-8,HANNAH COLE PRIMARY,43.00%,,45.13%,Y,393,169
mo,027-061,BOONVILLE R-I,4040,DAVID BARTON ELEM.,68.40%,,45.13%,Y,212,145
mo,027-061,BOONVILLE R-I,3000-2,LAURA SPEED ELLIOTT MIDDLE,35.19%,,45.13%,Y,412,145
mo,017-124,BOSWORTH R-V,1050-2,BOSWORTH HIGH,54.17%,,45.00%,Y,18,10
mo,017-124,BOSWORTH R-V,4020-9,BOSWORTH ELEM.,72.41%,,45.00%,Y,22,16
mo,048-916,BROOKSIDE CHARTER SCH,3950  ,BROOKSIDE CHARTER MIDDLE SCHL,65.53%,,60.43%,Y,258,169
mo,048-916,BROOKSIDE CHARTER SCH,6950,BROOKSIDE CHARTER ELEMENTARY,51.06%,,60.43%,Y,634,324
mo,021-149,BRUNSWICK R-II,4020-10,BRUNSWICK ELEM.,32.58%,,,N,178,58
mo,107-155,CABOOL R-IV,3000-3,CABOOL MIDDLE,56.04%,,41.18%,Y,228,128
mo,107-155,CABOOL R-IV,4020-11,CABOOL ELEM.,57.33%,,41.18%,Y,357,205
mo,107-155,CABOOL R-IV,1050-3,CABOOL HIGH,52.63%,,41.18%,Y,192,101
mo,042-117,CALHOUN R-VIII,1050-4,CALHOUN HIGH,40.43%,,,N,47,19
mo,042-117,CALHOUN R-VIII,4020-12,CALHOUN ELEM.,35.14%,,,N,37,13
mo,061-157,CALLAO C-8,4020-13,CALLAO ELEM.,44.44%,,,N,54,24
mo,035-093,CAMPBELL R-II,1050-5,CAMPBELL HIGH,40.94%,,,N,254,104
mo,035-093,CAMPBELL R-II,4020-14,CAMPBELL ELEM.,50.67%,,,N,300,152
mo,016-096,CAPE GIRARDEAU 63,2050,CENTRAL JR. HIGH,47.35%,,40.72%,Y,601,285
mo,016-096,CAPE GIRARDEAU 63,4040-0,FRANKLIN ELEM.,69.76%,,60.90%,Y,261,182
mo,016-096,CAPE GIRARDEAU 63,4050,BLANCHARD ELEM.,59.43%,,40.72%,Y,334,198
mo,016-096,CAPE GIRARDEAU 63,4060,CLIPPARD ELEM.,50.40%,,40.72%,Y,517,261
mo,016-096,CAPE GIRARDEAU 63,4080,JEFFERSON ELEM.,78.57%,,60.90%,Y,382,300
mo,016-096,CAPE GIRARDEAU 63,4090,CENTRAL MIDDLE SCHOOL,51.42%,,60.90%,Y,582,299
mo,016-096,CAPE GIRARDEAU 63,1050-6,CENTRAL HIGH,38.02%,,40.72%,Y,1269,482
mo,016-096,CAPE GIRARDEAU 63,4020-15,ALMA SCHRADER ELEM.,26.26%,,40.72%,Y,366,96
mo,115-915,CARONDELET LEADERSHIP,6975,CARONDELET LEADERSHIP ACADEMY,,,,N,,
mo,049-142,CARTHAGE R-IX,4020-16,COLUMBIAN ELEM.,49.59%,,,N,492,244
mo,049-142,CARTHAGE R-IX,2050-0,CARTHAGE JR. HIGH,36.07%,,,N,793,286
mo,049-142,CARTHAGE R-IX,3000-4,Carthage Intermediate Center,34.52%,,,N,817,282
mo,049-142,CARTHAGE R-IX,4060-0,FAIRVIEW ELEM.,37.88%,,,N,520,197
mo,049-142,CARTHAGE R-IX,5000,MARK TWAIN ELEM.,34.29%,,,N,280,96
mo,049-142,CARTHAGE R-IX,7500,EARLY CHILDHOOD AND PAT CENTER,33.48%,,,N,221,74
mo,078-012,CARUTHERSVILLE 18,1050-7,CARUTHERSVILLE HIGH,52.07%,,65.71%,Y,243,127
mo,078-012,CARUTHERSVILLE 18,3000-5,CARUTHERSVILLE MIDDLE,68.07%,,65.71%,Y,204,139
mo,078-012,CARUTHERSVILLE 18,4060-1,CARUTHERSVILLE ELEM.,71.40%,,65.71%,Y,489,349
mo,005-123,CASSVILLE R-IV,3000-6,CASSVILLE MIDDLE,31.34%,,,N,418,131
mo,005-123,CASSVILLE R-IV,4020-17,EUNICE THOMAS ELEM.,37.22%,,,N,497,185
mo,005-123,CASSVILLE R-IV,4030,CASSVILLE INTERMEDIATE,31.54%,,,N,428,135
mo,048-080,CENTER 58,1020,CENTER ALTERNATIVE,73.68%,,61.00%,Y,76,56
mo,048-080,CENTER 58,4060-2,CENTER ELEM.,74.08%,,61.00%,Y,355,263
mo,048-080,CENTER 58,4070,INDIAN CREEK ELEM.,45.45%,,61.00%,Y,297,135
mo,048-080,CENTER 58,7500-0,EARLY CHILDHOOD EDUC. CTR.,53.68%,,61.00%,Y,136,73
mo,090-075,CENTERVILLE R-I,4020-18,CENTERVILLE ELEM.,49.18%,,59.09%,Y,66,32
mo,094-086,CENTRAL R-III,4020-19,CENTRAL ELEM.,41.34%,,,N,554,229
mo,094-086,CENTRAL R-III,2050-1,CENTRAL MIDDLE,37.31%,,,N,528,197
mo,094-086,CENTRAL R-III,4060-3,WEST ELEM.,37.95%,,,N,469,178
mo,100-060,CHAFFEE R-II,4020-20,CHAFFEE ELEM.,39.37%,,53.18%,Y,314,124
mo,067-061,CHARLESTON R-I,1050-8,CHARLESTON HIGH,57.41%,,98.72%,Y,250,144
mo,067-061,CHARLESTON R-I,3000-7,CHARLESTON MIDDLE,66.49%,,98.72%,Y,148,98
mo,067-061,CHARLESTON R-I,4040-1,WARREN E. HEARNES ELEM.,70.50%,,98.72%,Y,384,271
mo,048-928,CITIZENS OF THE WORLD,3905,MIDDLE SCHOOL CAMPUS,41.67%,,,N,48,20
mo,048-928,CITIZENS OF THE WORLD,6905,CITIZENS OF THE WORLD CHARTER,32.43%,,,N,367,119
mo,035-097,CLARKTON C-4,1050-9,CLARKTON HIGH,54.14%,,58.15%,Y,126,68
mo,035-097,CLARKTON C-4,4020-21,CLARKTON ELEM.,55.29%,,58.15%,Y,178,98
mo,035-097,CLARKTON C-4,9010,BOOTHEEL STATE SCHOOL,63.64%,,58.15%,Y,21,13
mo,111-087,CLEARWATER R-I,3000-8,CLEARWATER MIDDLE,43.02%,,,N,265,114
mo,111-087,CLEARWATER R-I,4040-2,CLEARWATER ELEM.,50.88%,,,N,399,203
mo,111-087,CLEARWATER R-I,1050-10,CLEARWATER HIGH,34.96%,,,N,266,93
mo,010-093,COLUMBIA 93,1020-0,FREDERICK DOUGLASS HIGH,58.41%,,49.15%,Y,251,147
mo,010-093,COLUMBIA 93,1021,CORE,59.02%,,,N,61,36
mo,010-093,COLUMBIA 93,4020-22,THOMAS BENTON ELEM.,51.89%,,49.15%,Y,224,116
mo,010-093,COLUMBIA 93,4030-0,ALPHA HART LEWIS ELEMENTARY,58.52%,,49.15%,Y,583,341
mo,010-093,COLUMBIA 93,4040-3,BLUE RIDGE ELEM.,44.28%,,,N,463,205
mo,010-093,COLUMBIA 93,4055,DERBY RIDGE ELEM.,48.54%,,,N,445,216
mo,010-093,COLUMBIA 93,4070-0,ELLIOTT BATTLE ELEMENTARY SCHL,41.78%,,,N,426,178
mo,010-093,COLUMBIA 93,5035,NEW HAVEN ELEM.,40.63%,,,N,288,117
mo,010-093,COLUMBIA 93,6020,WEST BLVD. ELEM.,59.03%,,49.15%,Y,350,207
mo,010-093,COLUMBIA 93,2060,OAKLAND MIDDLE SCHOOL,41.98%,,,N,605,254
mo,010-093,COLUMBIA 93,1060,MURIEL W. BATTLE HIGH SCHOOL,30.74%,,,N,1493,459
mo,010-093,COLUMBIA 93,3060,JOHN B. LANGE MIDDLE,36.62%,,,N,609,223
mo,010-093,COLUMBIA 93,5040,PARKADE ELEM.,35.05%,,,N,485,170
mo,010-093,COLUMBIA 93,6010,SHEPARD BLVD. ELEM.,36.21%,,,N,522,189
mo,010-093,COLUMBIA 93,7500-1,CENTER FOR EARLY LRNING-NORTH,37.34%,,,N,533,199
mo,115-906,CONFLUENCE ACADEMIES,6931,ASPIRE ACADEMY,97.27%,,69.22%,Y,116,113
mo,115-906,CONFLUENCE ACADEMIES,6930,CONFLUENCE ACADEMIES-OLD NORTH,95.76%,,69.22%,Y,646,619
mo,115-906,CONFLUENCE ACADEMIES,6932,CONFLUENCE ACADEMIES-SOUTH CTY,89.68%,,69.22%,Y,770,691
mo,115-906,CONFLUENCE ACADEMIES,1920,CONFLUENCE PREPARATORY ACADEMY,91.94%,,69.22%,Y,398,366
mo,115-906,CONFLUENCE ACADEMIES,3920  ,GRAND CENTER ARTS ACAD MIDDLE,89.03%,,69.22%,Y,178,158
mo,115-906,CONFLUENCE ACADEMIES,1945  ,GRAND CENTER ARTS ACADEMY HIGH,84.97%,,69.22%,Y,387,329
mo,027-056,COOPER CO. R-IV,1050-11,BUNCETON HIGH,49.06%,,48.15%,Y,43,21
mo,027-056,COOPER CO. R-IV,4020-23,COOPER CO. ELEM.,52.11%,,48.15%,Y,65,34
