state,District Code,District Name,School Code,School Name,individual_isp,proxy_isp,claiming_isp,participating_in_cep,total_enrolled,total_eligible
ms,4820,ABERDEEN SCHOOL DIST,6,ABERDEEN ELEMENTARY SCHOOL,54.58%,,66.88%,Y,284,155
ms,4820,ABERDEEN SCHOOL DIST,8,ABERDEEN HIGH SCHOOL,30.15%,,66.88%,Y,335,101
ms,4820,ABERDEEN SCHOOL DIST,32,BELLE SHIVERS MIDDLE SCHOOL,41.48%,,66.88%,Y,405,168
ms,2545,AMBITION PREPARATORY,4,Ambition Preparatory Charter School,57.62%,,48.52%,Y,302,174
ms,300,AMITE CO SCHOOL DIST,14,AMITE COUNTY ELEMENTARY,59.00%,,76.82%,Y,461,272
ms,300,AMITE CO SCHOOL DIST,8-0,AMITE COUNTY HIGH SCHOOL,48.80%,,76.82%,Y,418,204
ms,400,ATTALA CO SCHOOL DIST,8-1,ETHEL ATTENDANCE CENTER,28.83%,,57.63%,Y,274,79
ms,400,ATTALA CO SCHOOL DIST,12,GREENLEE ATTENDANCE CENTER,35.13%,,57.63%,Y,279,98
ms,400,ATTALA CO SCHOOL DIST,16,LONG CREEK ATTENDANCE CENTER,63.42%,,57.63%,Y,257,163
ms,400,ATTALA CO SCHOOL DIST,20,MCADAMS ATTENDANCE CENTER,52.38%,,57.63%,Y,189,99
ms,2320,BAY ST LOUIS WAVELAND SCHOOL DIST,8-2,BAY HIGH SCHOOL,23.19%,,55.51%,Y,496,115
ms,2320,BAY ST LOUIS WAVELAND SCHOOL DIST,7,Bay Waveland Middle School,31.98%,,55.51%,Y,394,126
ms,2320,BAY ST LOUIS WAVELAND SCHOOL DIST,12-0,NORTH BAY ELEMENTARY SCHOOL,32.28%,,55.51%,Y,347,112
ms,2320,BAY ST LOUIS WAVELAND SCHOOL DIST,16-0,WAVELAND ELEMENTARY SCHOOL,38.69%,,55.51%,Y,442,171
ms,500,BENTON CO SCHOOL DIST,4-0,ASHLAND ELEMENTARY SCHOOL,47.79%,,62.22%,Y,249,119
ms,500,BENTON CO SCHOOL DIST,6-0,ASHLAND MIDDLE‐HIGH SCHOOL,48.47%,,62.22%,Y,196,95
ms,500,BENTON CO SCHOOL DIST,8-3,HICKORY FLAT ATTENDANCE CENTER,30.63%,,62.22%,Y,457,140
ms,4520,CANTON PUBLIC SCHOOL DIST,4-1,CANTON ELEMENTARY SCHOOL,53.33%,,60.16%,Y,390,208
ms,4520,CANTON PUBLIC SCHOOL DIST,8-4,CANTON PUBLIC HIGH SCHOOL,48.86%,,60.16%,Y,526,257
ms,4520,CANTON PUBLIC SCHOOL DIST,18,HUEY L. PORTER MIDDLE SCHOOL,50.13%,,60.16%,Y,383,192
ms,4520,CANTON PUBLIC SCHOOL DIST,22,JIMMIE M. GOODLOE ELEMENTARY SCHOOL,50.92%,,60.16%,Y,379,193
ms,4520,CANTON PUBLIC SCHOOL DIST,12-1,MC NEAL ELEMENTARY SCHOOL,63.50%,,60.16%,Y,411,261
ms,4520,CANTON PUBLIC SCHOOL DIST,16-1,NICHOLS MIDDLE SCHOOL,64.56%,,60.16%,Y,395,255
ms,4520,CANTON PUBLIC SCHOOL DIST,20-0,REUBEN B. MYERS CANTON SCHOOL OF AR,47.18%,,60.16%,Y,373,176
ms,800,CARROLL COUNTY SCHOOL DIST,4-2,J Z GEORGE HIGH SCHOOL,39.96%,,65.43%,Y,463,185
ms,800,CARROLL COUNTY SCHOOL DIST,8-5,MARSHALL ELEMENTARY SCHOOL,50.25%,,65.43%,Y,398,200
ms,1000,CHOCTAW CO SCHOOL DIST,16-2,WEIR ELEMENTARY SCHOOL,50.00%,,63.80%,Y,136,68
ms,1100,CLAIBORNE CO SCHOOL DIST,2,A. W. WATSON  ELEMENTARY,62.37%,,65.16%,Y,558,348
ms,1100,CLAIBORNE CO SCHOOL DIST,8-6,PORT GIBSON HIGH SCHOOL,50.26%,,65.16%,Y,388,195
ms,1100,CLAIBORNE CO SCHOOL DIST,4-3,PORT GIBSON MIDDLE SCHOOL,64.12%,,65.16%,Y,301,193
ms,1425,CLARKSDALE COLLEGIATE,4-4,CLARKSDALE COLLEGIATE,63.18%,,62.50%,Y,440,278
ms,1420,CLARKSDALE MUNICIPAL SCHOOL DIST,40,BOOKER T WASHINGTON INTERN. STUDIES,71.35%,,88.76%,Y,171,122
ms,1420,CLARKSDALE MUNICIPAL SCHOOL DIST,4-5,CLARKSDALE HIGH SCHOOL,53.94%,,88.76%,Y,469,253
ms,1420,CLARKSDALE MUNICIPAL SCHOOL DIST,28,GEO H OLIVER VISUAL/PERF. ARTS,68.49%,,88.76%,Y,219,150
ms,1420,CLARKSDALE MUNICIPAL SCHOOL DIST,16-3,HEIDELBERG SCHOOL MATH & SCIENCE,62.29%,,88.76%,Y,236,147
ms,1420,CLARKSDALE MUNICIPAL SCHOOL DIST,36,JEROME W. STAMPLEY 9TH GRADE ACADEM,58.24%,,88.76%,Y,170,99
ms,1420,CLARKSDALE MUNICIPAL SCHOOL DIST,20-1,KIRKPATRICK  HEALTH /WELLNESS,65.28%,,88.76%,Y,216,141
ms,1420,CLARKSDALE MUNICIPAL SCHOOL DIST,24,OAKHURST INTERMEDIATE ACADEMY,65.22%,,88.76%,Y,299,195
ms,1420,CLARKSDALE MUNICIPAL SCHOOL DIST,8-7,W.A. HIGGINS MIDDLE SCHOOL ACADEMY,60.95%,,88.76%,Y,379,231
ms,614,CLEVELAND SCHOOL DIST,4-6,BELL ELEMENTARY SCHOOL,27.57%,,64.94%,Y,341,94
ms,614,CLEVELAND SCHOOL DIST,9,CLEVELAND CENTRAL HIGH SCHOOL,43.63%,,64.94%,Y,800,349
ms,614,CLEVELAND SCHOOL DIST,7-0,CLEVELAND CENTRAL MIDDLE SCHOOL,52.90%,,64.94%,Y,482,255
ms,614,CLEVELAND SCHOOL DIST,3,D.M. SMITH ELEMENTARY,77.85%,,64.94%,Y,316,246
ms,614,CLEVELAND SCHOOL DIST,20-2,HAYES COOPER CENTER FOR MATH SC TEC,15.66%,,64.94%,Y,281,44
ms,614,CLEVELAND SCHOOL DIST,24-0,NAILOR ELEMENTARY SCHOOL,73.44%,,64.94%,Y,241,177
ms,614,CLEVELAND SCHOOL DIST,28-0,PARKS ELEMENTARY SCHOOL,47.89%,,64.94%,Y,213,102
ms,614,CLEVELAND SCHOOL DIST,32-0,PEARMAN ELEMENTARY SCHOOL,52.76%,,64.94%,Y,199,105
ms,1400,COAHOMA COUNTY SCHOOL DISTRICT,4-7,COAHOMA COUNTY JR/SR HIGH SCHOOL,62.71%,,79.42%,Y,547,343
ms,1400,COAHOMA COUNTY SCHOOL DISTRICT,16-4,FRIARS POINT ELEMENTARY SCHOOL,71.75%,,79.42%,Y,177,127
ms,1400,COAHOMA COUNTY SCHOOL DISTRICT,28-1,JONESTOWN ELEMENTARY SCHOOL,64.35%,,79.42%,Y,115,74
ms,1400,COAHOMA COUNTY SCHOOL DISTRICT,36-0,LYON ELEMENTARY SCHOOL,68.04%,,79.42%,Y,219,149
ms,8111,COFFEEVILLE SCHOOL DIST,4-8,COFFEEVILLE ELEMENTARY SCHOOL,55.14%,,60.77%,Y,214,118
ms,8111,COFFEEVILLE SCHOOL DIST,6-1,COFFEEVILLE HIGH SCHOOL,51.56%,,60.77%,Y,192,99
ms,4620,COLUMBIA SCHOOL DISTRICT,4-9,COLUMBIA ELEMENTARY SCHOOL,40.61%,,50.78%,Y,330,134
