state,District Code,District Name,School Code,School Name,individual_isp,proxy_isp,claiming_isp,participating_in_cep,total_enrolled,total_eligible
mt,0577,Alberton K-12 Schools,1730,Alberton 7-8,33.33%,,43.38%,Y,21,7
mt,0577,Alberton K-12 Schools,0766,Alberton High School,42.42%,,43.38%,Y,33,14
mt,0577,Alberton K-12 Schools,0765,Alberton School,45.00%,,43.38%,Y,80,36
mt,0236,Anaconda Public Schools,1589,Anaconda Jr High School,45.31%,,42.79%,Y,192,87
mt,0236,Anaconda Public Schools,0326,Anaconda Sr High School,34.55%,,42.79%,Y,275,95
mt,0236,Anaconda Public Schools,0322,Fred Moodry Intermediate,46.84%,,42.79%,Y,301,141
mt,0236,Anaconda Public Schools,0321,Lincoln Primary,44.80%,,42.79%,Y,279,125
mt,0474,Arlee Public Schools,1640,Arlee 7-8,60.00%,,55.83%,Y,65,39
mt,0474,Arlee Public Schools,0628,Arlee Elementary,55.87%,,55.83%,Y,213,119
mt,0474,Arlee Public Schools,0629,Arlee High School,53.73%,,55.83%,Y,134,72
mt,0800,Ashland Elementary,1763,Ashland 7-8,77.78%,,85.37%,Y,9,7
mt,0800,Ashland Elementary,1043,Ashland School,86.30%,,85.37%,Y,73,63
mt,0076,Belfry K-12 Schools,1675,Belfry 7-8,37.50%,,43.94%,Y,8,3
mt,0076,Belfry K-12 Schools,0103,Belfry High School,35.29%,,43.94%,Y,17,6
mt,0076,Belfry K-12 Schools,0102,Belfry School,35.29%,,43.94%,Y,34,12
mt,0966,Billings Public Schools,1272,Bench School,60.94%,,64.60%,Y,320,195
mt,0966,Billings Public Schools,1255,Broadwater School,53.21%,,64.60%,Y,327,174
mt,0966,Billings Public Schools,1262,McKinley School,62.06%,,64.60%,Y,282,175
mt,0966,Billings Public Schools,1275,Newman School,65.92%,,64.60%,Y,223,147
mt,0966,Billings Public Schools,1265,Orchard School,70.73%,,64.60%,Y,287,203
mt,0966,Billings Public Schools,1480,Ponderosa School,73.82%,,64.60%,Y,275,203
mt,0966,Billings Public Schools,1645,Riverside Middle School,63.69%,,64.60%,Y,526,335
mt,0966,Billings Public Schools,1270,Washington School,70.34%,,64.60%,Y,263,185
mt,0425,Box Elder Public Schools,1710,Box Elder 7-8,72.13%,,70.68%,Y,61,44
mt,0425,Box Elder Public Schools,0571,Box Elder High School,61.68%,,70.68%,Y,107,66
mt,0425,Box Elder Public Schools,0570,Box Elder School,74.46%,,70.68%,Y,231,172
mt,0783,Brockton Public Schools,1759,Barbara Gilligan 7-8,90.32%,,86.11%,Y,31,28
mt,0783,Brockton Public Schools,1025,Barbara Gilligan School,84.51%,,86.11%,Y,71,60
mt,0783,Brockton Public Schools,1026,Brockton High School,85.71%,,86.11%,Y,42,36
mt,0400,Browning Public Schools,0537,Babb School,75.00%,,71.33%,Y,24,18
mt,0400,Browning Public Schools,1840,Browning Elementary,78.26%,,71.33%,Y,253,198
mt,0400,Browning Public Schools,0543,Browning High School,69.81%,,71.33%,Y,520,363
mt,0400,Browning Public Schools,1613,Browning Middle School,72.89%,,71.33%,Y,380,277
mt,0400,Browning Public Schools,100003,De La Salle Blackfeet School,0.00%,,71.33%,Y,67,0
mt,0400,Browning Public Schools,0538,KW-VC Elementary,76.79%,,71.33%,Y,280,215
mt,0400,Browning Public Schools,0539,Napi School,77.93%,,71.33%,Y,222,173
mt,0840,Butte Public Schools,1085,Emerson School,53.37%,,52.79%,Y,401,214
mt,0840,Butte Public Schools,1095,Kennedy School,67.33%,,68.42%,Y,251,169
mt,0840,Butte Public Schools,1569,Margaret Leary School,41.10%,,41.64%,Y,365,150
mt,0840,Butte Public Schools,1642,West Elementary School,47.70%,,48.30%,Y,499,238
mt,0740,Darby K-12 Schools,1608,Darby 7-8,39.34%,,43.07%,Y,61,24
mt,0740,Darby K-12 Schools,0974,Darby High School,32.38%,,43.07%,Y,105,34
mt,0740,Darby K-12 Schools,0973,Darby School,50.87%,,43.07%,Y,173,88
