state,District Code,District Name,School Code,School Name,individual_isp,proxy_isp,claiming_isp,participating_in_cep,total_enrolled,total_eligible
nc,010,Alamance-Burlington Schools,310,Broadview Middle,,,58.04%,Y,758,
nc,010,Alamance-Burlington Schools,326,Eastlawn Elementary,,,58.04%,Y,638,
nc,010,Alamance-Burlington Schools,350,Graham Middle,,,58.04%,Y,706,
nc,010,Alamance-Burlington Schools,351,Grove Park Elementary,,,58.04%,Y,482,
nc,010,Alamance-Burlington Schools,354,Harvey R Newlin Elementary,,,58.04%,Y,657,
nc,010,Alamance-Burlington Schools,357,Haw River Elementary,,,58.04%,Y,544,
nc,010,Alamance-Burlington Schools,358,Hillcrest Elementary,,,58.04%,Y,621,
nc,010,Alamance-Burlington Schools,364,North Graham Elementary,,,58.04%,Y,375,
nc,010,Alamance-Burlington Schools,372,Pleasant Grove Elementary,,,58.04%,Y,337,
nc,010,Alamance-Burlington Schools,374,R Homer Andrews Elementary,,,58.04%,Y,574,
nc,010,Alamance-Burlington Schools,378,Ray Street Academy,,,58.04%,Y,97,
nc,040,Anson County Schools,304,Anson Co. Early College High,,,59.85%,Y,220,
nc,040,Anson County Schools,306,Anson High,,,59.85%,Y,603,
nc,040,Anson County Schools,308,Ansonville Elem,,,59.85%,Y,156,
nc,040,Anson County Schools,309,Anson Middle,,,59.85%,Y,725,
nc,040,Anson County Schools,311,Wadesboro Primary,,,59.85%,Y,283,
nc,040,Anson County Schools,316,Lilesville Elementary,,,59.85%,Y,216,
nc,040,Anson County Schools,324,Morven Elementary,,,59.85%,Y,161,
nc,040,Anson County Schools,328,Peachland-Polkton Elem,,,59.85%,Y,402,
nc,040,Anson County Schools,330,Wadesboro Elementary,,,59.85%,Y,148,
nc,070,Beaufort County Schools,302,Eastern Elementary,,,47.70%,Y,485,
nc,070,Beaufort County Schools,308-0,Bath Elementary,,,47.70%,Y,533,
nc,070,Beaufort County Schools,310-0,B C Ed Tech Center,,,47.70%,Y,101,
nc,070,Beaufort County Schools,325,Chocowinity Middle,,,47.70%,Y,397,
nc,070,Beaufort County Schools,326-0,Chocowinity Primary,,,47.70%,Y,467,
nc,070,Beaufort County Schools,327,John C Tayloe Elementary,,,47.70%,Y,462,
nc,070,Beaufort County Schools,328-0,John Small Elementary,,,47.70%,Y,507,
nc,070,Beaufort County Schools,329,Northeast Elementary,,,47.70%,Y,399,
nc,070,Beaufort County Schools,330-0,Northside High,,,47.70%,Y,346,
nc,070,Beaufort County Schools,338,P S Jones Middle,,,47.70%,Y,729,
nc,070,Beaufort County Schools,339,Southside High,,,47.70%,Y,381,
nc,070,Beaufort County Schools,340,S W Snowden Elementary,,,47.70%,Y,170,
nc,070,Beaufort County Schools,342,Washington High,,,47.70%,Y,778,
