state,District Code,District Name,School Code,School Name,individual_isp,proxy_isp,claiming_isp,participating_in_cep,total_enrolled,total_eligible
nd,40007,Belcourt School District #7,8461,Tiny Turtle,67.14%,,67.41%,Y,23,15
nd,40007,Belcourt School District #7,8567,Turtle Mountain HS,67.14%,,67.41%,Y,682,458
nd,40007,Belcourt School District #7,8566,Turtle Mountain MS,67.14%,,67.41%,Y,310,208
nd,40007,Belcourt School District #7,8565,Turtle Mountain Elem,67.14%,,67.41%,Y,559,375
nd,8001,Bismarck Public Schools,8050,South Central High,50.55%,,50.55%,Y,91,46
nd,8001,Bismarck Public Schools,4580,Jeanette Myhre,49.64%,,40.36%,Y,280,139
nd,8001,Bismarck Public Schools,1897,Dorothy Moses,39.30%,,40.36%,Y,374,147
nd,8001,Bismarck Public Schools,9414,Will Moore,40.51%,,40.36%,Y,237,96
nd,8001,Bismarck Public Schools,7090,Pioneer Elementary,32.52%,,40.36%,Y,286,93
nd,40900,Dunseith Day Elementary School,1970,Dunseith Day Elem,68.16%,,68.16%,Y,223,152
nd,40001,Dunseith School District,1968,Dunseith Elementary,75.50%,,75.50%,Y,262,198
nd,40001,Dunseith School District,1966,Dunseith HS,75.50%,,75.50%,Y,285,215
nd,18127,Emerado Public School,2362,Emerado Public,43.86%,,43.86%,Y,114,50
nd,9001,Fargo Public Schools,5435,Madison Elementary,58.27%,,48.35%,Y,139,81
nd,9001,Fargo Public Schools,4598,Jefferson Elementary,56.90%,,48.35%,Y,290,165
nd,9001,Fargo Public Schools,2104,Ed Clapp Elementary,41.22%,,48.35%,Y,541,223
nd,9001,Fargo Public Schools,5223,Explorer Academy,72.00%,,,N,11,8
nd,43004,Fort Yates Public School,2921,Fort Yates MS,50.75%,,65.38%,Y,52,26
nd,3030,Four Winds Tribal School,2910,Ft Totten HS,63.45%,,68.22%,Y,178,113
nd,3030,Four Winds Tribal School,2903,Tate Topa Elem,63.45%,,68.22%,Y,445,282
nd,3005,Minnewaukan Public School,5741,Minnewauken Public,61.69%,,53.50%,Y,286,176
nd,36800,North Dakota School for the Deaf,6710,North Dakota School for the Deaf,46.15%,,50.00%,Y,14,6
nd,3016,Oberon Public School,6226,Oberon Public,71.15%,,71.15%,Y,52,37
nd,40409,Ojibwa Indian School,8120,Ojibwa Indian School,64.73%,,64.73%,Y,258,167
nd,43008,Selfridge Public School,7804,Selfridge Public,65.28%,,65.28%,Y,72,47
nd,43003,Solen Public School,8036,Solen HS,71.10%,,71.10%,Y,89,63
nd,43003,Solen Public School,1278,Cannonball Elementary,71.10%,,71.10%,Y,129,92
nd,40410,St Anns Catholic Indian School,8119,St Anns Catholic Elem,68.89%,,68.89%,Y,45,31
nd,43409,St Bernard Mission School,8130,St Bernard Mission School,59.32%,,60.47%,Y,43,26
nd,40003,St John Public School,8152,St John Public,59.38%,,62.75%,Y,443,263
nd,43900,Standing Rock School,2905,Standing Rock HS,54.03%,,64.44%,Y,362,196
nd,43900,Standing Rock School,2902,Standing Rock Elem,54.03%,,64.44%,Y,251,136
nd,13037,Twin Buttes School,8582,Twin Buttes Elementary,63.46%,,63.46%,Y,52,33
nd,8900,United Tribes Tech College,8830,Theo Jamerson Elementary,68.94%,,74.14%,Y,58,40
nd,3029,Warwick Public School,9219,Warwick Public,66.20%,,66.20%,Y,216,143
nd,9006,West Fargo Public Schools,9420,Willow Park Elementary,50.10%,,44.46%,Y,519,260
nd,9006,West Fargo Public Schools,5071,LE Berger,37.47%,,44.46%,Y,419,157
nd,30001,Mandan Public Schools,8286,Mary Stark,50.00%,,50.00%,Y,214,107
