state,District Code,District Name,School Code,School Name,individual_isp,proxy_isp,claiming_isp,participating_in_cep,total_enrolled,total_eligible
ne,90010,AINSWORTH CITY SCHOOL,11,AINSWORTH LITTLE PAWS PRESCHOOL,58.97%,,,N,39,23
ne,70006,ALLIANCE PUBLIC SCHOOLS,1,ALLIANCE HIGH SCHOOL,42.55%,,,N,423,180
ne,70006,ALLIANCE PUBLIC SCHOOLS,4,EMERSON ELEMENTARY SCHOOL,44.16%,,,N,308,136
ne,210044,ANSLEY PUBLIC SCHOOL,2,ANSLEY ELEMENTARY SCHOOL,44.95%,,,N,109,49
ne,640029,AUBURN PUBLIC SCHOOL,1-0,AUBURN HIGH SCHOOL,51.27%,,,N,236,121
ne,410504,AURORA PUBLIC SCHOOLS,4-0,AURORA PRESCHOOL,40.30%,,,N,67,27
ne,200020,Bancroft-Rosalie School,1-1,Bancroft-Rosalie School,41.56%,,41.56%,Y,308,128
ne,040001,Banner County School,1-2,Banner County School,45.67%,,45.67%,Y,127,58
ne,340015,BEATRICE PUBLIC SCHOOL,4-1,LINCOLN ELEMENTARY SCHOOL,48.97%,,,N,194,95
ne,340015,BEATRICE PUBLIC SCHOOL,6,PADDOCK LANE SCHOOL,50.00%,,,N,366,183
ne,340015,BEATRICE PUBLIC SCHOOL,11-0,BEATRICE COMMUNITY PRESCHOOL,54.42%,,,N,215,117
ne,770001,BELLEVUE PUBLIC SCHOOLS,6-0,BELLEAIRE ELEMENTARY SCHOOL,48.83%,,,N,299,146
ne,770001,BELLEVUE PUBLIC SCHOOLS,8,BETZ ELEMENTARY SCHOOL,55.63%,,,N,293,163
ne,770001,BELLEVUE PUBLIC SCHOOLS,11-1,BIRCHCREST ELEMENTARY SCHOOL,43.06%,,,N,360,155
ne,620063,Bridgeport Public School,1-3,Bridgeport Public School,40.18%,,40.18%,Y,448,180
ne,230002,CHADRON CITY SCHOOLS,4-2,CHADRON INTERMEDIATE,43.15%,,,N,146,63
ne,710001,COLUMBUS PUBLIC SCHOOL,3,EMERSON ELEMENTARY SCHOOL,47.96%,,,N,294,141
ne,760002,Crete Public Schools,6-1,Crete Intermediate,43.51%,,41.20%,Y,416,181
ne,760002,Crete Public Schools,3-0,Crete Middle School,39.04%,,41.20%,Y,438,171
ne,760002,Crete Public Schools,8-0,CRETE PRESCHOOL,54.02%,,,N,224,121
ne,290117,DUNDY COUNTY PUBLIC SCHOOL,1-4,DUNDY CO STRATTON HIGH SCHOOL,40.80%,,,N,125,51
ne,290117,DUNDY COUNTY PUBLIC SCHOOL,2-0,BENKELMAN ELEMENTARY SCHOOL,40.14%,,,N,142,57
ne,470103,Elba Public School,1-5,Elba Public School,45.45%,,45.45%,Y,121,55
ne,260561,EMERSON-HUBBARD SCHOOLS,4-3,EMERSON-HUBBARD MIDDLE SCHOOL,46.15%,,,N,65,30
ne,480008,FAIRBURY PUBLIC SCHOOL,3-1,CENTRAL ELEMENTARY SCHOOL,42.40%,,,N,283,120
ne,740056,FALLS CITY PUBLIC SCHOOL,2-1,FALLS CITY MIDDLE SCHOOL,44.91%,,,N,167,75
ne,310506,FRANKLIN PUBLIC SCHOOL,2-2,FRANKLIN ELEMENTARY SCHOOL,40.88%,,,N,159,65
ne,270001,FREMONT PUBLIC SCHOOL,2-3,FREMONT MIDDLE SCHOOL,42.46%,,,N,756,321
ne,270001,FREMONT PUBLIC SCHOOL,5,GRANT ELEMENTARY SCHOOL,60.96%,,,N,146,89
ne,270001,FREMONT PUBLIC SCHOOL,7,LINDEN ELEMENTARY SCHOOL,41.62%,,,N,346,144
ne,270001,FREMONT PUBLIC SCHOOL,9,WASHINGTON ELEMENTARY SCHOOL,50.41%,,,N,365,184
ne,270001,FREMONT PUBLIC SCHOOL,15,MILLIKEN PARK ELEMENTARY SCH,40.86%,,,N,257,105
ne,270001,FREMONT PUBLIC SCHOOL,16,BELL FIELD ELEMENTARY SCHOOL,50.00%,,,N,306,153
ne,270001,FREMONT PUBLIC SCHOOL,19,JOHNSON CROSSING ACADEMIC CENTER (5-6),41.71%,,,N,700,292
ne,350001,GARDEN COUNTY SCHOOLS,1-6,GARDEN COUNTY JUNIOR/SENIOR HIGH SCHOOL,46.73%,,,N,107,50
ne,350001,GARDEN COUNTY SCHOOLS,2-4,GARDEN COUNTY ELEMENTARY SCH,46.77%,,,N,124,58
ne,790016,GERING PUBLIC SCHOOL,5-0,NORTHFIELD ELEMENTARY SCHOOL,48.44%,,,N,256,124
ne,790016,GERING PUBLIC SCHOOL,7-0,GERING EARLY CHILDHOOD PROGRAM,51.21%,,,N,248,127
ne,810010,Gordon-Rushville Public Schools,2-5,Gordon-Rushville Elementary at Gordon,78.77%,,48.80%,Y,179,141
ne,810010,Gordon-Rushville Public Schools,3-2,Gordon-Rushville High School,40.30%,,48.80%,Y,134,54
ne,810010,Gordon-Rushville Public Schools,1-7,Gordon-Rushville Middle School,30.43%,,48.80%,Y,230,70
ne,240020,GOTHENBURG PUBLIC SCHOOL,6-2,SWEDE PRESCHOOL ACADEMY,65.71%,,,N,35,23
ne,400002,Grand Island Public School,1-8,Dodge Elementary,56.90%,,59.68%,Y,413,235
ne,400002,Grand Island Public School,25,Early Learning Center,59.58%,,59.68%,Y,240,143
ne,400002,Grand Island Public School,29,EF Starr Elementary,60.97%,,59.68%,Y,433,264
ne,400002,Grand Island Public School,2-6,Howard Elementary,62.57%,,59.68%,Y,366,229
ne,400002,Grand Island Public School,9-0,Jefferson Elementary,60.12%,,59.68%,Y,341,205
ne,400002,Grand Island Public School,6-3,Knickrehm Elementary,63.13%,,59.68%,Y,217,137
ne,400002,Grand Island Public School,3-3,Lincoln Elementary,62.25%,,59.68%,Y,355,221
ne,400002,Grand Island Public School,13,Seedling Mile Elementary,55.93%,,59.27%,Y,118,66
ne,400002,Grand Island Public School,15-0,Wasmer Elementary,59.25%,,59.68%,Y,346,205
ne,400002,Grand Island Public School,14,West Lawn Elementary,60.61%,,59.27%,Y,297,180
ne,400002,Grand Island Public School,2-7,BARR MIDDLE SCHOOL,43.60%,,,N,789,344
ne,400002,Grand Island Public School,4-4,WALNUT MIDDLE SCHOOL,45.53%,,,N,872,397
ne,400002,Grand Island Public School,5-1,GATES ELEMENTARY SCHOOL,47.40%,,,N,327,155
ne,400002,Grand Island Public School,12,STARR ELEMENTARY SCHOOL,63.10%,,,N,420,265
ne,400002,Grand Island Public School,15-1,SEEDLING MILE ELEM SCHOOL,54.17%,,,N,96,52
ne,400002,Grand Island Public School,16-0,STOLLEY PARK ELEM SCHOOL,42.02%,,,N,307,129
ne,400002,Grand Island Public School,22,EARLY LEARNING CENTER,57.88%,,,N,273,158
ne,180011,Harvard Public School,1-9,Harvard School,59.48%,,59.48%,Y,269,160
ne,10018,HASTINGS PUBLIC SCHOOLS,3-4,ALCOTT ELEMENTARY SCHOOL,53.18%,,,N,299,159
ne,10018,HASTINGS PUBLIC SCHOOLS,5-2,LINCOLN ELEMENTARY SCHOOL,68.12%,,,N,345,235
ne,10018,HASTINGS PUBLIC SCHOOLS,6-4,LONGFELLOW ELEMENTARY SCHOOL,40.38%,,,N,317,128
