state,District Code,District Name,School Code,School Name,individual_isp,proxy_isp,claiming_isp,participating_in_cep,total_enrolled,total_eligible
nj,08006010,ACADEMY CHARTER HS,000002881,ACAD CHARTER HS,43.53%,,,N,170,74
nj,08007895,ACHIEVERS EARLY COLLEGE PREP CS,000217004,Achievers Early College Prep Charter School - 520 Chestnut,13.33%,,,N,90,12
nj,08007895,ACHIEVERS EARLY COLLEGE PREP CS,000012701,Achievers Early College Prep Charter School - 544 Chestnut Avenue,54.58%,,,N,262,143
nj,00809277,ARCHWAY PROGRAMS,000000489,ARCHWAY LOWER SCHOOL,21.43%,,42.92%,Y,84,18
nj,00809277,ARCHWAY PROGRAMS,000000488,ARCHWAY UPPER SCHOOL,43.18%,,42.92%,Y,132,57
nj,02500100,ASBURY PARK BD OF ED,000002060,ASBURY PARK HIGH,47.13%,,63.70%,Y,645,304
nj,02500100,ASBURY PARK BD OF ED,000002063,BRADLEY ELEM,60.06%,,63.70%,Y,308,185
nj,02500100,ASBURY PARK BD OF ED,000002062,DR. MARTIN LUTHER KING UPPER ELEMENTARY SCHOOL,58.28%,,63.70%,Y,314,183
nj,02500100,ASBURY PARK BD OF ED,000002065,THURGOOD MARSHALL,54.91%,,63.70%,Y,224,123
nj,00100110,ATLANTIC CITY BD OF ED,000000147,ATLANTIC CITY HIGH,55.55%,,,N,1685,936
nj,00100110,ATLANTIC CITY BD OF ED,000003353,BRIGHTON AVENUE SCHOOL,56.57%,,,N,297,168
nj,00100110,ATLANTIC CITY BD OF ED,000000149,CHELSEA HEIGHTS,56.86%,,,N,299,170
nj,00100110,ATLANTIC CITY BD OF ED,000000156,DR. MLK SCHOOL COMPLEX,69.61%,,,N,543,378
nj,00100110,ATLANTIC CITY BD OF ED,000000151,NEW YORK AVENUE,78.22%,,,N,574,449
nj,00100110,ATLANTIC CITY BD OF ED,000009781,PENNSYLVANIA AVENUE SCHOOL,65.77%,,,N,555,365
nj,00100110,ATLANTIC CITY BD OF ED,000009780,RICHMOND AVENUE SCHOOL,48.73%,,,N,589,287
nj,00100110,ATLANTIC CITY BD OF ED,000000148,SOVEREIGN AVE,52.61%,,,N,690,363
nj,00100110,ATLANTIC CITY BD OF ED,000000150,TEXAS AVE,53.24%,,,N,479,255
nj,00100110,ATLANTIC CITY BD OF ED,000000152,UPTOWN SCH00L COMPLEX,74.42%,,,N,520,387
nj,00100110,ATLANTIC CITY BD OF ED,000000155,VENICE PARK,59.02%,,,N,61,36
nj,00100125,ATLANTIC CO SPEC SERV,000000158,ACSS-MAYS LANDING,41.58%,,,N,291,121
nj,08006032,Academy for Urban Leadership CS,000009094,Academy for Urban Leadership,34.76%,,,N,328,114
nj,08006032,Academy for Urban Leadership CS,000013141,Academy for Urban Leadership Middle School,32.22%,,,N,90,29
