state,District Code,District Name,School Code,School Name,individual_isp,proxy_isp,claiming_isp,participating_in_cep,total_enrolled,total_eligible
nm,601000,ALAMO NAVAJO SCHOOL,601001,ALAMO NAVAJO COMMUNITY SCHOOL,78.65%,,78.65%,Y,332,261
nm,046000,ALAMOGORDO PUBLIC SCHOOLS,046004,ACADEMY DEL SOL ALT.,42.86%,,48.48%,Y,30,13
nm,046000,ALAMOGORDO PUBLIC SCHOOLS,046015,ALAMOGORDO HIGH,35.27%,,52.57%,Y,1562,551
nm,046000,ALAMOGORDO PUBLIC SCHOOLS,046028,BUENA VISTA ELEMENTARY,42.71%,,48.48%,Y,205,88
nm,046000,ALAMOGORDO PUBLIC SCHOOLS,046033,CHAPARRAL MIDDLE,47.85%,,52.57%,Y,607,290
nm,046000,ALAMOGORDO PUBLIC SCHOOLS,046144,DESERT STAR ELEMENTARY,55.30%,,52.57%,Y,484,268
nm,046000,ALAMOGORDO PUBLIC SCHOOLS,046057,HIGH ROLLS MOUNTAIN PARK ELEMENTARY,60.87%,,60.87%,Y,24,15
nm,046000,ALAMOGORDO PUBLIC SCHOOLS,046072,LA LUZ ELEMENTARY,56.62%,,52.57%,Y,212,120
nm,046000,ALAMOGORDO PUBLIC SCHOOLS,046003,MOUNTAIN VIEW MIDDLE,50.39%,,52.57%,Y,519,262
nm,046000,ALAMOGORDO PUBLIC SCHOOLS,046114,NORTH ELEMENTARY,70.43%,,52.57%,Y,187,132
nm,046000,ALAMOGORDO PUBLIC SCHOOLS,046150,SIERRA ELEMENTARY,40.00%,,48.48%,Y,309,124
nm,046000,ALAMOGORDO PUBLIC SCHOOLS,046182,STEPPING STONES PRESCHOOL,57.50%,,48.48%,Y,114,66
nm,046000,ALAMOGORDO PUBLIC SCHOOLS,046056,SUNSET HILLS ELEMENTARY,54.05%,,52.57%,Y,413,223
nm,046000,ALAMOGORDO PUBLIC SCHOOLS,046181,YUCCA ELEMENTARY,59.54%,,48.48%,Y,261,155
nm,528000,ALBUQUERQUE BILINGUAL ACADEMY,528001,ALBUQUERQUE BILINGUAL ACADEMY,47.35%,,47.35%,Y,373,177
nm,574000,ALBUQUERQUE COLLEGIATE CHARTER SCHOOL,574001,ALBUQUERQUE COLLEGIATE CHARTER SCHOOL,54.42%,,48.57%,Y,153,83
nm,001000,ALBUQUERQUE PUBLIC SCHOOLS,001749,ACE LEADERSHIP HIGH SCHOOL (APS),57.82%,,58.33%,Y,186,108
nm,001000,ALBUQUERQUE PUBLIC SCHOOLS,001206,ADOBE ACRES ELEMENTARY,60.50%,,52.61%,Y,316,191
nm,001000,ALBUQUERQUE PUBLIC SCHOOLS,001207,ALAMEDA ELEMENTARY,54.42%,,63.43%,Y,211,115
nm,001000,ALBUQUERQUE PUBLIC SCHOOLS,001210,ALAMOSA ELEMENTARY,72.73%,,63.43%,Y,383,279
nm,001000,ALBUQUERQUE PUBLIC SCHOOLS,001213,ALVARADO ELEMENTARY,31.87%,,52.61%,Y,280,89
nm,001000,ALBUQUERQUE PUBLIC SCHOOLS,001214,APACHE ELEMENTARY,71.92%,,63.43%,Y,300,216
nm,001000,ALBUQUERQUE PUBLIC SCHOOLS,001215,ARMIJO ELEMENTARY,68.20%,,63.43%,Y,270,184
nm,001000,ALBUQUERQUE PUBLIC SCHOOLS,001329,ARROYO DEL OSO ELEMENTARY,45.66%,,52.61%,Y,313,143
nm,001000,ALBUQUERQUE PUBLIC SCHOOLS,001216,ATRISCO ELEMENTARY,66.24%,,63.43%,Y,233,154
nm,001000,ALBUQUERQUE PUBLIC SCHOOLS,001576,ATRISCO HERITAGE ACADEMY HS,41.25%,,41.71%,Y,2152,888
nm,001000,ALBUQUERQUE PUBLIC SCHOOLS,001225,BARCELONA ELEMENTARY,62.11%,,63.43%,Y,260,161
nm,001000,ALBUQUERQUE PUBLIC SCHOOLS,001228,BEL AIR ELEMENTARY,63.97%,,63.43%,Y,261,167
nm,001000,ALBUQUERQUE PUBLIC SCHOOLS,001229,BELLEHAVEN ELEMENTARY,54.62%,,52.61%,Y,245,134
nm,001000,ALBUQUERQUE PUBLIC SCHOOLS,001339,CARLOS REY ELEMENTARY,52.28%,,63.43%,Y,523,273
nm,001000,ALBUQUERQUE PUBLIC SCHOOLS,001234,CHAPARRAL ELEMENTARY,53.77%,,63.43%,Y,561,302
nm,001000,ALBUQUERQUE PUBLIC SCHOOLS,001236,CHELWOOD ELEMENTARY,65.47%,,63.43%,Y,383,251
nm,001000,ALBUQUERQUE PUBLIC SCHOOLS,001407,CLEVELAND MIDDLE,46.17%,,52.61%,Y,584,270
nm,001000,ALBUQUERQUE PUBLIC SCHOOLS,001237,COCHITI ELEMENTARY,59.91%,,63.43%,Y,212,127
nm,001000,ALBUQUERQUE PUBLIC SCHOOLS,001240,COLLET PARK ELEMENTARY,50.58%,,52.61%,Y,343,173
nm,001000,ALBUQUERQUE PUBLIC SCHOOLS,001241,COMANCHE ELEMENTARY,45.67%,,52.61%,Y,335,153
nm,001000,ALBUQUERQUE PUBLIC SCHOOLS,001514,DEL NORTE HIGH,51.95%,,52.61%,Y,1071,556
nm,001000,ALBUQUERQUE PUBLIC SCHOOLS,001244,DOLORES GONZALES ELEMENTARY,57.05%,,52.61%,Y,306,175
nm,001000,ALBUQUERQUE PUBLIC SCHOOLS,001249,DURANES ELEMENTARY,62.61%,,63.43%,Y,115,72
nm,001000,ALBUQUERQUE PUBLIC SCHOOLS,001252,EAST SAN JOSE ELEMENTARY,58.24%,,52.61%,Y,349,203
