state,District Code,District Name,School Code,School Name,individual_isp,proxy_isp,claiming_isp,participating_in_cep,total_enrolled,total_eligible
nv,N-13-13,Carson City School District,013-301,Carson Middle School,43.94%,,43.94%,Y,974,428
nv,N-13-13,Carson City School District,013-203,Fritsch Elementary,45.45%,,45.45%,Y,462,210
nv,N-13-13,Carson City School District,013-211,Mark Twain Elementary,50.61%,,50.61%,Y,577,292
nv,N-13-13,Carson City School District,013-204,Fremont Elementary,54.01%,,54.01%,Y,574,310
nv,N-13-13,Carson City School District,013-201,Bordewich Elementary,55.70%,,55.70%,Y,614,342
nv,N-13-13,Carson City School District,013-209,Empire Elementary,56.07%,,56.07%,Y,494,277
nv,N-13-13,Carson City School District,013-902,Pioneer Academy,62.04%,,62.04%,Y,216,134
nv,N-01-13,Churchill County School District,001-401,Churchill County High School,48.26%,,58.86%,Y,951,459
nv,N-01-13,Churchill County School District,001-205,E C Best Elementary,60.42%,,58.86%,Y,475,287
nv,N-01-13,Churchill County School District,001-301,Churchill County Middle School,60.37%,,58.86%,Y,762,460
nv,N-01-13,Churchill County School District,001-207,Numa Elementary School,63.87%,,58.86%,Y,465,297
nv,N-01-13,Churchill County School District,001-206,Lahontan Elementary School,58.70%,,58.86%,Y,414,243
nv,N-01-13,Churchill County School District,001-202,Northside Early Learning Center,54.55%,,58.86%,Y,88,48
nv,N-02-13,Clark County School District,002-101,Blue Diamond ES,26.92%,,42.94%,Y,26,7
nv,N-02-13,Clark County School District,002-171,"Carl, Kay ES",43.53%,,42.94%,Y,703,306
nv,N-02-13,Clark County School District,002-328,"Sawyer, Grant MS",62.11%,,44.74%,Y,1156,718
nv,N-02-13,Clark County School District,002-420,Advanced Technologies Academy,27.66%,,44.74%,Y,1175,325
nv,N-02-13,Clark County School District,002-333,"Molasky, Irwin and Susan JHS",63.23%,,40.57%,Y,1039,657
nv,N-02-13,Clark County School District,002-331,Lied Stem Academy MS,26.19%,,40.57%,Y,1638,429
nv,N-02-13,Clark County School District,002-271,"Bilbray, James ES",32.55%,,45.40%,Y,639,208
nv,N-02-13,Clark County School District,002-066,"Barber, Shirley A. ES",56.63%,,45.40%,Y,731,414
nv,N-02-13,Clark County School District,002-284,"Smith, Hal ES",82.36%,,43.88%,Y,771,635
nv,N-02-13,Clark County School District,002-416,Green Valley HS,33.20%,,43.88%,Y,2777,922
nv,N-02-13,Clark County School District,002-126,"Cox, David M. ES",39.51%,,49.69%,Y,567,224
nv,N-02-13,Clark County School District,002-153,"Goldfarb, Daniel ES",57.66%,,49.69%,Y,725,418
nv,N-02-13,Clark County School District,002-136,"King, Martha P. ES",33.65%,,42.07%,Y,315,106
nv,N-02-13,Clark County School District,002-158,"Cartwright, Roberta C. ES",47.33%,,42.07%,Y,505,239
nv,N-02-13,Clark County School District,002-168,"Hayes, Keith C. and Karen W. ES",46.83%,,41.45%,Y,521,244
nv,N-02-13,Clark County School District,002-082,"Triggs, Vincent L. ES",36.54%,,41.45%,Y,572,209
nv,N-02-13,Clark County School District,002-296,"Earl, Marion B. ES",54.88%,,45.90%,Y,523,287
nv,N-02-13,Clark County School District,002-188,"Scherkenbach, William and Mary ES",36.95%,,45.90%,Y,525,194
nv,N-02-13,Clark County School District,002-369,"Mackey, Jo MS Academy of Leadership and Global Communication",52.75%,,45.28%,Y,91,48
nv,N-02-13,Clark County School District,002-120,"Gibson, James ES",39.51%,,45.28%,Y,486,192
nv,N-02-13,Clark County School District,002-217,"Mackey, Jo ES Academy of Leadership and Global Communication",49.33%,,45.28%,Y,525,259
nv,N-02-13,Clark County School District,002-111,"Dooley, John ES",37.42%,,43.74%,Y,326,122
nv,N-02-13,Clark County School District,002-265,"Tomiyasu, Bill Y. ES",48.33%,,43.74%,Y,449,217
nv,N-02-13,Clark County School District,002-122,"Hill, Charlotte ES",52.07%,,42.86%,Y,507,264
nv,N-02-13,Clark County School District,002-146,"Newton, Ulis ES",35.49%,,42.86%,Y,634,225
nv,N-02-13,Clark County School District,002-430,Del Sol Academy of the Performing Arts,54.75%,,43.40%,Y,2316,1268
nv,N-02-13,Clark County School District,002-607,Centennial HS,33.77%,,43.40%,Y,2730,922
nv,N-02-13,Clark County School District,002-084,"Reedom, Carolyn S. ES",38.48%,,44.37%,Y,538,207
nv,N-02-13,Clark County School District,002-071,"Stevens, Josh ES",48.03%,,44.37%,Y,864,415
nv,N-02-13,Clark County School District,002-062,"Jenkins, Earl N.",57.14%,,44.64%,Y,630,360
nv,N-02-13,Clark County School District,002-603,Virgin Valley HS,34.13%,,44.64%,Y,750,256
nv,N-02-13,Clark County School District,002-182,"Iverson, Mervin ES",58.09%,,43.12%,Y,575,334
nv,N-02-13,Clark County School District,002-194,"Ries, Aldeane Comito ES",32.64%,,43.12%,Y,821,268
nv,N-02-13,Clark County School District,002-172,"Darnell, Marshall C. ES",42.66%,,43.38%,Y,497,212
nv,N-02-13,Clark County School District,002-189,"Simmons, Eva G. ES",43.93%,,43.38%,Y,651,286
nv,N-02-13,Clark County School District,002-298,"McDoniel, Estes M. ES",44.97%,,46.50%,Y,447,201
nv,N-02-13,Clark County School District,002-150,"Roberts, Aggie ES",47.78%,,46.50%,Y,540,258
nv,N-02-13,Clark County School District,002-336,Indian Springs MS,39.34%,,41.83%,Y,61,24
nv,N-02-13,Clark County School District,002-604,Indian Springs HS,42.70%,,41.83%,Y,89,38
nv,N-02-13,Clark County School District,002-252,Indian Springs ES,42.57%,,41.83%,Y,101,43
nv,N-02-13,Clark County School District,002-361,"Escobedo, Edmundo “Eddie” Sr. MS",43.10%,,48.31%,Y,877,378
nv,N-02-13,Clark County School District,002-337,"Lawrence, Clifford J. JHS",51.79%,,48.31%,Y,1313,680
nv,N-02-13,Clark County School District,002-280,"Bass, John C. ES",48.70%,,47.07%,Y,577,281
nv,N-02-13,Clark County School District,002-070,"Berkley, Shelley ES",45.79%,,47.07%,Y,736,337
nv,N-02-13,Clark County School District,002-170,"Neal, Joseph M. ES",42.81%,,42.81%,Y,549,235
nv,N-02-13,Clark County School District,002-412,Southeast Career and Technical Academy,33.95%,,42.29%,Y,2059,699
nv,N-02-13,Clark County School District,002-406,Basic Academy of International Studies,49.11%,,42.29%,Y,2517,1236
nv,N-02-13,Clark County School District,002-401,"Clark, Ed W. HS",53.72%,,53.72%,Y,3230,1735
nv,N-02-13,Clark County School District,002-320,Sandy Valley MS/HS,55.88%,,55.88%,Y,170,95
nv,N-02-13,Clark County School District,002-159,"Bowler, Joseph L. ES",52.06%,,52.06%,Y,413,215
nv,N-02-13,Clark County School District,002-602,Moapa Valley HS,20.07%,,40.90%,Y,538,108
nv,N-02-13,Clark County School District,002-124,"Derfelt, Herbert A. ES",56.54%,,40.90%,Y,573,324
nv,N-02-13,Clark County School District,002-910,"Stewart, Helen J.",58.02%,,40.90%,Y,131,76
nv,N-02-13,Clark County School District,002-329,"Lyon, Mack MS",20.67%,,50.00%,Y,387,80
nv,N-02-13,Clark County School District,002-123,"Jacobson, Walter ES",54.33%,,50.00%,Y,497,270
nv,N-02-13,Clark County School District,002-147,"Bruner, Lucile ES",65.28%,,50.00%,Y,602,393
nv,N-02-13,Clark County School District,002-627,Central Technical Training Academy,50.89%,,41.04%,Y,112,57
nv,N-02-13,Clark County School District,002-114,"Perkins, Ute ES",28.75%,,41.04%,Y,160,46
nv,N-02-13,Clark County School District,002-074,"Snyder, Don and Dee ES",42.32%,,41.04%,Y,671,284
nv,N-02-13,Clark County School District,002-133,"Kahre, Marc ES",55.39%,,55.39%,Y,408,226
nv,N-02-13,Clark County School District,002-202,"Hoggard, Mabel ES",50.11%,,50.11%,Y,443,222
nv,N-02-13,Clark County School District,002-060,"Thompson, Tyrone ES",29.23%,,45.75%,Y,455,133
nv,N-02-13,Clark County School District,002-083,"O’Roarke, Thomas ES",44.77%,,45.75%,Y,755,338
nv,N-02-13,Clark County School District,002-086,"Scott, Jesse D. ES",58.97%,,45.75%,Y,624,368
nv,N-02-13,Clark County School District,002-432,Veterans Tribute Career and Technical Academy,34.83%,,40.51%,Y,824,287
nv,N-02-13,Clark County School District,002-322,"O'Callaghan, Mike MS i3 Learn Academy",43.79%,,40.51%,Y,1425,624
nv,N-02-13,Clark County School District,002-911,Variety - Secondary,55.74%,,55.74%,Y,122,68
nv,N-02-13,Clark County School District,002-200,"Wright, William V. ES",44.41%,,44.41%,Y,653,290
nv,N-02-13,Clark County School District,002-264,"Smith, Helen M. ES",58.97%,,58.97%,Y,524,309
nv,N-02-13,Clark County School District,002-098,"Steele, Judith D. ES",39.59%,,50.98%,Y,735,291
nv,N-02-13,Clark County School District,002-247,"Wasden, Howard ES",68.02%,,50.98%,Y,491,334
nv,N-02-13,Clark County School District,002-624,East Career and Technical Academy,39.99%,,50.95%,Y,2058,823
nv,N-02-13,Clark County School District,002-304,"Cashman, James MS",68.69%,,50.95%,Y,1271,873
nv,N-02-13,Clark County School District,002-118,"Eisenberg, Dorothy ES",57.89%,,57.89%,Y,513,297
nv,N-02-13,Clark County School District,002-355,"Webb, Del E. MS",19.53%,,43.97%,Y,1608,314
nv,N-02-13,Clark County School District,002-415,Cheyenne HS,53.74%,,43.97%,Y,1779,956
nv,N-02-13,Clark County School District,002-410,Eldorado HS,55.01%,,43.97%,Y,1985,1092
nv,N-02-13,Clark County School District,002-075,Northwest Career and Technical Academy ES,40.00%,,55.26%,Y,15,6
nv,N-02-13,Clark County School District,002-187,"Hummel, John R. ES",59.84%,,55.26%,Y,620,371
nv,N-02-13,Clark County School District,002-923,Global Community HS,38.31%,,55.26%,Y,154,59
nv,N-02-13,Clark County School District,002-076,"Duncan, Ruby ES",58.97%,,40.28%,Y,641,378
nv,N-02-13,Clark County School District,002-157,"Bonner, John W. ES",25.96%,,40.28%,Y,836,217
nv,N-02-13,Clark County School District,002-309,"Knudson, K.O. MS",53.23%,,42.09%,Y,1285,684
nv,N-02-13,Clark County School District,002-428,Liberty HS,33.40%,,42.09%,Y,3090,1032
nv,N-02-13,Clark County School District,002-073,"Heard, Lomie G. ES",58.95%,,42.09%,Y,743,438
nv,N-02-13,Clark County School District,002-180,"Cozine, Steve ES",65.29%,,65.29%,Y,752,491
nv,N-02-13,Clark County School District,002-621,The Delta Academy,55.95%,,55.95%,Y,1101,616
nv,N-02-13,Clark County School District,002-318,"Garrett, Elton M. JHS",28.40%,,40.04%,Y,412,117
nv,N-02-13,Clark County School District,002-174,"Rogers, Lucille S. ES",46.92%,,40.04%,Y,697,327
nv,N-02-13,Clark County School District,002-313,"Burkholder, Lyal MS",55.76%,,44.19%,Y,556,310
nv,N-02-13,Clark County School District,002-161,"Guy, Addeliar D. III ES",57.93%,,44.19%,Y,454,263
nv,N-02-13,Clark County School District,002-601,Boulder City HS,24.25%,,44.19%,Y,635,154
nv,N-02-13,Clark County School District,002-164,"Elizondo, Raul P. ES",65.79%,,65.79%,Y,681,448
nv,N-02-13,Clark County School District,002-263,"Diskin, P. A. ES",60.03%,,49.17%,Y,603,362
nv,N-02-13,Clark County School District,002-176,"Twitchell, Neil C. ES",25.09%,,49.17%,Y,817,205
nv,N-02-13,Clark County School District,002-293,"Cox, Clyde C. ES",68.06%,,49.17%,Y,695,473
nv,N-02-13,Clark County School District,002-403,Rancho HS,53.26%,,42.25%,Y,3145,1675
nv,N-02-13,Clark County School District,002-427,Shadow Ridge HS,25.65%,,42.25%,Y,3173,814
nv,N-02-13,Clark County School District,002-352,"Findlay, Clifford O. MS",59.12%,,42.25%,Y,1069,632
nv,N-02-13,Clark County School District,002-106,"Deskin, Ruthe ES",57.09%,,41.38%,Y,522,298
nv,N-02-13,Clark County School District,002-287,"Wolff, Elise L. ES",26.02%,,41.38%,Y,811,211
nv,N-02-13,Clark County School District,002-178,"Alamo, Tony ES",46.30%,,41.38%,Y,866,401
