state,District Code,District Name,School Code,School Name,individual_isp,proxy_isp,claiming_isp,participating_in_cep,total_enrolled,total_eligible
ny,280201860934,Academy Charter School,800000091309,Academy Charter High School,59.32%,,54.29%,Y,545,323
ny,280201860934,Academy Charter School,800000084303,Academy Charter School,76.61%,,54.29%,Y,930,712
ny,280201860934,Academy Charter School,280201860934,Academy Charter School,92.46%,,54.29%,Y,460,425
ny,280201860934,Academy Charter School,280202861142,Academy Charter School-Uniondale,39.87%,,54.29%,Y,1275,508
ny,280201860934,Academy Charter School,580109861195,Academy Charter School 2,,,54.29%,Y,146,
ny,331400225751,Ach Tov V'Chesed,331400225751,Ach Tov V'Chesed,71.97%,,69.43%,Y,157,113
ny,331400225751,Ach Tov V'Chesed,590901226560,Ach Tov Vchesed,,,73.33%,Y,185,
ny,333200860906,Achievement First Bushwick Cs,800000086469,Achievement First University Prep,59.05%,,,N,,
ny,333200860906,Achievement First Bushwick Cs,331300860902,Achievement First Endeavor Cs,62.18%,,66.11%,Y,739,460
ny,333200860906,Achievement First Bushwick Cs,333200861045,Achievement First North Brooklyn Pre,67.18%,,66.11%,Y,381,256
ny,333200860906,Achievement First Bushwick Cs,332300860912,Achievement First Brownsville Cs,68.94%,,,N,,
ny,333200860906,Achievement First Bushwick Cs,333200860906,Achievement First Bushwick Cs,69.63%,,66.11%,Y,430,299
ny,333200860906,Achievement First Bushwick Cs,331700861086,Achievement First Voyager Charter,51.35%,,66.11%,Y,190,98
ny,570101040000,Addison CSD,570101040001,Tuscarora Elementary School,47.63%,,48.38%,Y,421,201
ny,570101040000,Addison CSD,570101040002,Addison Middle/High School,41.31%,,48.38%,Y,548,226
ny,570101040000,Addison CSD,570101040003,Valley Early Childhood School,11.84%,,48.38%,Y,76,9
ny,410401060000,Adirondack CSD,410401060005,Adirondack High School,45.27%,,44.27%,Y,641,290
ny,410401060000,Adirondack CSD,410401060004,Boonville Elementary School,37.65%,,44.27%,Y,418,157
ny,410401060000,Adirondack CSD,410401060002,West Leyden Elementary School,36.15%,,44.27%,Y,123,44
ny,320900861154,Aeci Ii:  NYC Charter HS,320700860926,Nyc Charter HS - Aeci,86.54%,,76.41%,Y,433,375
ny,320900861154,Aeci Ii:  NYC Charter HS,320900861154,Aeci Ii:  NYC Charter HS,77.93%,,76.41%,Y,415,323
ny,080101040000,Afton CSD,080101040002,Afton Elementary School,47.98%,,53.52%,Y,487,234
ny,332100227202,Ahi Ezer Yeshiva,332100227202,Ahi Ezer Yeshiva,53.40%,,64.02%,Y,166,89
ny,142101040000,Akron CSD,142101040003,Akron Middle School,34.45%,,,N,,
ny,142101040000,Akron CSD,142101040001,Akron Elementary School,30.22%,,,N,,
ny,142101040000,Akron CSD,142101040002,Akron High School,28.67%,,,N,,
ny,331500629812,Al Madrasa Al Islamiya,331500629812,Al Madrasa Al Islamiya,62.40%,,54.13%,Y,164,102
ny,342700629235,Al-Ihsan Academy,342700626394,Al-Ihsan Academy,70.73%,,53.51%,Y,79,56
ny,342700629235,Al-Ihsan Academy,342700629235,Al-Ihsan Academy,55.11%,,53.51%,Y,391,215
ny,331500629786,Al-Madinah School,331500629786,Al-Madinah School,76.41%,,47.13%,Y,855,653
ny,331500629494,Al-Noor School,331500629494,Al-Noor School,55.07%,,53.92%,Y,619,341
