state,District Code,District Name,School Code,School Name,individual_isp,proxy_isp,claiming_isp,participating_in_cep,total_enrolled,total_eligible
oh,000556,A+ Arts Academy,00000556,A+ Arts Academy Middle,99.68%,,56.26%,Y,317,316
oh,000556,A+ Arts Academy,10000556,A+ Arts Academy Napoleon Campus,96.32%,,56.26%,Y,136,131
oh,000556,A+ Arts Academy,30000556,A+ Arts Academy Maybury Campus,91.63%,,56.26%,Y,251,230
oh,013232,A+ Children's Academy,00013232,A+ Children's Academy,81.00%,,58.59%,Y,100,81
oh,013249,Academy for Urban Scholars Youngstown,00013249,Academy for Urban Scholars Youngstown,62.18%,,62.18%,Y,238,148
oh,013195,Academy of Educational Excellence,00013195,Academy of Educational Excellence,62.26%,,62.26%,Y,106,66
oh,011507,Achieve Career Preparatory Academy,00011507,Achieve Career Preparatory Academy,52.17%,,50.72%,Y,69,36
oh,019427,Akron Career Tech High School,00019427,Akron Career Tech High School,73.33%,,62.50%,Y,30,22
oh,043489,Akron City Schools,00032110,Robinson CLC,90.17%,,60.40%,Y,234,211
oh,043489,Akron City Schools,00016253,David Hill CLC,86.67%,,60.40%,Y,315,273
oh,043489,Akron City Schools,00013771,Glover Elementary School,86.13%,,60.40%,Y,274,236
oh,043489,Akron City Schools,00023135,Mason CLC,85.55%,,60.40%,Y,256,219
oh,043489,Akron City Schools,00009107,Helen Arnold Community Learning Center,84.40%,,60.40%,Y,250,211
oh,043489,Akron City Schools,00007864,Crouse Elementary School,83.80%,,60.40%,Y,358,300
oh,043489,Akron City Schools,00011635,Findley Elementary School,82.34%,,60.40%,Y,555,457
oh,043489,Akron City Schools,00023382,Mcebright Elementary School,81.97%,,60.40%,Y,244,200
oh,043489,Akron City Schools,00020115,Leggett Elementary School,81.74%,,60.40%,Y,345,282
oh,043489,Akron City Schools,00018259,Jennings CLC,79.65%,,60.40%,Y,752,599
oh,043489,Akron City Schools,00001537,Barber Elementary School,79.15%,,60.40%,Y,283,224
oh,043489,Akron City Schools,00030536,Portage Path Elementary School,78.99%,,60.40%,Y,257,203
oh,043489,Akron City Schools,00029801,Pfeiffer Elementary School,78.97%,,60.40%,Y,233,184
oh,043489,Akron City Schools,00011700,Firestone Park Elementary School,77.14%,,60.40%,Y,315,243
oh,043489,Akron City Schools,00015347,Harris Elementary School,75.83%,,60.40%,Y,600,455
oh,043489,Akron City Schools,00011932,Forest Hill CLC,75.00%,,60.40%,Y,364,273
oh,043489,Akron City Schools,00016188,Sam Salem CLC,74.51%,,60.40%,Y,357,266
