state,District Code,District Name,School Code,School Name,individual_isp,proxy_isp,claiming_isp,participating_in_cep,total_enrolled,total_eligible
ok,01-C019,PEAVINE,105,PEAVINE PUBLIC SCHOOL,,72.22%,64.13%,Y,92,
ok,01-C022,MARYETTA,105-0,MARYETTA PUBLIC SCHOOL,,40.21%,51.49%,Y,672,
ok,01-C024,ROCKY MOUNTAIN,105-1,ROCKY MOUNTAIN PUBLIC SCHOOL,,54.82%,52.41%,Y,166,
ok,01-C028,ZION,105-2,ZION PUBLIC SCHOOL,,43.42%,43.75%,Y,256,
ok,01-C029,DAHLONEGAH,105-3,DAHLONEGAH PUBLIC SCHOOL,,100.00%,67.12%,Y,146,
ok,01-I004,WATTS,105-4,WATTS ES,,46.91%,,N,162,
ok,01-I004,WATTS,705,WATTS HS,,41.25%,,N,80,
ok,01-I011,WESTVILLE,105-5,WESTVILLE ES,,41.75%,,N,479,
ok,01-I011,WESTVILLE,610,WESTVILLE JHS,,33.33%,,N,147,
ok,01-I011,WESTVILLE,705-0,WESTVILLE HS,,30.29%,,N,340,
ok,01-I025,STILWELL,105-6,STILWELL ES,,47.00%,57.03%,Y,401,
ok,01-I025,STILWELL,505,STILWELL MS,,41.49%,57.03%,Y,247,
ok,01-I025,STILWELL,705-1,STILWELL HS,,35.46%,57.03%,Y,618,
ok,01-I030,CAVE SPRINGS,105-7,CAVE SPRINGS ES,,87.01%,60.34%,Y,74,
ok,01-I030,CAVE SPRINGS,705-2,CAVE SPRINGS HS,,68.37%,60.34%,Y,105,
ok,02-I001,BURLINGTON,105-8,BURLINGTON ES,,14.43%,,N,,
ok,02-I001,BURLINGTON,705-3,BURLINGTON HS,,34.29%,,N,35,
ok,02-I046,CHEROKEE,105-9,CHEROKEE ES,,24.65%,,N,,
ok,02-I046,CHEROKEE,510,CHEROKEE MS,,21.51%,,N,,
ok,02-I046,CHEROKEE,705-4,CHEROKEE HS,,21.90%,,N,,
ok,02-I093,TIMBERLAKE,105-10,TIMBERLAKE ES,,14.35%,,N,,
ok,02-I093,TIMBERLAKE,705-5,TIMBERLAKE HS,,9.84%,,N,,
ok,03-C021,HARMONY,105-11,HARMONY PUBLIC SCHOOL,,21.40%,,N,,
ok,03-C022,LANE,105-12,LANE PUBLIC SCHOOL,,32.05%,,N,259,
ok,03-I007,STRINGTOWN,105-13,STRINGTOWN ES,,50.96%,,N,157,
ok,03-I007,STRINGTOWN,705-6,STRINGTOWN HS,,43.48%,,N,69,
ok,03-I015,ATOKA,120,ATOKA ES,,47.24%,56.88%,Y,543,
ok,03-I015,ATOKA,705-7,ATOKA HS,,27.24%,56.88%,Y,300,
ok,03-I019,TUSHKA,105-14,TUSHKA ES,,31.37%,,N,322,
ok,03-I019,TUSHKA,705-8,TUSHKA HS,,22.15%,,N,,
ok,03-I026,CANEY,105-15,CANEY ES,,34.03%,56.88%,Y,198,
ok,03-I026,CANEY,705-9,CANEY HS,,16.92%,56.88%,Y,78,
ok,04-I022,BEAVER,105-16,BEAVER ES,,23.00%,,N,,
ok,04-I022,BEAVER,705-10,BEAVER HS,,12.35%,,N,,
ok,04-I075,BALKO,105-17,BALKO ES,,12.62%,,N,,
ok,04-I075,BALKO,705-11,BALKO HS,,0.00%,,N,,
ok,04-I123,FORGAN,105-18,FORGAN ES,,23.29%,,N,,
ok,04-I123,FORGAN,705-12,FORGAN HS,,18.60%,,N,,
ok,04-I128,TURPIN,105-19,TURPIN ES,,20.27%,,N,,
ok,04-I128,TURPIN,705-13,TURPIN HS,,12.90%,,N,,
ok,05-I002,MERRITT,105-20,MERRITT ES,,34.19%,,N,661,
ok,05-I002,MERRITT,705-14,MERRITT HS,,29.47%,,N,,
ok,05-I006,ELK CITY,115,ELK CITY IES,,39.12%,,N,409,
ok,05-I006,ELK CITY,125,ELK CITY ES,,42.45%,,N,728,
ok,05-I006,ELK CITY,610-0,ELK CITY MS,,38.30%,,N,342,
ok,05-I006,ELK CITY,705-15,ELK CITY HS,,27.13%,,N,,
ok,05-I031,SAYRE,105-21,SAYRE ES,,37.92%,,N,356,
ok,05-I031,SAYRE,505-0,SAYRE MS,,33.74%,,N,163,
ok,05-I031,SAYRE,705-16,SAYRE HS,,25.60%,,N,,
ok,05-I051,ERICK,105-22,ERICK ES,,56.05%,,N,157,
ok,05-I051,ERICK,715,ERICK HS,,19.61%,,N,,
ok,06-I009,OKEENE,105-23,OKEENE ES,,31.74%,,N,167,
ok,06-I009,OKEENE,615,OKEENE JR-SR HS - JR,,25.81%,,N,,
ok,06-I009,OKEENE,715-0,OKEENE JR-SR HS - SR,,18.68%,,N,,
ok,06-I042,WATONGA,105-24,WATONGA ES,,42.62%,,N,359,
ok,06-I042,WATONGA,505-1,WATONGA MS,,45.40%,,N,163,
ok,06-I042,WATONGA,705-17,WATONGA HS,,38.69%,,N,199,
ok,06-I080,GEARY,105-25,GEARY ES,,39.60%,54.62%,Y,179,
ok,06-I080,GEARY,500,GEARY MS,,46.97%,54.62%,Y,76,
ok,06-I080,GEARY,715-1,GEARY HS,,47.44%,54.62%,Y,91,
ok,06-I105,CANTON,105-26,CANTON ES,,44.44%,,N,243,
ok,06-I105,CANTON,705-18,CANTON HS,,34.07%,,N,91,
ok,07-I001,SILO,110,SILO ES,,26.34%,,N,,
ok,07-I001,SILO,115-0,SILO EARLY CHILDHOOD CENTER,,35.21%,,N,338,
ok,07-I001,SILO,515,SILO MS,,25.56%,,N,,
ok,07-I001,SILO,705-19,SILO HS,,18.67%,,N,,
ok,07-I002,ROCK CREEK,105-27,ROCK CREEK ES,,32.17%,,N,373,
ok,07-I002,ROCK CREEK,705-20,ROCK CREEK HS,,25.00%,,N,,
ok,07-I003,ACHILLE,105-28,ACHILLE ES,,25.32%,,N,,
ok,07-I003,ACHILLE,705-21,ACHILLE HS,,20.55%,,N,,
ok,07-I004,COLBERT,105-29,WARD ES EAST,,24.22%,,N,,
ok,07-I004,COLBERT,110-0,WARD ES WEST,,26.27%,,N,,
ok,07-I004,COLBERT,505-2,COLBERT MS,,26.85%,,N,,
ok,07-I004,COLBERT,715-2,COLBERT HS,,16.76%,,N,,
ok,07-I005,CADDO,105-30,CADDO ES,,27.59%,,N,,
ok,07-I005,CADDO,715-3,CADDO HS,,9.92%,,N,,
ok,07-I040,BENNINGTON,105-31,BENNINGTON ES,,36.24%,38.54%,Y,222,
ok,07-I040,BENNINGTON,705-22,BENNINGTON HS,,36.08%,38.54%,Y,92,
ok,07-I048,CALERA,105-32,CALERA ES,,29.31%,,N,,
ok,07-I048,CALERA,705-23,CALERA HS,,21.62%,,N,,
ok,07-I072,DURANT,105-33,WASHINGTON IRVING ES,,32.56%,,N,562,
ok,07-I072,DURANT,110-1,ROBERT E LEE EARLY CHILDHOOD,,28.23%,,N,,
ok,07-I072,DURANT,115-1,NORTHWEST HEIGHTS ES,,24.18%,,N,,
ok,07-I072,DURANT,125-0,DURANT IES,,23.63%,,N,,
ok,07-I072,DURANT,500-0,DURANT MS,,25.77%,,N,,
ok,07-I072,DURANT,705-24,DURANT HS,,17.07%,,N,,
ok,08-I011,HYDRO-EAKLY,105-34,HYDRO-EAKLY ES,,20.00%,,N,,
ok,08-I011,HYDRO-EAKLY,505-3,HYDRO-EAKLY MS,,20.83%,,N,,
ok,08-I011,HYDRO-EAKLY,715-4,HYDRO-EAKLY HS,,18.18%,,N,,
ok,08-I012,LOOKEBA SICKLES,105-35,LOOKEBA-SICKLES ES,,20.74%,,N,,
ok,08-I012,LOOKEBA SICKLES,705-25,LOOKEBA-SICKLES HS,,19.35%,,N,,
