state,District Code,District Name,School Code,School Name,individual_isp,proxy_isp,claiming_isp,participating_in_cep,total_enrolled,total_eligible
or,0201001,Alsea SD 7J,15014,Alsea Charter School,49.71%,,49.71%,Y,175,87
or,2301002,Annex SD 29,10162,Annex Charter School,41.49%,,41.49%,Y,94,39
or,0102001,Baker SD 5J,16662,Baker Early Learning Center,51.69%,,42.28%,Y,89,46
or,0102001,Baker SD 5J,10001,Baker High School,35.00%,,42.28%,Y,440,154
or,0102001,Baker SD 5J,10016,Baker Middle School,31.58%,,42.28%,Y,266,84
or,0102001,Baker SD 5J,10017,Brooklyn Primary School,54.83%,,42.28%,Y,259,142
or,0102001,Baker SD 5J,14855,Eagle Cap Innovative Jr/Sr High School,64.00%,,42.28%,Y,100,64
or,0102001,Baker SD 5J,10019,Haines Elementary School,24.41%,,42.28%,Y,127,31
or,0102001,Baker SD 5J,10022,South Baker Intermediate School,49.48%,,42.28%,Y,287,142
or,0602001,Bandon SD 54,10354,Harbor Lights Middle School,41.59%,,41.39%,Y,226,94
or,0602001,Bandon SD 54,10355,Ocean Crest Elementary School,41.20%,,41.39%,Y,250,103
or,3402002,Beaverton SD 48J,11202,Aloha-Huber Park School,44.67%,,40.07%,Y,929,415
or,3402002,Beaverton SD 48J,11203,Barnes Elementary School,40.98%,,40.07%,Y,615,252
or,3402002,Beaverton SD 48J,11204,Beaver Acres Elementary School,35.57%,,40.07%,Y,714,254
or,3402002,Beaverton SD 48J,11207,Chehalem Elementary School,39.43%,,40.07%,Y,487,192
or,3402002,Beaverton SD 48J,11212,Fir Grove Elementary School,32.73%,,40.07%,Y,388,127
or,3402002,Beaverton SD 48J,11213,Greenway Elementary School,44.66%,,40.07%,Y,356,159
or,3402002,Beaverton SD 48J,11214,Hazeldale Elementary School,32.98%,,40.07%,Y,473,156
or,3402002,Beaverton SD 48J,11216,Kinnaman Elementary School,39.04%,,40.07%,Y,625,244
or,3402002,Beaverton SD 48J,11217,McKay Elementary School,31.53%,,40.07%,Y,333,105
or,3402002,Beaverton SD 48J,11218,McKinley Elementary School,42.66%,,40.07%,Y,661,282
or,3402002,Beaverton SD 48J,11192,Merlo Station High School,43.08%,,40.07%,Y,130,56
or,3402002,Beaverton SD 48J,11228,Vose Elementary School,38.86%,,40.07%,Y,736,286
or,3402002,Beaverton SD 48J,11230,William Walker Elementary School,50.00%,,40.07%,Y,554,277
or,0902001,Bend-LaPine Administrative SD 1,10036,Bear Creek Elementary School,37.25%,,40.65%,Y,553,206
or,0902001,Bend-LaPine Administrative SD 1,13454,Ensworth Elementary School,49.25%,,40.65%,Y,199,98
or,0902001,Bend-LaPine Administrative SD 1,10042,LaPine Elementary School,45.50%,,40.65%,Y,378,172
or,0902001,Bend-LaPine Administrative SD 1,10033,LaPine Middle School,44.19%,,40.65%,Y,344,152
or,0902001,Bend-LaPine Administrative SD 1,10028,LaPine Senior High School,38.74%,,40.65%,Y,462,179
or,0902001,Bend-LaPine Administrative SD 1,10029,Marshall High School,48.51%,,40.65%,Y,101,49
or,0902001,Bend-LaPine Administrative SD 1,10034,Pilot Butte Middle School,38.24%,,40.65%,Y,659,252
or,0902001,Bend-LaPine Administrative SD 1,14788,Rosland Elementary,57.27%,,40.65%,Y,220,126
or,0902001,Bend-LaPine Administrative SD 1,12278,STRIVE,51.61%,,40.65%,Y,31,16
or,0902001,Bend-LaPine Administrative SD 1,10046,Three Rivers Elementary School,29.14%,,40.65%,Y,453,132
or,2002002,Bethel SD 52,10581,Cascade Middle School,48.10%,,40.35%,Y,368,177
or,2002002,Bethel SD 52,10583,Clear Lake Elementary School,47.08%,,40.35%,Y,257,121
or,2002002,Bethel SD 52,10584,Danebo Elementary School,47.77%,,40.35%,Y,291,139
