state,District Code,District Name,School Code,School Name,individual_isp,proxy_isp,claiming_isp,participating_in_cep,total_enrolled,total_eligible
pa,119350303,ABINGTON HEIGHTS SCHOOL DISTRICT,000005091,ABINGTON HEIGHTS HS,21.29%,,,N,,
pa,119350303,ABINGTON HEIGHTS SCHOOL DISTRICT,000006839,ABINGTON HEIGHTS MS,19.82%,,,N,,
pa,119350303,ABINGTON HEIGHTS SCHOOL DISTRICT,000007570,CLARKS SUMMIT ELEMENTARY,21.05%,,,N,,
pa,119350303,ABINGTON HEIGHTS SCHOOL DISTRICT,000002407,NEWTON-RANSOM SCH,27.52%,,,N,,
pa,119350303,ABINGTON HEIGHTS SCHOOL DISTRICT,000006398,SOUTH ABINGTON SCH,18.12%,,,N,,
pa,119350303,ABINGTON HEIGHTS SCHOOL DISTRICT,000002402,WAVERLY SCH,12.17%,,,N,,
pa,123460302,ABINGTON SCHOOL DISTRICT,000003242,ABINGTON JHS,27.78%,,,N,,
pa,123460302,ABINGTON SCHOOL DISTRICT,000003241,ABINGTON SHS,27.71%,,,N,,
pa,123460302,ABINGTON SCHOOL DISTRICT,000007707,COPPER BEECH ELEMENTARY SCHOOL,26.49%,,,N,,
pa,123460302,ABINGTON SCHOOL DISTRICT,000003229,HIGHLAND SCH,27.20%,,,N,,
pa,123460302,ABINGTON SCHOOL DISTRICT,000005075,MCKINLEY SCH,25.60%,,,N,,
pa,123460302,ABINGTON SCHOOL DISTRICT,000003232,OVERLOOK SCH,33.21%,,,N,,
pa,123460302,ABINGTON SCHOOL DISTRICT,000003234,ROSLYN SCH,27.67%,,,N,,
pa,123460302,ABINGTON SCHOOL DISTRICT,000003226,RYDAL EAST SCH,19.77%,,,N,,
pa,123460302,ABINGTON SCHOOL DISTRICT,000006464,RYDAL WEST SCH,21.38%,,,N,,
pa,123460302,ABINGTON SCHOOL DISTRICT,000004910,WILLOW HILL SCH,40.08%,,,N,,
pa,300650550,ADELPHOI VILLAGE,000004188,ADELPHOI EDUCATION AT BEAVER,43.75%,,,N,16,7
pa,300650550,ADELPHOI VILLAGE,000009752,ADELPHOI EDUCATION AT BUTLER,28.95%,,,N,,
pa,300650550,ADELPHOI VILLAGE,000000413,ADELPHOI EDUCATION AT HARTFORD HEIGHTS,62.50%,,,N,88,55
pa,300650550,ADELPHOI VILLAGE,000000414,ADELPHOI EDUCATION AT INDIANA,33.93%,,,N,,
pa,300650550,ADELPHOI VILLAGE,000006442,ADELPHOI EDUCATION AT Latrobe,76.92%,,,N,39,30
pa,300650550,ADELPHOI VILLAGE,000000600,ADELPHOI EDUCATION AT WILLIAMS,25.00%,,,N,,
pa,300650550,ADELPHOI VILLAGE,000004765,BENET,28.57%,,,N,,
pa,300650550,ADELPHOI VILLAGE,000000410,COLONY,28.00%,,,N,,
pa,300650550,ADELPHOI VILLAGE,000007550,Dr. Robert Ketterer Charter School,71.43%,,,N,112,80
pa,300650550,ADELPHOI VILLAGE,000000100,GREYSTONE,28.21%,,,N,,
pa,300650550,ADELPHOI VILLAGE,000001221,LA-SA-QUIK Residential Treatment,26.32%,,,N,,
pa,300650550,ADELPHOI VILLAGE,000005542,LOYALHANNA HOUSE,15.00%,,,N,,
pa,300650550,ADELPHOI VILLAGE,000000430,MARGARET HOUSE,24.00%,,,N,,
pa,300650550,ADELPHOI VILLAGE,000000008,MARKER,23.33%,,,N,,
pa,300650550,ADELPHOI VILLAGE,000005640,MIDDLE CREEK I,32.26%,,,N,,
pa,300650550,ADELPHOI VILLAGE,000005660,MIDDLE CREEK II,44.83%,,,N,29,13
pa,300650550,ADELPHOI VILLAGE,000000480,MONASTERY RUN,50.00%,,,N,,
pa,300650550,ADELPHOI VILLAGE,000000450,RAPHAEL,23.08%,,,N,,
pa,300650550,ADELPHOI VILLAGE,000000490,SUSAN'S,29.63%,,,N,,
pa,300650550,ADELPHOI VILLAGE,000000460,SWEENEY,17.86%,,,N,,
pa,300650550,ADELPHOI VILLAGE,000000470,VINCENT,5.88%,,,N,,
pa,101260303,ALBERT GALLATIN AREA SCHOOL DISTRICT,000008364,A L WILSON EL SCH,57.88%,,58.55%,Y,351,203
pa,101260303,ALBERT GALLATIN AREA SCHOOL DISTRICT,000009900,ADELPHOI VILLAGE,75.31%,,58.55%,Y,160,120
pa,101260303,ALBERT GALLATIN AREA SCHOOL DISTRICT,000006001,ALBERT GALLATIN AREA SHS,52.02%,,58.55%,Y,965,502
pa,101260303,ALBERT GALLATIN AREA SCHOOL DISTRICT,000007607,ALBERT GALLATIN NORTH MIDDLE SCHOOL,55.83%,,58.55%,Y,358,200
pa,101260303,ALBERT GALLATIN AREA SCHOOL DISTRICT,000007608,ALBERT GALLATIN SOUTH MIDDLE SCHOOL,60.56%,,58.55%,Y,361,219
pa,101260303,ALBERT GALLATIN AREA SCHOOL DISTRICT,000004922,FRIENDSHIP HILL EL SCH,67.84%,,58.55%,Y,171,116
pa,101260303,ALBERT GALLATIN AREA SCHOOL DISTRICT,000002129,GEORGE J PLAVA EL SCH,63.17%,,58.55%,Y,334,211
pa,101260303,ALBERT GALLATIN AREA SCHOOL DISTRICT,000006002,MASONTOWN EL SCH,72.37%,,58.55%,Y,260,188
pa,101260303,ALBERT GALLATIN AREA SCHOOL DISTRICT,000004921,SMITHFIELD EL SCH,51.38%,,58.55%,Y,251,129
pa,127040503,ALIQUIPPA SCHOOL DISTRICT,000008085,ALIQUIPPA EL SCH,85.21%,,81.78%,Y,554,472
pa,127040503,ALIQUIPPA SCHOOL DISTRICT,000008086,ALIQUIPPA JSHS,,,81.78%,Y,467,
pa,127040503,ALIQUIPPA SCHOOL DISTRICT,000008086-0,ALIQUIPPA SHS,81.25%,,,N,480,390
pa,208117805,ALL SAINTS CATHOLIC SCHOOL,208117805,ALL SAINTS CATHOLIC SCHOOL,0.00%,,,N,,
pa,103000000,ALLEGHENY IU 3,000009230,COMMUNITY SCHOOL EAST,78.13%,,64.08%,Y,45,35
pa,103000000,ALLEGHENY IU 3,000001825,COMMUNITY SCHOOL WEST,54.05%,,64.08%,Y,39,21
pa,103000000,ALLEGHENY IU 3,000006090,MON VALLEY SCH,65.09%,,64.08%,Y,214,139
pa,103000000,ALLEGHENY IU 3,000006092,PATHFINDER SCH,51.02%,,64.08%,Y,74,38
pa,103000000,ALLEGHENY IU 3,000006653,SUNRISE SCH,58.46%,,64.08%,Y,118,69
pa,103020603,ALLEGHENY VALLEY SCHOOL DISTRICT,000005296,ACMETONIA EL SCH,45.91%,,44.48%,Y,501,230
pa,103020603,ALLEGHENY VALLEY SCHOOL DISTRICT,000000029,SPRINGDALE JSHS,39.90%,,44.48%,Y,396,158
pa,106160303,ALLEGHENY-CLARION VALLEY SCHOOL DISTRICT,000007467,ALLEGHENY-CLARION VALLEY ELEM,41.49%,,,N,,
pa,106160303,ALLEGHENY-CLARION VALLEY SCHOOL DISTRICT,000004664,ALLEGHENY-CLARION VALLEY HS,37.26%,,,N,,
pa,121390302,ALLENTOWN CITY SCHOOL DISTRICT,000000088,ALT ED,89.03%,,,N,155,138
pa,121390302,ALLENTOWN CITY SCHOOL DISTRICT,000000006,Brigadier General Anna Mae Hays Elementary,88.96%,,81.34%,Y,781,695
pa,121390302,ALLENTOWN CITY SCHOOL DISTRICT,000000063,Building 21 Allentown,78.69%,,81.34%,Y,387,305
pa,121390302,ALLENTOWN CITY SCHOOL DISTRICT,000000050,CENTRAL EL SCH,89.47%,,81.34%,Y,696,623
pa,121390302,ALLENTOWN CITY SCHOOL DISTRICT,000000054,FRANCIS D RAUB MS,83.69%,,81.34%,Y,941,788
pa,121390302,ALLENTOWN CITY SCHOOL DISTRICT,000000052,HARRISON-MORTON MS,81.14%,,81.34%,Y,780,633
pa,121390302,ALLENTOWN CITY SCHOOL DISTRICT,000000004,HIRAM W DODD EL SCH,78.72%,,81.34%,Y,622,490
pa,121390302,ALLENTOWN CITY SCHOOL DISTRICT,000000089,IYP,100.00%,,,N,13,13
pa,121390302,ALLENTOWN CITY SCHOOL DISTRICT,000000012,JACKSON EARLY CHILDHOOD CENTER,86.04%,,81.34%,Y,259,223
pa,121390302,ALLENTOWN CITY SCHOOL DISTRICT,000000016,JEFFERSON EL SCH,82.96%,,81.34%,Y,528,438
pa,121390302,ALLENTOWN CITY SCHOOL DISTRICT,000000018,Lehigh Parkway El Sch,65.71%,,81.34%,Y,271,178
pa,121390302,ALLENTOWN CITY SCHOOL DISTRICT,000000065,LOUIS E DIERUFF HS,75.29%,,81.34%,Y,1838,1384
pa,121390302,ALLENTOWN CITY SCHOOL DISTRICT,000000031,LUIS RAMOS ELEMENTARY SCHOOL,87.69%,,81.34%,Y,585,513
pa,121390302,ALLENTOWN CITY SCHOOL DISTRICT,000000028,MOSSER EL SCH,85.92%,,81.34%,Y,475,408
pa,121390302,ALLENTOWN CITY SCHOOL DISTRICT,000000030,MUHLENBERG EL SCH,77.40%,,81.34%,Y,490,379
pa,121390302,ALLENTOWN CITY SCHOOL DISTRICT,000000032,RITTER EL SCH,75.98%,,81.34%,Y,409,311
pa,121390302,ALLENTOWN CITY SCHOOL DISTRICT,000000035,ROOSEVELT EL SCH,81.45%,,81.34%,Y,543,442
pa,121390302,ALLENTOWN CITY SCHOOL DISTRICT,000000038,SHERIDAN EL SCH,89.93%,,81.34%,Y,573,515
pa,121390302,ALLENTOWN CITY SCHOOL DISTRICT,000000056,SOUTH MOUNTAIN MS,72.86%,,81.34%,Y,1098,800
pa,121390302,ALLENTOWN CITY SCHOOL DISTRICT,000000058,TREXLER MS,80.63%,,81.34%,Y,819,660
pa,121390302,ALLENTOWN CITY SCHOOL DISTRICT,000000043,UNION TERRACE EL SCH,76.52%,,81.34%,Y,629,481
pa,121390302,ALLENTOWN CITY SCHOOL DISTRICT,000000046,WASHINGTON EL SCH,85.21%,,81.34%,Y,328,279
pa,121390302,ALLENTOWN CITY SCHOOL DISTRICT,000000061,WILLIAM ALLEN SHS,74.44%,,81.34%,Y,2695,2006
pa,121390302,ALLENTOWN CITY SCHOOL DISTRICT,5300236929,Allentown Learning Achievement School,,,81.34%,Y,22,
pa,121390302,ALLENTOWN CITY SCHOOL DISTRICT,5000008275,Newcomer (K-6),,,81.34%,Y,164,
pa,121390302,ALLENTOWN CITY SCHOOL DISTRICT,5000008276,Newcomer Academy,,,81.34%,Y,198,
pa,121390302,ALLENTOWN CITY SCHOOL DISTRICT,5000008277,William Penn Alternative School,,,81.34%,Y,33,
pa,108070502,ALTOONA AREA SCHOOL DISTRICT,000000913,ALTOONA AREA HS,55.45%,,,N,2222,1232
pa,108070502,ALTOONA AREA SCHOOL DISTRICT,000007986,ALTOONA AREA JR. HS,63.98%,,,N,1727,1105
pa,108070502,ALTOONA AREA SCHOOL DISTRICT,000000891,BAKER EL SCH,48.31%,,,N,296,143
pa,108070502,ALTOONA AREA SCHOOL DISTRICT,000000908,IRVING EL SCH,39.79%,,,N,,
pa,108070502,ALTOONA AREA SCHOOL DISTRICT,000000895,JUNIATA EL SCH,79.65%,,,N,457,364
pa,108070502,ALTOONA AREA SCHOOL DISTRICT,000000930,JUNIATA GAP EL SCH,61.57%,,,N,575,354
pa,108070502,ALTOONA AREA SCHOOL DISTRICT,000000933,LOGAN EL SCH,63.78%,,,N,450,287
pa,108070502,ALTOONA AREA SCHOOL DISTRICT,000007199,MOWRIE A EBNER EL SCH,63.07%,,,N,417,263
pa,108070502,ALTOONA AREA SCHOOL DISTRICT,000008280,PENN-LINCOLN EL SCH,82.63%,,,N,357,295
pa,108070502,ALTOONA AREA SCHOOL DISTRICT,000000902,PLEASANT VALLEY EL SCH,70.21%,,,N,480,337
pa,108070502,ALTOONA AREA SCHOOL DISTRICT,000006708,WASHINGTON-JEFFERSON EL SCH,57.89%,,,N,19,11
pa,108070502,ALTOONA AREA SCHOOL DISTRICT,000007425,WILLIAM KIMMEL ALTERNATIVE SCHOOL,100.00%,,,N,,
pa,127040703,AMBRIDGE AREA SCHOOL DISTRICT,000000080,AMBRIDGE AREA HS,47.16%,,51.39%,Y,556,262
pa,127040703,AMBRIDGE AREA SCHOOL DISTRICT,000008888,AMBRIDGE AREA MIDDLE SCHOOL,48.44%,,51.39%,Y,526,255
pa,127040703,AMBRIDGE AREA SCHOOL DISTRICT,000000004-0,ECONOMY EL SCH,27.94%,,51.39%,Y,425,119
pa,127040703,AMBRIDGE AREA SCHOOL DISTRICT,000000002,HIGHLAND EL SCH,74.84%,,51.39%,Y,328,245
pa,127040703,AMBRIDGE AREA SCHOOL DISTRICT,000000005,STATE STREET EL SCH,72.79%,,51.39%,Y,288,210
pa,113380303,ANNVILLE-CLEONA SCHOOL DISTRICT,000002725,ANNVILLE CLEONA HS,32.76%,,,N,,
pa,113380303,ANNVILLE-CLEONA SCHOOL DISTRICT,000008178,ANNVILLE CLEONA MS,34.21%,,,N,,
pa,113380303,ANNVILLE-CLEONA SCHOOL DISTRICT,000002724,ANNVILLE EL SCH,35.61%,,,N,,
