state,District Code,District Name,School Code,School Name,individual_isp,proxy_isp,claiming_isp,participating_in_cep,total_enrolled,total_eligible
sc,0160,Abbeville County,7,John C Calhoun Elementary,52.56%,,55.20%,Y,156,82
sc,0160,Abbeville County,20,Long Cane Primary,62.87%,,55.20%,Y,369,232
sc,0160,Abbeville County,17,Westwood Elementary,56.69%,,55.20%,Y,314,178
sc,0160,Abbeville County,16,Wright Middle,47.45%,,55.20%,Y,373,177
sc,0201,Aiken County,63,A L Corbett Middle,55.24%,,50.60%,Y,210,116
sc,0201,Aiken County,16-0,Aiken Elementary,46.93%,,50.60%,Y,537,252
sc,0201,Aiken County,67,Aiken Intermediate,49.00%,,52.53%,Y,498,244
sc,0201,Aiken County,24,Clearwater Elementary,57.78%,,50.60%,Y,360,208
sc,0201,Aiken County,51,Cyril B Busbee Elementary,60.25%,,50.60%,Y,478,288
sc,0201,Aiken County,27,East Aiken Elementary,50.46%,,50.60%,Y,539,272
sc,0201,Aiken County,29,Gloverville Elementary,44.34%,,50.60%,Y,318,141
sc,0201,Aiken County,66,Graniteville Elementary,49.32%,,49.32%,Y,365,180
sc,0201,Aiken County,30,Greendale Elementary,56.47%,,50.60%,Y,363,205
sc,0201,Aiken County,22,J D Lever Elementary,53.21%,,50.60%,Y,483,257
sc,0201,Aiken County,33,Jackson Middle,49.73%,,52.53%,Y,372,185
sc,0201,Aiken County,5,Jefferson Elementary,42.18%,,50.60%,Y,550,232
sc,0201,Aiken County,8,Langley-Bath-Clearwater Mid,43.67%,,43.67%,Y,648,283
sc,0201,Aiken County,58,Mossy Creek Elementary,37.88%,,50.60%,Y,623,236
sc,0201,Aiken County,38,North Aiken Elementary,71.77%,,50.60%,Y,457,328
sc,0201,Aiken County,54,Oakwood-Windsor Elementary,50.99%,,50.60%,Y,404,206
sc,0201,Aiken County,55,Redcliffe Elementary,47.18%,,50.60%,Y,655,309
sc,0201,Aiken County,59,Ridge Spring - Monetta Elementary,61.43%,,50.60%,Y,350,215
sc,0201,Aiken County,60,Ridge Spring - Monetta High,41.20%,,50.60%,Y,267,110
sc,0201,Aiken County,62,Ridge Spring-Monetta Middle,54.55%,,50.60%,Y,198,108
sc,0201,Aiken County,28,Schofield Middle,58.33%,,52.53%,Y,432,252
sc,0201,Aiken County,15,Wagener - Salley High,46.40%,,50.60%,Y,250,116
sc,0201,Aiken County,52,Warrenville Elementary,40.97%,,50.60%,Y,371,152
sc,0301,Allendale County,4,Allendale-Fairfax Elementary,67.86%,,66.63%,Y,476,323
sc,0301,Allendale County,1,Allendale-Fairfax High,63.21%,,66.63%,Y,280,177
sc,0301,Allendale County,8-0,Allendale-Fairfax Middle,68.37%,,66.63%,Y,215,147
sc,0405,Anderson 05,60-0,Calhoun Academy of the Arts,51.97%,,61.68%,Y,483,251
sc,0405,Anderson 05,47,Homeland Park Elementary,67.30%,,61.68%,Y,419,282
sc,0405,Anderson 05,50,Nevitt Forest Elementary,73.79%,,61.68%,Y,496,366
sc,0405,Anderson 05,51-0,New Prospect Elementary,60.99%,,61.68%,Y,446,272
sc,0405,Anderson 05,63-0,Robert Anderson Middle,57.49%,,61.68%,Y,1242,714
sc,0405,Anderson 05,55-0,Varennes Elementary,66.95%,,61.68%,Y,357,239
sc,0405,Anderson 05,400,West Market F E C,57.65%,,61.68%,Y,196,113
sc,0405,Anderson 05,59-0,Whitehall Elementary,59.16%,,61.68%,Y,524,310
sc,0503,Bamberg County School District,1-0,Bamberg-Ehrhardt High,37.46%,,60.53%,Y,331,124
sc,0503,Bamberg County School District,2,Bamberg-Ehrhardt Middle,46.74%,,60.53%,Y,184,86
sc,0503,Bamberg County School District,7-0,Denmark Olar High,70.51%,,60.53%,Y,641,452
sc,0503,Bamberg County School District,10,Denmark-Olar Elementary,58.25%,,60.53%,Y,194,113
sc,0503,Bamberg County School District,8-1,Denmark-Olar Middle,62.69%,,60.53%,Y,134,84
sc,0503,Bamberg County School District,6,Richard Carroll Elementary,74.22%,,60.53%,Y,287,213
sc,0645,Barnwell 45,12,Barnwell Elementary,56.58%,,57.58%,Y,456,258
sc,0645,Barnwell 45,9,Barnwell High,51.37%,,57.58%,Y,510,262
sc,0645,Barnwell 45,11,Barnwell Primary,56.89%,,57.58%,Y,668,380
sc,0645,Barnwell 45,10-0,Guinyard Butler Middle,56.89%,,57.58%,Y,334,190
sc,0648,Barnwell County Consolidated School District,1-1,Blackville-Hilda High,56.79%,,57.84%,Y,162,92
sc,0648,Barnwell County Consolidated School District,7-1,Kelly Edwards Elementary,62.42%,,57.84%,Y,330,206
sc,0648,Barnwell County Consolidated School District,3,Macedonia Elementary-Middle,68.12%,,57.84%,Y,367,250
sc,0648,Barnwell County Consolidated School District,6-0,Williston-Elko High,41.88%,,57.84%,Y,191,80
sc,0648,Barnwell County Consolidated School District,8-2,Williston-Elko Middle,46.81%,,57.84%,Y,188,88
sc,0701,Beaufort County,8-3,Beaufort Elementary,57.10%,,59.63%,Y,345,197
sc,0701,Beaufort County,10-1,Broad River Elementary,38.93%,,54.56%,Y,447,174
sc,0701,Beaufort County,14,Lady's Island Elementary,45.00%,,59.63%,Y,220,99
