state,District Code,District Name,School Code,School Name,individual_isp,proxy_isp,claiming_isp,participating_in_cep,total_enrolled,total_eligible
sd,0600100,ABERDEEN SCHOOL DISTRICT 06-1,0001,CENTRAL HIGH SCHOOL,17.27%,,,N,,
sd,0600100,ABERDEEN SCHOOL DISTRICT 06-1,0002,HOLGATE MIDDLE SCHOOL,20.24%,,,N,,
sd,0600100,ABERDEEN SCHOOL DISTRICT 06-1,0003,SIMMONS MIDDLE SCHOOL,23.37%,,,N,,
sd,0600100,ABERDEEN SCHOOL DISTRICT 06-1,0005,C C LEE ELEMENTARY,11.99%,,,N,,
sd,0600100,ABERDEEN SCHOOL DISTRICT 06-1,0007,MIKE MILLER ELEMENTARY (KG),20.32%,,,N,,
sd,0600100,ABERDEEN SCHOOL DISTRICT 06-1,0008,LINCOLN ELEMENTARY,26.10%,,,N,,
sd,0600100,ABERDEEN SCHOOL DISTRICT 06-1,0009,MAY OVERBY ELEMENTARY,29.89%,,,N,,
sd,0600100,ABERDEEN SCHOOL DISTRICT 06-1,0010,SIMMONS ELEMENTARY,25.77%,,,N,,
sd,0600100,ABERDEEN SCHOOL DISTRICT 06-1,0011,O M TIFFANY ELEMENTARY,34.18%,,,N,316,108
sd,5800300,AGAR-BLUNT-ONIDA SCHOOL DISTRICT 58-3,0002-0,SULLY BUTTES HIGH SCHOOL (0912),6.35%,,,N,,
sd,5800300,AGAR-BLUNT-ONIDA SCHOOL DISTRICT 58-3,0003-0,SULLY BUTTES JUNIOR HIGH (0608),15.22%,,,N,,
sd,5800300,AGAR-BLUNT-ONIDA SCHOOL DISTRICT 58-3,0005-0,BLUNT ELEMENTARY (PK04),42.31%,,,N,26,11
sd,5800300,AGAR-BLUNT-ONIDA SCHOOL DISTRICT 58-3,0006,ONIDA ELEMENTARY (KG05),9.64%,,,N,,
sd,0330100,AMERICAN HORSE SCHOOL ,0001-0,AMERICAN HORSE ELEMENTARY,65.63%,,63.73%,Y,193,127
sd,1100100,ANDES CENTRAL SCHOOL DISTRICT 11-1,0001-1,ANDES CENTRAL HIGH SCHOOL (0912),44.44%,,52.10%,Y,72,32
sd,1100100,ANDES CENTRAL SCHOOL DISTRICT 11-1,0002-1,ANDES CENTRAL ELEMENTARY (PK05),55.37%,,52.10%,Y,177,98
sd,1100100,ANDES CENTRAL SCHOOL DISTRICT 11-1,0003-1,ANDES CENTRAL MIDDLE SCHOOL (0608),51.67%,,52.10%,Y,60,31
sd,0400100,AVON SCHOOL DISTRICT 04-1,0001-2,AVON HIGH SCHOOL (0912),16.87%,,,N,,
sd,0400100,AVON SCHOOL DISTRICT 04-1,0002-2,AVON ELEMENTARY (KG04),9.32%,,,N,,
sd,0400100,AVON SCHOOL DISTRICT 04-1,0005-1,AVON MIDDLE SCHOOL (0508),32.26%,,,N,31,10
sd,0900100,BELLE FOURCHE SCHOOL DISTRICT 09-1,0001-3,BELLE FOURCHE HIGH SCHOOL,12.87%,,,N,,
sd,0900100,BELLE FOURCHE SCHOOL DISTRICT 09-1,0003-2,SOUTH PARK ELEMENTARY,21.52%,,,N,,
sd,0900100,BELLE FOURCHE SCHOOL DISTRICT 09-1,0004,NORTH PARK ELEMENTARY,27.91%,,,N,,
sd,0900100,BELLE FOURCHE SCHOOL DISTRICT 09-1,0007-0,BELLE FOURCHE MIDDLE SCHOOL,17.09%,,,N,,
sd,0900100,BELLE FOURCHE SCHOOL DISTRICT 09-1,0009-0,ALTERNATIVE SCHOOL,32.65%,,,N,49,16
sd,0300100,BENNETT COUNTY SCHOOL DISTRICT 03-1,0001-4,BENNETT COUNTY HIGH SCHOOL (0912),36.03%,,51.59%,Y,133,48
sd,0300100,BENNETT COUNTY SCHOOL DISTRICT 03-1,0003-3,MARTIN ELEMENTARY (PK05),47.35%,,51.59%,Y,109,52
sd,0300100,BENNETT COUNTY SCHOOL DISTRICT 03-1,0006-0,BENNETT COUNTY MIDDLE SCHOOL (0608),44.95%,,51.59%,Y,260,117
sd,0700100,CHAMBERLAIN SCHOOL DISTRICT 07-1,0001-5,CHAMBERLAIN HIGH SCHOOL (0912),18.75%,,,N,,
sd,0700100,CHAMBERLAIN SCHOOL DISTRICT 07-1,0002-3,CHAMBERLAIN JUNIOR HIGH (0608),23.96%,,,N,,
sd,0700100,CHAMBERLAIN SCHOOL DISTRICT 07-1,0003-4,CHAMBERLAIN ELEMENTARY (KG05),33.17%,,,N,407,135
sd,2030200,CHEYENNE RIVER BIE SCHOOLS ,0001-6,CHEYENNE RIVER BIE HIGH SCHOOL,49.00%,,57.27%,Y,249,122
sd,2030200,CHEYENNE RIVER BIE SCHOOLS ,0002-4,CHEYENNE RIVER BIE PRIMARY,75.10%,,57.27%,Y,256,192
sd,2030200,CHEYENNE RIVER BIE SCHOOLS ,0003-5,EAGLE BUTTE UPPER ELEMENTARY,61.81%,,57.27%,Y,309,191
sd,2030200,CHEYENNE RIVER BIE SCHOOLS ,0006-1,CHEYENNE RIVER BIE JUNIOR HIGH,56.21%,,57.27%,Y,153,86
sd,2030200,CHEYENNE RIVER BIE SCHOOLS ,0007-1,E.A.G.L.E CENTER HIGH SCHOOL,42.86%,,57.27%,Y,47,20
sd,2030200,CHEYENNE RIVER BIE SCHOOLS ,0009-1,E.A.G.L.E CENTER MIDDLE SCHOOL,100.00%,,57.27%,Y,4,4
sd,5900300,COLOME CONSOLIDATED 59-3,0001-7,COLOME HIGH SCHOOL (0912),22.95%,,,N,,
sd,5900300,COLOME CONSOLIDATED 59-3,0002-5,COLOME ELEMENTARY (PK05),51.95%,,,N,77,40
sd,5900300,COLOME CONSOLIDATED 59-3,0003-6,COLOME MIDDLE SCHOOL (0608),36.84%,,,N,38,14
sd,5900300,COLOME CONSOLIDATED 59-3,0005-2,WOOD ELEMENTARY,100.00%,,,N,5,5
sd,3530100,CRAZY HORSE DAY SCHOOL,0001-8,CRAZY HORSE HIGH SCHOOL (0912),50.00%,,68.02%,Y,63,32
sd,3530100,CRAZY HORSE DAY SCHOOL,0002-6,CRAZY HORSE ELEMENTARY (KG06),60.58%,,68.02%,Y,131,79
sd,3530100,CRAZY HORSE DAY SCHOOL,0004-0,CRAZY HORSE MIDDLE SCHOOL (0708),51.72%,,68.02%,Y,28,14
sd,0870200,CROW CREEK SIOUX TRIBE,0009-2,CCST HIGH SCHOOL,45.71%,,62.16%,Y,120,55
sd,0870200,CROW CREEK SIOUX TRIBE,0010-0,CCST JUNIOR HIGH,52.00%,,62.16%,Y,98,51
sd,0870200,CROW CREEK SIOUX TRIBE,0011-0,CCST ELEMENTARY,56.35%,,62.16%,Y,173,97
sd,0870200,CROW CREEK SIOUX TRIBE,0015,CCST ALTERNATIVE SCHOOL,94.44%,,62.16%,Y,16,15
sd,6400200,DUPREE SCHOOL DISTRICT 64-2,0001-9,DUPREE HIGH SCHOOL,28.00%,,42.40%,Y,80,22
sd,6400200,DUPREE SCHOOL DISTRICT 64-2,0002-7,DUPREE ELEMENTARY,48.62%,,42.40%,Y,224,109
sd,6400200,DUPREE SCHOOL DISTRICT 64-2,0004-1,DUPREE JUNIOR HIGH,34.48%,,42.40%,Y,71,24
sd,4920300,EAST DAKOTA EDUCATIONAL COOPERATIVE,0001-10,TEACHWELL ACADEMY HIGH SCHOOL (0912),11.29%,,,N,,
sd,4920300,EAST DAKOTA EDUCATIONAL COOPERATIVE,0003-7,TEACHWELL THRIVE,0.00%,,,N,,
sd,4920300,EAST DAKOTA EDUCATIONAL COOPERATIVE,0004-2,TEACHWELL ACADEMY MIDDLE SCHOOL (0608),35.71%,,,N,28,10
sd,4920300,EAST DAKOTA EDUCATIONAL COOPERATIVE,0009-3,TEACHWELL ELEMENTARY AND INTERMEDIATE (KG05),22.22%,,,N,,
sd,1830100,ENEMY SWIM DAY SCHOOL,0001-11,ENEMY SWIM DAY SCHOOL,55.63%,,62.86%,Y,140,78
sd,5030100,FLANDREAU INDIAN SCHOOL,0001-12,FLANDREAU INDIAN HIGH SCHOOL,26.92%,,62.75%,Y,102,27
sd,2800300,HAMLIN SCHOOL DISTRICT 28-3,0001-13,HAMLIN HIGH SCHOOL,5.48%,,,N,,
sd,2800300,HAMLIN SCHOOL DISTRICT 28-3,0002-8,HAMLIN MIDDLE SCHOOL,5.24%,,,N,,
sd,2800300,HAMLIN SCHOOL DISTRICT 28-3,0004-3,HAMLIN ELEMENTARY,8.67%,,,N,,
sd,2800300,HAMLIN SCHOOL DISTRICT 28-3,0005-3,CO-OP AT HAMLIN,30.00%,,,N,10,3
sd,1400200,HENRY SCHOOL DISTRICT 14-2,0001-14,HENRY HIGH SCHOOL (0912),7.94%,,,N,,
sd,1400200,HENRY SCHOOL DISTRICT 14-2,0002-9,HENRY ELEMENTARY (PK05),23.17%,,,N,,
sd,1400200,HENRY SCHOOL DISTRICT 14-2,0003-8,HENRY MIDDLE SCHOOL (0608),31.71%,,,N,41,13
sd,0200200,HURON SCHOOL DISTRICT 02-2,0001-15,HURON HIGH SCHOOL,32.49%,,,N,748,243
sd,0200200,HURON SCHOOL DISTRICT 02-2,0002-10,HURON MIDDLE SCHOOL,37.16%,,,N,689,256
sd,0200200,HURON SCHOOL DISTRICT 02-2,0003-9,BUCHANAN K-1 CENTER,43.47%,,,N,444,193
sd,0200200,HURON SCHOOL DISTRICT 02-2,0006-2,MADISON 2-3 CENTER,43.14%,,,N,452,195
sd,0200200,HURON SCHOOL DISTRICT 02-2,0008-0,WASHINGTON 4-5 CENTER,38.82%,,,N,456,177
sd,0200200,HURON SCHOOL DISTRICT 02-2,0021,HOLY TRINITY SCHOOL (KG05),17.24%,,,N,,
sd,6530700,ISNA WICA OWAYAWA,0001-16,ISNA WICA OWAYAWA,65.46%,,70.12%,Y,251,164
sd,3500200,KADOKA AREA SCHOOL DISTRICT 35-2,0001-17,KADOKA AREA HIGH SCHOOL,8.33%,,,N,,
sd,3500200,KADOKA AREA SCHOOL DISTRICT 35-2,0002-11,KADOKA ELEMENTARY,30.40%,,,N,125,38
sd,3500200,KADOKA AREA SCHOOL DISTRICT 35-2,0003-10,KADOKA MIDDLE SCHOOL,15.09%,,,N,,
sd,3500200,KADOKA AREA SCHOOL DISTRICT 35-2,0009-4,INTERIOR ELEMENTARY,33.33%,,,N,36,12
sd,3500200,KADOKA AREA SCHOOL DISTRICT 35-2,0011-1,MIDLAND ELEMENTARY,20.00%,,,N,,
sd,1530300,LITTLE EAGLE SCHOOL DISTRICT,0001-18,LITTLE EAGLE GRANT SCHOOL,90.77%,,89.23%,Y,65,59
sd,6530600,LITTLE WOUND SCHOOL SYSTEM,0001-19,LITTLE WOUND HIGH SCHOOL (0912),44.68%,,64.12%,Y,188,84
sd,6530600,LITTLE WOUND SCHOOL SYSTEM,0002-12,LITTLE WOUND ELEMENTARY (KG05),64.58%,,64.12%,Y,269,174
sd,6530600,LITTLE WOUND SCHOOL SYSTEM,0003-11,LITTLE WOUND MIDDLE SCHOOL (0608),65.55%,,64.12%,Y,118,77
sd,6530600,LITTLE WOUND SCHOOL SYSTEM,0004-4,LITTLE WOUND ALTERNATIVE HIGH SCHOOL (0912),56.52%,,64.12%,Y,112,63
sd,6530600,LITTLE WOUND SCHOOL SYSTEM,0005-4,LITTLE WOUND ALTERNATIVE MIDDLE SCHOOL (0608),65.63%,,64.12%,Y,32,21
sd,4270200,LOWER BRULE SIOUX TRIBE ,0001-20,LOWER BRULE ELEMENTARY,76.72%,,65.59%,Y,115,88
sd,4270200,LOWER BRULE SIOUX TRIBE ,0002-13,LOWER BRULE HIGH SCHOOL (0912),60.00%,,65.59%,Y,94,56
sd,4270200,LOWER BRULE SIOUX TRIBE ,0003-12,LOWER BRULE JUNIOR HIGH (0608),52.17%,,65.59%,Y,70,37
sd,4200100,LYMAN SCHOOL DISTRICT 42-1,0001-21,LYMAN HIGH SCHOOL (0912),12.22%,,,N,,
sd,4200100,LYMAN SCHOOL DISTRICT 42-1,0002-14,LYMAN MIDDLE SCHOOL (0608),17.39%,,,N,,
sd,4200100,LYMAN SCHOOL DISTRICT 42-1,0004-5,KENNEBEC ELEMENTARY (PK05),30.26%,,,N,195,59
sd,1130100,MARTY INDIAN SCHOOL,0001-22,MARTY ELEMENTARY,76.06%,,65.98%,Y,68,52
sd,1130100,MARTY INDIAN SCHOOL,0002-15,MARTY HIGH SCHOOL,52.50%,,65.98%,Y,75,39
sd,1130100,MARTY INDIAN SCHOOL,0003-13,MARTY MIDDLE SCHOOL,68.52%,,65.98%,Y,51,35
sd,1500100,MCINTOSH SCHOOL DISTRICT 15-1,0001-23,MCINTOSH HIGH SCHOOL (0912),43.75%,,50.94%,Y,51,22
sd,1500100,MCINTOSH SCHOOL DISTRICT 15-1,0002-16,MCINTOSH ELEMENTARY (PK04),76.39%,,50.94%,Y,65,50
sd,1500100,MCINTOSH SCHOOL DISTRICT 15-1,0003-14,MCINTOSH MIDDLE SCHOOL (0508),40.91%,,50.94%,Y,43,18
sd,1500200,MCLAUGHLIN SCHOOL DISTRICT 15-2,0001-24,MCLAUGHLIN HIGH SCHOOL,64.90%,,67.71%,Y,151,98
sd,1500200,MCLAUGHLIN SCHOOL DISTRICT 15-2,0002-17,MCLAUGHLIN ELEMENTARY,66.18%,,67.71%,Y,203,134
sd,1500200,MCLAUGHLIN SCHOOL DISTRICT 15-2,0003-15,MCLAUGHLIN JUNIOR HIGH,69.23%,,67.71%,Y,106,73
sd,1700200,MITCHELL SCHOOL DISTRICT 17-2,0001-25,MITCHELL HIGH SCHOOL,11.51%,,,N,,
sd,1700200,MITCHELL SCHOOL DISTRICT 17-2,0002-18,MITCHELL MIDDLE SCHOOL,18.46%,,,N,,
sd,1700200,MITCHELL SCHOOL DISTRICT 17-2,0003-16,L B WILLIAMS ELEMENTARY,16.55%,,,N,,
sd,1700200,MITCHELL SCHOOL DISTRICT 17-2,0004-6,GERTIE BELLE ROGERS ELEMENTARY,21.46%,,,N,,
sd,1700200,MITCHELL SCHOOL DISTRICT 17-2,0005-5,LONGFELLOW ELEMENTARY,34.46%,,,N,325,112
sd,6200600,MOBRIDGE-POLLOCK SCHOOL DISTRICT,0001-26,MOBRIDGE HIGH SCHOOL,18.05%,,,N,,
sd,6200600,MOBRIDGE-POLLOCK SCHOOL DISTRICT,0002-19,MOBRIDGE MIDDLE SCHOOL,20.69%,,,N,,
sd,6200600,MOBRIDGE-POLLOCK SCHOOL DISTRICT,0003-17,FREEMAN DAVIS ELEMENTARY,31.18%,,,N,186,58
sd,6200600,MOBRIDGE-POLLOCK SCHOOL DISTRICT,0004-7,MOBRIDGE UPPER ELEMENTARY,25.95%,,,N,,
sd,2300300,OELRICHS SCHOOL DISTRICT 23-3,0001-27,OELRICHS HIGH SCHOOL,59.65%,,60.17%,Y,52,31
sd,2300300,OELRICHS SCHOOL DISTRICT 23-3,0002-20,OELRICHS ELEMENTARY,47.83%,,60.17%,Y,45,22
sd,2300300,OELRICHS SCHOOL DISTRICT 23-3,0003-18,OELRICHS JUNIOR HIGH,85.71%,,60.17%,Y,21,18
sd,6500100,OGLALA LAKOTA COUNTY SCHOOL DISTRICT ,0001-28,BATESLAND SCHOOL,63.40%,,63.87%,Y,161,102
sd,6500100,OGLALA LAKOTA COUNTY SCHOOL DISTRICT ,0002-21,WOLF CREEK SCHOOL,64.62%,,63.87%,Y,706,456
sd,6500100,OGLALA LAKOTA COUNTY SCHOOL DISTRICT ,0003-19,ROCKYFORD SCHOOL,64.18%,,63.87%,Y,450,289
sd,6500100,OGLALA LAKOTA COUNTY SCHOOL DISTRICT ,0004-8,RED SHIRT SCHOOL,49.46%,,63.87%,Y,86,43
sd,6500100,OGLALA LAKOTA COUNTY SCHOOL DISTRICT ,0010-1,LAKOTA TECH HIGH SCHOOL,50.14%,,63.87%,Y,331,166
sd,6500100,OGLALA LAKOTA COUNTY SCHOOL DISTRICT ,0092,OGLALA LAKOTA COUNTY VIRTUAL HIGH SCHOOL,53.72%,,63.87%,Y,115,62
sd,3230100,PIERRE INDIAN LEARNING CENTER,0001-29,PIERRE INDIAN ELEMENTARY (0105),37.50%,,63.04%,Y,49,18
sd,3230100,PIERRE INDIAN LEARNING CENTER,0002-22,PIERRE INDIAN MIDDLE SCHOOL (0608),60.87%,,63.04%,Y,43,26
sd,6531100,PINE RIDGE SCHOOL,0009-5,PINE RIDGE ELEMENTARY (KG05),59.89%,,59.28%,Y,181,108
sd,6531100,PINE RIDGE SCHOOL,0010-2,PINE RIDGE HIGH SCHOOL (0912),59.63%,,59.28%,Y,104,62
sd,6531100,PINE RIDGE SCHOOL,0011-2,PINE RIDGE MIDDLE SCHOOL (0608),53.64%,,59.28%,Y,243,130
sd,6530300,PORCUPINE CONTRACT SCHOOL,0001-30,PORCUPINE ELEMENTARY,68.15%,,68.80%,Y,125,85
sd,5100400,RAPID CITY AREA SCHOOL DISTRICT 51-4,0001-31,GENERAL BEADLE ELEMENTARY (PK05),0.70%,,56.52%,Y,479,3
sd,5100400,RAPID CITY AREA SCHOOL DISTRICT 51-4,0003-20,BLACK HAWK ELEMENTARY (KG05),17.03%,,,N,,
sd,5100400,RAPID CITY AREA SCHOOL DISTRICT 51-4,0004-9,CANYON LAKE ELEMENTARY (PK05),27.48%,,,N,393,108
sd,5100400,RAPID CITY AREA SCHOOL DISTRICT 51-4,0006-3,GRANDVIEW ELEMENTARY (KG05),20.85%,,,N,,
sd,5100400,RAPID CITY AREA SCHOOL DISTRICT 51-4,0007-2,HORACE MANN ELEMENTARY (KG05),63.87%,,56.52%,Y,269,172
sd,5100400,RAPID CITY AREA SCHOOL DISTRICT 51-4,0008-1,KNOLLWOOD HEIGHTS ELEMENTARY (KG05),68.18%,,56.52%,Y,368,251
sd,5100400,RAPID CITY AREA SCHOOL DISTRICT 51-4,0010-3,MEADOWBROOK ELEMENTARY (KG05),10.45%,,,N,,
sd,5100400,RAPID CITY AREA SCHOOL DISTRICT 51-4,0012,RAPID VALLEY ELEMENTARY (PK05),23.94%,,,N,,
sd,5100400,RAPID CITY AREA SCHOOL DISTRICT 51-4,0013,VALLEY VIEW ELEMENTARY (KG05),23.24%,,,N,,
sd,5100400,RAPID CITY AREA SCHOOL DISTRICT 51-4,0014,ROBBINSDALE ELEMENTARY (PK05),46.78%,,56.52%,Y,391,183
sd,5100400,RAPID CITY AREA SCHOOL DISTRICT 51-4,0015-0,SOUTH CANYON ELEMENTARY (KG05),16.96%,,,N,,
sd,5100400,RAPID CITY AREA SCHOOL DISTRICT 51-4,0016,SOUTH PARK ELEMENTARY (KG05),46.18%,,56.52%,Y,288,133
sd,5100400,RAPID CITY AREA SCHOOL DISTRICT 51-4,0017,WOODROW WILSON ELEMENTARY (KG05),27.03%,,,N,,
sd,5100400,RAPID CITY AREA SCHOOL DISTRICT 51-4,0019,PINEDALE ELEMENTARY (KG05),5.38%,,,N,,
sd,5100400,RAPID CITY AREA SCHOOL DISTRICT 51-4,0021-0,CORRAL DRIVE ELEMENTARY (KG05),2.83%,,,N,,
sd,5100400,RAPID CITY AREA SCHOOL DISTRICT 51-4,0030,EAST MIDDLE SCHOOL (0608),21.48%,,,N,,
sd,5100400,RAPID CITY AREA SCHOOL DISTRICT 51-4,0035,NORTH MIDDLE SCHOOL (0608),52.34%,,56.52%,Y,489,256
sd,5100400,RAPID CITY AREA SCHOOL DISTRICT 51-4,0036,SOUTH MIDDLE SCHOOL (0608),28.64%,,,N,604,173
sd,5100400,RAPID CITY AREA SCHOOL DISTRICT 51-4,0037,WEST MIDDLE SCHOOL (0608),15.28%,,,N,,
sd,5100400,RAPID CITY AREA SCHOOL DISTRICT 51-4,0038,SOUTHWEST MIDDLE SCHOOL (0608),6.90%,,,N,,
sd,5100400,RAPID CITY AREA SCHOOL DISTRICT 51-4,0041,CENTRAL HIGH SCHOOL (0912),22.73%,,,N,1764,401
sd,5100400,RAPID CITY AREA SCHOOL DISTRICT 51-4,0042,STEVENS HIGH SCHOOL (0912),7.27%,,,N,,
sd,5100400,RAPID CITY AREA SCHOOL DISTRICT 51-4,0045,RAPID CITY HIGH SCHOOL (0912),31.48%,,,N,305,96
sd,6530100,RED CLOUD INDIAN SCHOOL,0001-32,RED CLOUD ELEMENTARY,24.72%,,,N,,
sd,6530100,RED CLOUD INDIAN SCHOOL,0002-23,RED CLOUD HIGH SCHOOL,28.07%,,,N,,
sd,6530100,RED CLOUD INDIAN SCHOOL,0003-21,OUR LADY OF LOURDES ELEMENTARY,32.98%,,,N,94,31
sd,4900500,SIOUX FALLS SCHOOL DISTRICT 49-5,0001-33,WASHINGTON HIGH SCHOOL,19.46%,,,N,,
sd,4900500,SIOUX FALLS SCHOOL DISTRICT 49-5,0002-24,LINCOLN HIGH SCHOOL,11.50%,,,N,,
sd,4900500,SIOUX FALLS SCHOOL DISTRICT 49-5,0003-22,ROOSEVELT HIGH SCHOOL,15.53%,,,N,,
sd,4900500,SIOUX FALLS SCHOOL DISTRICT 49-5,0004-10,MEMORIAL MIDDLE SCHOOL,11.11%,,,N,,
sd,4900500,SIOUX FALLS SCHOOL DISTRICT 49-5,0006-4,EDISON MIDDLE SCHOOL,20.13%,,,N,,
sd,4900500,SIOUX FALLS SCHOOL DISTRICT 49-5,0007-3,PATRICK HENRY MIDDLE SCHOOL,16.72%,,,N,,
sd,4900500,SIOUX FALLS SCHOOL DISTRICT 49-5,0008-2,WHITTIER MIDDLE SCHOOL,40.36%,,,N,731,295
sd,4900500,SIOUX FALLS SCHOOL DISTRICT 49-5,0009-6,GEORGE MCGOVERN MIDDLE SCHOOL,34.84%,,,N,729,254
sd,4900500,SIOUX FALLS SCHOOL DISTRICT 49-5,0010-4,LAURA B ANDERSON ELEMENTARY,41.48%,,,N,364,151
sd,4900500,SIOUX FALLS SCHOOL DISTRICT 49-5,0011-3,TERRY REDLIN ELEMENTARY,49.79%,,,N,472,235
sd,4900500,SIOUX FALLS SCHOOL DISTRICT 49-5,0012-0,STRUCTURED TEACHING (@ AXTELL),53.85%,,,N,26,14
sd,4900500,SIOUX FALLS SCHOOL DISTRICT 49-5,0014-0,CLEVELAND ELEMENTARY,44.97%,,,N,487,219
sd,4900500,SIOUX FALLS SCHOOL DISTRICT 49-5,0015-1,ROSA PARKS ELEMENTARY,26.55%,,,N,,
sd,4900500,SIOUX FALLS SCHOOL DISTRICT 49-5,0016-0,EUGENE FIELD ELEMENTARY,18.13%,,,N,,
sd,4900500,SIOUX FALLS SCHOOL DISTRICT 49-5,0017-0,R F PETTIGREW ELEMENTARY,15.15%,,,N,,
sd,4900500,SIOUX FALLS SCHOOL DISTRICT 49-5,0018,ROBERT FROST ELEMENTARY (PK05),19.49%,,,N,,
sd,4900500,SIOUX FALLS SCHOOL DISTRICT 49-5,0019-0,GARFIELD ELEMENTARY,51.06%,,,N,611,312
sd,4900500,SIOUX FALLS SCHOOL DISTRICT 49-5,0020,ANNE SULLIVAN ELEMENTARY,35.84%,,,N,639,229
sd,4900500,SIOUX FALLS SCHOOL DISTRICT 49-5,0023,JOHN HARRIS ELEMENTARY,8.45%,,,N,,
sd,4900500,SIOUX FALLS SCHOOL DISTRICT 49-5,0026,DISCOVERY ELEMENTARY (PK05),10.43%,,,N,,
sd,4900500,SIOUX FALLS SCHOOL DISTRICT 49-5,0028,LOWELL ELEMENTARY,46.07%,,,N,382,176
sd,4900500,SIOUX FALLS SCHOOL DISTRICT 49-5,0031,LAURA WILDER ELEMENTARY,35.39%,,,N,469,166
sd,4900500,SIOUX FALLS SCHOOL DISTRICT 49-5,0038-0,HAYWARD ELEMENTARY,42.31%,,,N,702,297
sd,4900500,SIOUX FALLS SCHOOL DISTRICT 49-5,0039,SUCCESS ACADEMY,28.57%,,,N,21,6
sd,4900500,SIOUX FALLS SCHOOL DISTRICT 49-5,0042-0,RENBERG ELEMENTARY,28.57%,,,N,,
sd,4900500,SIOUX FALLS SCHOOL DISTRICT 49-5,0043,ELEMENTARY IMMERSION CENTER (KG05),48.21%,,,N,56,27
