state,District Code,District Name,School Code,School Name,individual_isp,proxy_isp,claiming_isp,participating_in_cep,total_enrolled,total_eligible
tn,051,Alcoa City,0005,Alcoa Elementary,,30.36%,,N,527,
tn,051,Alcoa City,0006,Alcoa Middle,,23.47%,,N,,
tn,051,Alcoa City,0010,Alcoa High,,17.54%,,N,,
tn,051,Alcoa City,0012,Alcoa Intermediate School,,24.78%,,N,,
tn,010,Anderson County,0002,Anderson County High School,,22.59%,,N,,
tn,010,Anderson County,0005-0,Andersonville Elementary,,23.58%,59.53%,Y,256,
tn,010,Anderson County,0010-0,Briceville Elementary,,41.59%,59.53%,Y,78,
tn,010,Anderson County,0015,Claxton Elementary,,35.61%,59.53%,Y,424,
tn,010,Anderson County,0020,Clinton Middle High,,36.26%,59.53%,Y,391,
tn,010,Anderson County,0025,Clinton High School,,29.70%,59.53%,Y,754,
tn,010,Anderson County,0035,Dutch Valley Elementary,,45.36%,59.53%,Y,79,
tn,010,Anderson County,0040,Fairview Elementary,,21.94%,59.53%,Y,237,
tn,010,Anderson County,0046,Grand Oaks Elementary,,32.42%,59.53%,Y,206,
tn,010,Anderson County,0050,Lake City Elementary,,45.70%,59.53%,Y,307,
tn,010,Anderson County,0055,Lake City Middle School,,42.75%,59.53%,Y,188,
tn,010,Anderson County,0070,Norris Elementary,,14.90%,,N,,
tn,010,Anderson County,0075,Norris Middle,,22.94%,59.53%,Y,303,
tn,010,Anderson County,0080,Norwood Elementary,,39.34%,59.53%,Y,211,
tn,010,Anderson County,0085,Norwood Middle,,39.88%,59.53%,Y,106,
tn,010,Anderson County,0105,Clinch River Community School,,60.00%,59.53%,Y,55,
tn,541,Athens City,0005-1,Athens City Middle School,,31.64%,46.84%,Y,353,
tn,541,Athens City,0010-1,City Park Elementary,,40.85%,46.84%,Y,306,
tn,541,Athens City,0020-0,Ingleside Elementary,,36.17%,46.84%,Y,304,
tn,541,Athens City,0025-0,North City Elementary,,37.04%,46.84%,Y,209,
tn,541,Athens City,0030,Westside Elementary,,37.00%,46.84%,Y,267,
tn,020,Bedford County,0012-0,Cascade Elementary,,19.65%,42.42%,Y,607,
tn,020,Bedford County,0013,Cascade High School,,12.50%,42.42%,Y,482,
tn,020,Bedford County,0015-0,Eakin Elementary,,45.91%,42.42%,Y,635,
tn,020,Bedford County,0017,Cascade Middle School,,16.94%,42.42%,Y,350,
tn,020,Bedford County,0020-1,Central High School,,33.42%,42.42%,Y,755,
tn,020,Bedford County,0025-1,Harris Middle,,41.15%,42.42%,Y,935,
tn,020,Bedford County,0033,Community Elementary,,29.26%,42.42%,Y,600,
tn,020,Bedford County,0035-0,Community High School,,22.28%,42.42%,Y,498,
