state,District Code,District Name,School Code,School Name,individual_isp,proxy_isp,claiming_isp,participating_in_cep,total_enrolled,total_eligible
ut,UZ,ANETH COMMUNITY SCHOOL,UZ-1,ANETH COMMUNITY SCHOOL,,61.17%,60.00%,Y,105,
ut,2,BEAVER SCHOOL DISTRICT,02-704,BEAVER HIGH,,4.64%,,N,,
ut,2,BEAVER SCHOOL DISTRICT,02-99,BEAVER LIBRARY HEAD START,,100.00%,,N,11,
ut,2,BEAVER SCHOOL DISTRICT,02-104,BELKNAP ELEMENTARY,,9.68%,,N,,
ut,2,BEAVER SCHOOL DISTRICT,02-108,MILFORD ELEMENTARY,,6.55%,,N,,
ut,2,BEAVER SCHOOL DISTRICT,02-708,MILFORD HIGH,,6.10%,,N,,
ut,2,BEAVER SCHOOL DISTRICT,02-112,MINERSVILLE SCHOOL,,6.15%,,N,,
ut,42,CANYONS SCHOOL DISTRICT,42-401,ALBION MIDDLE,,2.40%,,N,,
ut,42,CANYONS SCHOOL DISTRICT,42-702,ALTA HIGH,,2.51%,,N,,
ut,42,CANYONS SCHOOL DISTRICT,42-104,ALTA VIEW ELEMENTARY,,6.72%,,N,,
ut,42,CANYONS SCHOOL DISTRICT,42-103,ALTARA ELEMENTARY,,6.33%,,N,,
ut,42,CANYONS SCHOOL DISTRICT,42-105,BELL VIEW ELEMENTARY,,7.01%,,N,,
ut,42,CANYONS SCHOOL DISTRICT,42-106,BELLA VISTA ELEMENTARY,,6.49%,,N,,
ut,42,CANYONS SCHOOL DISTRICT,42-705,BRIGHTON HIGH,,3.17%,,N,,
ut,42,CANYONS SCHOOL DISTRICT,42-107,BROOKWOOD ELEMENTARY,,1.67%,,N,,
ut,42,CANYONS SCHOOL DISTRICT,42-108,BUTLER ELEMENTARY,,4.67%,,N,,
ut,42,CANYONS SCHOOL DISTRICT,42-402,BUTLER MIDDLE,,4.43%,,N,,
ut,42,CANYONS SCHOOL DISTRICT,42-110,CANYON VIEW ELEMENTARY,,3.35%,,N,,
ut,42,CANYONS SCHOOL DISTRICT,42-112,COPPERVIEW ELEMENTARY,,58.97%,54.57%,Y,446,
ut,42,CANYONS SCHOOL DISTRICT,42-711,CORNER CANYON HIGH SCHOOL,,1.37%,,N,,
ut,42,CANYONS SCHOOL DISTRICT,42-116,CRESCENT ELEMENTARY,,6.43%,,N,,
ut,42,CANYONS SCHOOL DISTRICT,42-750,DIAMOND RIDGE,,11.70%,,N,,
ut,42,CANYONS SCHOOL DISTRICT,42-120,DRAPER ELEMENTARY,,2.76%,,N,,
ut,42,CANYONS SCHOOL DISTRICT,42-407,DRAPER PARK MIDDLE,,1.96%,,N,,
ut,42,CANYONS SCHOOL DISTRICT,42-122,EAST MIDVALE ELEMENTARY,,53.65%,54.57%,Y,589,
ut,42,CANYONS SCHOOL DISTRICT,42-123,EAST SANDY ELEMENTARY,,8.03%,,N,,
ut,42,CANYONS SCHOOL DISTRICT,42-403,EASTMONT MIDDLE,,6.02%,,N,,
ut,42,CANYONS SCHOOL DISTRICT,42-124,EDGEMONT ELEMENTARY,,11.99%,,N,,
ut,42,CANYONS SCHOOL DISTRICT,42-130,GRANITE ELEMENTARY,,3.01%,,N,,
ut,42,CANYONS SCHOOL DISTRICT,42-706,HILLCREST HIGH,,15.69%,,N,,
ut,42,CANYONS SCHOOL DISTRICT,42-405,INDIAN HILLS MIDDLE,,2.65%,,N,,
ut,42,CANYONS SCHOOL DISTRICT,42-708,JORDAN HIGH,,6.71%,,N,,
ut,42,CANYONS SCHOOL DISTRICT,42-810,JORDAN VALLEY SCHOOL,,6.19%,,N,,
ut,42,CANYONS SCHOOL DISTRICT,42-135,LONE PEAK ELEMENTARY,,0.96%,,N,,
ut,42,CANYONS SCHOOL DISTRICT,42-140,MIDVALE ELEMENTARY,,58.57%,54.57%,Y,799,
ut,42,CANYONS SCHOOL DISTRICT,42-404,MIDVALE MIDDLE,,52.16%,54.57%,Y,903,
ut,42,CANYONS SCHOOL DISTRICT,42-144,MIDVALLEY ELEMENTARY,,48.67%,54.57%,Y,413,
ut,42,CANYONS SCHOOL DISTRICT,42-408,MOUNT  JORDAN,,10.57%,,N,,
ut,42,CANYONS SCHOOL DISTRICT,42-143,OAK HOLLOW ELEMENTARY,,1.24%,,N,,
ut,42,CANYONS SCHOOL DISTRICT,42-149,OAKDALE ELEMENTARY,,4.56%,,N,,
ut,42,CANYONS SCHOOL DISTRICT,42-155,PARK LANE ELEMENTARY,,4.66%,,N,,
ut,42,CANYONS SCHOOL DISTRICT,42-150,PERUVIAN PARK ELEMENTARY,,7.31%,,N,,
ut,42,CANYONS SCHOOL DISTRICT,42-154,QUAIL HOLLOW ELEMENTARY,,3.98%,,N,,
ut,42,CANYONS SCHOOL DISTRICT,42-151,RIDGECREST ELEMENTARY,,9.02%,,N,,
ut,42,CANYONS SCHOOL DISTRICT,42-156,SANDY ELEMENTARY,,15.78%,,N,,
ut,42,CANYONS SCHOOL DISTRICT,42-158,SILVER MESA ELEMENTARY,,4.90%,,N,,
ut,42,CANYONS SCHOOL DISTRICT,42-164,SPRUCEWOOD ELEMENTARY,,4.56%,,N,,
ut,42,CANYONS SCHOOL DISTRICT,42-159,SUNRISE ELEMENTARY,,2.51%,,N,,
ut,42,CANYONS SCHOOL DISTRICT,42-410,UNION MIDDLE,,9.34%,,N,,
ut,42,CANYONS SCHOOL DISTRICT,42-174,WILLOW CANYON ELEMENTARY,,5.41%,,N,,
ut,42,CANYONS SCHOOL DISTRICT,42-178,WILLOW SPRINGS ELEMENTARY,,5.72%,,N,,
ut,5,CARBON SCHOOL DISTRICT,05-110,BRUIN POINT ELEMENTARY,,29.37%,,N,,
ut,5,CARBON SCHOOL DISTRICT,05-704,CARBON HIGH,,13.70%,,N,,
ut,5,CARBON SCHOOL DISTRICT,05-112,CASTLE HEIGHTS ELEMENTARY,,17.29%,,N,,
ut,5,CARBON SCHOOL DISTRICT,05-801,CASTLE VALLEY CENTER,,29.07%,,N,,
ut,5,CARBON SCHOOL DISTRICT,05-114,CREEKVIEW ELEMENTARY,,15.00%,,N,,
ut,5,CARBON SCHOOL DISTRICT,05-408,HELPER MIDDLE,,19.50%,,N,,
