state,District Code,District Name,School Code,School Name,individual_isp,proxy_isp,claiming_isp,participating_in_cep,total_enrolled,total_eligible
vt,P002,Burr and Burton Academy,0133,Burr and Burton Academy,6.34%,,,N,,
vt,P003,Lyndon Institute,0464,Lyndon Institute,20.09%,,,N,,
vt,P004,St. Johnsbury Academy,0778,St. Johnsbury Academy,22.89%,,,N,,
vt,R029,"Vermont Permanency Initiative, Inc.",0909,Vermont Permanency Initiative,100.00%,,,N,,
vt,R053,The Village School of North Bennington,0854,The Village School of North Bennington,19.01%,,,N,,
vt,R111,"Laraway School, Inc.",0426,Laraway School,73.33%,,54.84%,Y,31,23
vt,R152,Rice Memorial High School,0675,Rice Memorial High School,5.63%,,,N,,
vt,R186,Vermont Achievement Center,0908,Vermont Achievement Center,40.00%,,51.76%,Y,85,34
vt,R205,VT Org for Jewish Education,0823,Tamim Academy,0.00%,,,N,,
vt,R342,New England Kurn Hattin Homes,0555,New England Kurn Hattin Homes,24.44%,,,N,,
vt,R496,Windsor County Youth Services ,0537,Mountain Side House,0.00%,,,N,,
vt,R528,Washington County Mental Health Services Inc.,0189,Choice Academy,62.50%,,55.77%,Y,52,32
vt,R594,United Christian Academy  ,0896,United Christian Academy  ,0.00%,,,N,,
vt,R614,Northeastern Family Institute,0033,Arlington School,100.00%,,54.44%,Y,28,28
vt,R614,Northeastern Family Institute,0211,Cornerstone School,100.00%,,54.44%,Y,43,43
vt,R614,Northeastern Family Institute,0867,Turning Points School,100.00%,,54.44%,Y,19,19
vt,R618,St. Francis Xavier,0776,St. Francis Xavier School,3.94%,,,N,,
vt,R722,Bishop John A. Marshall School,0088,Bishop John A. Marshall School,18.54%,,,N,,
vt,R820,The Compass School  ,0830,The Compass School,0.00%,,,N,,
vt,R855,Grace Christian School,0327,Grace Christian School,12.88%,,,N,,
vt,R881,Christ the King School,1007,Christ the King School,2.11%,,,N,,
vt,S005,Southwest Vermont SU,0032,Arlington Memorial High School,25.12%,,48.48%,Y,207,52
vt,S005,Southwest Vermont SU,0070,Bennington Elementary School,66.82%,,48.48%,Y,211,141
vt,S005,Southwest Vermont SU,0248,Early Education Program,65.22%,,48.48%,Y,13,8
vt,S005,Southwest Vermont SU,0295,Fisher Elementary School,28.02%,,48.48%,Y,205,57
vt,S005,Southwest Vermont SU,0515,Molly Stark School,61.67%,,48.48%,Y,329,203
vt,S005,Southwest Vermont SU,0524,Monument Elementary School,36.89%,,48.48%,Y,120,44
vt,S005,Southwest Vermont SU,0534,Mount Anthony Union Middle School,50.18%,,48.48%,Y,553,277
vt,S005,Southwest Vermont SU,0543,Mt. Anthony UHS #14,45.90%,,48.48%,Y,877,403
vt,S005,Southwest Vermont SU,0605,OnPoint Elementary at Congress St.,66.67%,,48.48%,Y,17,11
vt,S005,Southwest Vermont SU,0648,Pownal Elementary School,54.55%,,48.48%,Y,219,119
vt,S005,Southwest Vermont SU,0714,Sacred Heart School,11.31%,,48.48%,Y,173,20
vt,S005,Southwest Vermont SU,0733,Shaftsbury Elementary School,29.70%,,48.48%,Y,205,61
vt,S005,Southwest Vermont SU,0992,Woodford Hollow School,80.95%,,48.48%,Y,21,17
vt,S006,Bennington-Rutland SU,0231,Currier Memorial School,47.30%,,55.06%,Y,89,42
vt,S006,Bennington-Rutland SU,0299,Flood Brook School,17.96%,,,N,,
vt,S006,Bennington-Rutland SU,0473,Manchester Elementary/Middle School,26.58%,,,N,,
vt,S006,Bennington-Rutland SU,0490,Mettawee Community UD #47,30.22%,,,N,,
vt,S006,Bennington-Rutland SU,0807,Sunderland Elementary School,10.71%,,,N,,
vt,S006,Bennington-Rutland SU,0831,The Dorset School,14.67%,,,N,,
vt,S009,Caledonia Central SU,0045,Barnet Elementary School - OPEN,23.31%,,,N,,
vt,S009,Caledonia Central SU,0137,Cabot School,23.43%,,,N,,
vt,S009,Caledonia Central SU,0233,Danville School - OPEN,15.76%,,,N,,
vt,S009,Caledonia Central SU,0632,Peacham Elementary School,5.97%,,,N,,
vt,S009,Caledonia Central SU,0877,Twinfield Union School,29.51%,,,N,,
vt,S009,Caledonia Central SU,0919,Walden School,24.32%,,,N,,
vt,S009,Caledonia Central SU,0931,Waterford Elementary School - OPEN,14.57%,,,N,,
vt,S019,Essex North SU,0153,Canaan Schools,20.11%,,,N,,
vt,S020,Franklin Northeast SU,0041,Bakersfield Elementary School,26.67%,,40.59%,Y,147,39
vt,S020,Franklin Northeast SU,0076,Berkshire Elementary School,38.59%,,40.59%,Y,202,78
vt,S020,Franklin Northeast SU,0265,Enosburg Elementary School,46.67%,,40.59%,Y,280,131
vt,S020,Franklin Northeast SU,0268,Enosburg Middle/High School,29.44%,,,N,,
vt,S020,Franklin Northeast SU,0518,Montgomery Elementary,22.07%,,,N,,
vt,S020,Franklin Northeast SU,0676,Richford Elementary School,59.02%,,40.59%,Y,208,123
vt,S020,Franklin Northeast SU,0677,Richford High School,52.49%,,40.59%,Y,294,154
vt,S020,Franklin Northeast SU,0736,Sheldon Elementary School,22.47%,,40.59%,Y,335,75
vt,S022,Franklin West SU,0065,Bellows Free Academy - Fairfax,14.14%,,,N,,
vt,S022,Franklin West SU,0297,Fletcher Elementary School,6.36%,,,N,,
vt,S022,Franklin West SU,0316,Georgia Elementary and Middle School,9.62%,,,N,,
vt,S024,Grand Isle SU,0018,Alburgh Community Education Center,48.72%,,40.35%,Y,201,98
vt,S024,Grand Isle SU,0304,Folsom Education & Community Center,11.81%,,,N,,
vt,S024,Grand Isle SU,0328,Grand Isle School,28.17%,,40.35%,Y,146,41
vt,S024,Grand Isle SU,0580,North Hero School,30.43%,,,N,,
vt,S025,Lamoille North SU,0142,Cambridge Elementary School,21.21%,,,N,,
vt,S025,Lamoille North SU,0255,Eden Central School,47.29%,,41.45%,Y,118,56
vt,S025,Lamoille North SU,0384,Hyde Park Elementary School,38.10%,,,N,,
vt,S025,Lamoille North SU,0402,Johnson Elementary School,31.05%,,41.45%,Y,227,70
vt,S025,Lamoille North SU,0423,Lamoille UHS #18,25.70%,,,N,,
vt,S025,Lamoille North SU,0934,Waterville Elementary School,33.80%,,,N,,
vt,S027,Orange East SU,0092,Blue Mountain Union School,34.16%,,,N,,
vt,S027,Orange East SU,0101,Bradford Elementary School,25.10%,,,N,,
vt,S027,Orange East SU,0563,Newbury Elementary School,24.04%,,,N,,
vt,S027,Orange East SU,0626,Oxbow UHSD #30,18.72%,,,N,,
vt,S027,Orange East SU,0857,Thetford Elementary School,12.81%,,,N,,
vt,S027,Orange East SU,0917,Waits River Union #36,27.65%,,,N,,
vt,S030,White River Valley Supervisory Union,0081,Bethel School,26.09%,,,N,,
vt,S030,White River Valley Supervisory Union,0179,Chelsea Public School,24.17%,,,N,,
vt,S030,White River Valley Supervisory Union,0569,Newton Elementary School,17.35%,,,N,,
vt,S030,White River Valley Supervisory Union,0695,Rochester School,32.97%,,,N,,
vt,S030,White River Valley Supervisory Union,0734,Sharon Elementary School,18.95%,,,N,,
vt,S030,White River Valley Supervisory Union,0753,South Royalton School,23.10%,,,N,,
vt,S030,White River Valley Supervisory Union,0794,Stockbridge Central School,17.50%,,,N,,
vt,S030,White River Valley Supervisory Union,0865,Tunbridge Central School,31.11%,,,N,,
vt,S030,White River Valley Supervisory Union,1926,The Sharon Academy,0.00%,,,N,,
vt,S030,White River Valley Supervisory Union,1942,East Valley Academy,0.00%,,,N,,
vt,S031,North Country SU,0113,Brighton Elementary School,39.86%,,42.82%,Y,127,51
