state,District Code,District Name,School Code,School Name,individual_isp,proxy_isp,claiming_isp,participating_in_cep,total_enrolled,total_eligible
wa,159885,Aberdeen School District,660734,A J West Elementary,67.95%,,54.44%,Y,298,202
wa,159885,Aberdeen School District,660729,Central Park Elementary,36.43%,,56.12%,Y,133,48
wa,159885,Aberdeen School District,660727,Harbor Junior/Senior High School,60.95%,,54.44%,Y,91,55
wa,159885,Aberdeen School District,659099,Hopkins Elementary,87.61%,,54.44%,Y,138,121
wa,159885,Aberdeen School District,662627,J M Weatherwax High School,45.37%,,54.44%,Y,913,414
wa,159885,Aberdeen School District,660731,McDermoth Elementary,48.45%,,59.52%,Y,267,129
wa,159885,Aberdeen School District,660728,Miller Junior High,52.84%,,56.12%,Y,782,413
wa,159885,Aberdeen School District,660730,Robert Gray Elementary,72.41%,,56.12%,Y,270,196
wa,159885,Aberdeen School District,664405,Stevens Elementary School,69.52%,,59.52%,Y,358,249
wa,159323,Adna School District,661767,Adna Elementary School,15.06%,,,N,259,39
wa,159323,Adna School District,661768,Adna Middle/High School,15.18%,,,N,369,56
wa,159890,Almira School District,662017,Almira Elementary School,25.00%,,,N,140,35
wa,159979,Anacortes School District,660518,Anacortes High School,17.39%,,,N,742,129
wa,159979,Anacortes School District,660519,Anacortes Middle School,25.98%,,,N,585,152
wa,159979,Anacortes School District,664490,Cap Sante High School,46.43%,,46.43%,Y,84,39
wa,159979,Anacortes School District,660520,Fidalgo Elementary,27.49%,,,N,342,94
wa,159979,Anacortes School District,660521,Island View Elementary,21.81%,,,N,431,94
wa,159979,Anacortes School District,660522,Mount Erie Elementary,25.90%,,,N,332,86
wa,159297,Arlington School District,660576,Arlington High School,24.01%,,,N,1612,387
wa,159297,Arlington School District,660581,Eagle Creek Elementary,29.87%,,,N,616,184
wa,159297,Arlington School District,663603,Haller Middle School,27.30%,,,N,564,154
wa,159297,Arlington School District,660582,Kent Prairie Elementary,37.91%,,,N,670,254
wa,159297,Arlington School District,662479,Pioneer Elementary,26.53%,,,N,505,134
wa,159297,Arlington School District,660579,Post Middle School,34.18%,,,N,632,216
wa,159297,Arlington School District,660580,Presidents Elementary,30.80%,,,N,539,166
wa,159297,Arlington School District,664798,Stillaguamish Valley Learning Center,31.12%,,,N,241,75
wa,159297,Arlington School District,660577,Weston High School,44.55%,,45.79%,Y,107,48
wa,159297,Arlington School District,665109,Northwest Regional ESD (fomerly NW Reg. Center),,,54.05%,Y,37,
wa,159585,Asotin-Anatone School District,661110,Asotin Elementary,17.88%,,,N,302,54
wa,159585,Asotin-Anatone School District,661111,Asotin Jr Sr High,16.03%,,,N,312,50
wa,159935,Auburn School District,663202,Alpac Elementary School,44.39%,,44.66%,Y,502,223
wa,159935,Auburn School District,664080,Arthur Jacobsen Elementary,34.43%,,44.66%,Y,292,101
wa,159935,Auburn School District,663145,Auburn Mountainview High School,33.44%,,44.66%,Y,1812,606
wa,159935,Auburn School District,664728,Auburn Riverside High School,23.69%,,44.66%,Y,1547,366
wa,159935,Auburn School District,663747,Auburn Senior High School,39.05%,,44.66%,Y,1775,693
wa,159935,Auburn School District,686428,Bowman Creek Elementary,22.84%,,44.66%,Y,364,83
wa,159935,Auburn School District,663212,Cascade Middle School,42.63%,,44.66%,Y,908,387
wa,159935,Auburn School District,663148,Chinook Elementary School,49.90%,,44.66%,Y,408,204
wa,159935,Auburn School District,663131,Dick Scobee Elementary School,64.10%,,44.66%,Y,659,422
wa,159935,Auburn School District,664702,Evergreen Heights Elementary,32.26%,,44.66%,Y,367,118
wa,159935,Auburn School District,663742,Gildo Rey Elementary School,51.98%,,44.66%,Y,310,161
wa,159935,Auburn School District,663861,Hazelwood Elementary School,29.30%,,44.66%,Y,426,125
wa,159935,Auburn School District,664082,Ilalko Elementary School,40.47%,,44.66%,Y,405,164
wa,159935,Auburn School District,660938,Lake View Elementary School,29.29%,,44.66%,Y,345,101
wa,159935,Auburn School District,664081,Lakeland Hills Elementary,22.49%,,44.66%,Y,474,107
wa,159935,Auburn School District,663194,Lea Hill Elementary School,64.01%,,44.66%,Y,447,286
wa,159935,Auburn School District,663821,Mt Baker Middle School,29.51%,,44.66%,Y,984,290
wa,159935,Auburn School District,663146,Olympic Middle School,44.92%,,44.66%,Y,902,405
wa,159935,Auburn School District,663147,Pioneer Elementary School,52.97%,,44.66%,Y,473,251
wa,159935,Auburn School District,663173,Rainier Middle School,37.94%,,44.66%,Y,940,357
wa,159935,Auburn School District,663172,Terminal Park Elementary School,56.93%,,44.66%,Y,282,161
wa,159935,Auburn School District,663580,Washington Elementary School,47.30%,,44.66%,Y,391,185
wa,159935,Auburn School District,663560,West Auburn Senior High School,56.48%,,44.66%,Y,8,5
wa,159935,Auburn School District,687088,Willow Crest Elementary School,,,44.66%,Y,397,
wa,159310,Bainbridge Island School District,661453,Bainbridge High School,6.44%,,,N,1273,82
wa,159310,Bainbridge Island School District,661455,Capt Johnston Blakely Elem Sch,3.06%,,,N,360,11
wa,159310,Bainbridge Island School District,661457,Capt. Charles Wilkes Elem School,2.91%,,,N,344,10
wa,159310,Bainbridge Island School District,661459,Eagle Harbor High School,15.25%,,,N,118,18
wa,159310,Bainbridge Island School District,661456,Ordway Elementary,7.12%,,,N,351,25
wa,159310,Bainbridge Island School District,661458,Sakai Intermediate,4.07%,,,N,467,19
wa,159310,Bainbridge Island School District,661454,Woodward Middle School,6.67%,,,N,480,32
