state,District Code,District Name,School Code,School Name,individual_isp,proxy_isp,claiming_isp,participating_in_cep,total_enrolled,total_eligible
wi,100007,Abbotsford School District,20,Abbotsford Elementary,,45.67%,,N,381,
wi,100007,Abbotsford School District,40,Abbotsford Jr. and Sr. High,,38.67%,,N,406,
wi,409870,Academy of Excellence,854,Academy of Excellence - North,87.35%,,80.49%,Y,332,290
wi,409870,Academy of Excellence,1652,Academy of Excellence - South,76.44%,,80.49%,Y,331,253
wi,409870,Academy of Excellence,853,Academy of Excellence- Windlake,80.16%,,80.49%,Y,126,101
wi,10014,Adams-Friendship School District,130,Adams-Friendship Elementary,61.78%,,57.75%,Y,450,278
wi,10014,Adams-Friendship School District,40-0,Adams-Friendship High School,51.58%,,57.75%,Y,444,229
wi,10014,Adams-Friendship School District,210,Adams-Friendship Middle School,60.00%,,57.75%,Y,415,249
wi,230063,Albany School District,20-0,Albany El,,29.93%,,N,137,
wi,230063,Albany School District,40-1,Albany Hi,,17.50%,,N,120,
wi,230063,Albany School District,60,Albany Mid,,19.18%,,N,73,
wi,310070,Algoma School District,20-1,Algoma El,,42.21%,,N,353,
wi,310070,Algoma School District,40-2,Algoma Jr/Sr High School,,37.86%,,N,280,
wi,310070,Algoma School District,400,Algoma Venture Academy,,27.59%,,N,29,
wi,247118,All Saints Catholic Congregation,190,All Saints Catholic School,,15.97%,,N,144,
wi,347552,All Saints Catholic School,4700,All Saints Catholic School,,9.77%,,N,215,
wi,305370,All Saints Catholic School,1624,All Saints Catholic School,,7.56%,,N,397,
wi,57006,All Saints School,1294,All Saints Grade School,,22.22%,,N,18,
wi,270091,Alma Center School District,80,Lincoln El,,46.69%,,N,332,
wi,270091,Alma Center School District,60-0,Lincoln Jr/Sr High School,,44.18%,,N,249,
wi,60084,Alma School District,20-2,Alma El,,29.55%,,N,176,
wi,60084,Alma School District,40-3,Alma Hi,,25.76%,,N,66,
wi,490105,Almond-Bancroft School District,20-3,Almond-Bancroft Elementary,,40.98%,,N,183,
wi,490105,Almond-Bancroft School District,40-4,Almond-Bancroft High School,,32.23%,,N,121,
wi,490105,Almond-Bancroft School District,250,Almond-Bancroft Middle School,,23.88%,,N,67,
wi,180112,Altoona School District,80-0,Altoona Elementary School,,30.53%,,N,655,
wi,180112,Altoona School District,40-5,Altoona Hi,,24.15%,,N,530,
wi,180112,Altoona School District,100,ALTOONA INTERMEDIATE,,28.94%,,N,273,
wi,180112,Altoona School District,60-1,Altoona Mid,,31.28%,,N,422,
wi,480119,Amery School District,40-6,Amery High School,,25.97%,,N,489,
wi,480119,Amery School District,50,Amery Intermediate,,33.96%,,N,268,
wi,480119,Amery School District,60-2,Amery Middle,,33.45%,,N,299,
wi,480119,Amery School District,20-4,Lien Elementary,,40.59%,,N,404,
wi,340140,Antigo Unified School District,70,Antigo Hi,,41.02%,43.37%,Y,837,
wi,340140,Antigo Unified School District,50-0,Antigo Mid,,53.32%,59.64%,Y,499,
wi,340140,Antigo Unified School District,100-0,East El,,49.05%,59.64%,Y,157,
wi,340140,Antigo Unified School District,180,North El,,68.93%,59.64%,Y,207,
wi,340140,Antigo Unified School District,280,West El,,62.71%,59.64%,Y,180,
wi,440147,Appleton Area School District,155,Appleton Bilingual School,,29.66%,47.42%,Y,117,
wi,440147,Appleton Area School District,145,Appleton Public Montessori School,,19.70%,,N,132,
wi,440147,Appleton Area School District,490,Appleton Technical Academy,,26.67%,,N,75,
wi,440147,Appleton Area School District,60-3,Badger El,50.00%,,47.42%,Y,318,159
wi,440147,Appleton Area School District,220,Berry El,,13.21%,,N,386,
wi,440147,Appleton Area School District,110,Classical Charter Sch,,10.73%,,N,466,
wi,440147,Appleton Area School District,80-1,Columbus El,74.17%,,47.42%,Y,146,108
wi,440147,Appleton Area School District,20-5,East Hi,,25.57%,,N,1525,
wi,440147,Appleton Area School District,100-1,Edison El,,40.16%,47.42%,Y,252,
wi,440147,Appleton Area School District,120,Einstein Mid,,18.41%,,N,527,
wi,440147,Appleton Area School District,130-0,Ferber El,,23.83%,,N,575,
wi,440147,Appleton Area School District,450,Fox Cities Leadership Academy,,16.92%,,N,65,
wi,440147,Appleton Area School District,135,Fox River Academy,,13.98%,,N,93,
wi,440147,Appleton Area School District,160,Franklin El,,43.60%,47.42%,Y,296,
wi,440147,Appleton Area School District,180-0,Highlands El,49.35%,,52.35%,Y,554,273
wi,440147,Appleton Area School District,190-0,Horizons Elementary,45.62%,,47.42%,Y,316,144
wi,440147,Appleton Area School District,195,Houdini El,,22.56%,,N,532,
wi,440147,Appleton Area School District,200,Huntley El,,24.41%,,N,676,
