state,District Code,District Name,School Code,School Name,individual_isp,proxy_isp,claiming_isp,participating_in_cep,total_enrolled,total_eligible
wv,50740,BARBOUR CO BD OF EDUCATION,2201,BELINGTON ELEMENTARY,59.17%,,59.17%,Y,289,171
wv,50740,BARBOUR CO BD OF EDUCATION,2302,BELINGTON MIDDLE SCH,45.11%,,45.11%,Y,266,120
wv,50740,BARBOUR CO BD OF EDUCATION,2202,JUNIOR ELEMENTARY,52.43%,,52.43%,Y,103,54
wv,50740,BARBOUR CO BD OF EDUCATION,2101,KASSON ELEM. & MIDDL,46.74%,,46.74%,Y,184,86
wv,50740,BARBOUR CO BD OF EDUCATION,2501,PHILIP BARBOUR HIGH,43.69%,,43.69%,Y,611,267
wv,50740,BARBOUR CO BD OF EDUCATION,2204,PHILIPPI ELEMENTARY,58.67%,,58.67%,Y,392,230
wv,50740,BARBOUR CO BD OF EDUCATION,2303,PHILIPPI MIDDLE SCHO,58.42%,,58.42%,Y,303,177
wv,50741,BERKELEY CO BD OF EDUCATION,4201,BACK CREEK VALLEY,43.40%,,54.49%,Y,159,69
wv,50741,BERKELEY CO BD OF EDUCATION,4202,BEDINGTON ELEMENTARY,46.24%,,54.49%,Y,186,86
wv,50741,BERKELEY CO BD OF EDUCATION,4203,BERKELEY HEIGHTS SCH,65.55%,,54.49%,Y,746,489
wv,50741,BERKELEY CO BD OF EDUCATION,4204,BUNKER HILL ELEMENTA,42.27%,,54.49%,Y,414,175
wv,50741,BERKELEY CO BD OF EDUCATION,4205,BURKE STREET ELEM SC,59.05%,,54.49%,Y,337,199
wv,50741,BERKELEY CO BD OF EDUCATION,4218,EAGLE SCHOOL INTERME,61.69%,,54.49%,Y,723,446
wv,50741,BERKELEY CO BD OF EDUCATION,4206,GERRARDSTOWN ELEMENT,49.21%,,54.49%,Y,254,125
wv,50741,BERKELEY CO BD OF EDUCATION,4502,MARTINSBURG HIGH SCH,50.25%,,54.49%,Y,1385,696
wv,50741,BERKELEY CO BD OF EDUCATION,4303,MARTINSBURG SOUTH MI,55.84%,,54.49%,Y,856,478
wv,50741,BERKELEY CO BD OF EDUCATION,4302,MARTINSBURG NORTH MI,60.86%,,54.49%,Y,700,426
wv,50741,BERKELEY CO BD OF EDUCATION,4220,MOUNTAIN RIDGE INTER,43.34%,,54.49%,Y,586,254
wv,50741,BERKELEY CO BD OF EDUCATION,4210,OPEQUON ELEMENTARY S,54.34%,,54.49%,Y,449,244
wv,50741,BERKELEY CO BD OF EDUCATION,4219,ORCHARD VIEW INTERME,57.94%,,54.49%,Y,554,321
wv,50741,BERKELEY CO BD OF EDUCATION,4211,ROSEMONT ELEMENTARY,43.88%,,54.49%,Y,433,190
wv,50741,BERKELEY CO BD OF EDUCATION,4212,TUSCARORA ELEM SCHOO,60.06%,,54.49%,Y,358,215
wv,50741,BERKELEY CO BD OF EDUCATION,4214,WINCHESTER AVENUE,60.71%,,54.49%,Y,364,221
wv,50742,BOONE CO BD OF EDUCATION,6201,ASHFORD-RUMBLE ELEME,72.13%,,59.25%,Y,122,88
wv,50742,BOONE CO BD OF EDUCATION,6220,BROOKVIEW ELEMENTARY,61.83%,,59.25%,Y,317,196
wv,50742,BOONE CO BD OF EDUCATION,6207,MADISON ELEMENTARY,56.88%,,59.25%,Y,276,157
wv,50742,BOONE CO BD OF EDUCATION,6301,MADISON MIDDLE SCHOO,60.71%,,59.25%,Y,420,255
wv,50742,BOONE CO BD OF EDUCATION,6212,RAMAGE GRADE SCHOOL,71.50%,,59.25%,Y,200,143
wv,50742,BOONE CO BD OF EDUCATION,6501,SCOTT HIGH SCHOOL,53.07%,,59.25%,Y,554,294
wv,50742,BOONE CO BD OF EDUCATION,6219,SHERMAN ELEMENTARY,63.37%,,59.25%,Y,243,154
wv,50742,BOONE CO BD OF EDUCATION,6502,SHERMAN HIGH SCHOOL,53.72%,,59.25%,Y,592,318
wv,50742,BOONE CO BD OF EDUCATION,6215,VAN ELEMENTARY,70.29%,,59.25%,Y,138,97
wv,50742,BOONE CO BD OF EDUCATION,6503,VAN JUNIOR SENIOR HI,58.15%,,59.25%,Y,184,107
wv,50742,BOONE CO BD OF EDUCATION,6102,WHITESVILLE ELEMENTA,55.24%,,59.25%,Y,105,58
wv,50743,BRAXTON CO BD OF EDUCATION,8501,BRAXTON COUNTY HIGH,47.55%,,57.67%,Y,511,243
wv,50743,BRAXTON CO BD OF EDUCATION,8303,BRAXTON COUNTY MIDDL,58.08%,,57.67%,Y,396,230
wv,50743,BRAXTON CO BD OF EDUCATION,8101,BURNSVILLE SCHOOL,64.00%,,57.67%,Y,125,80
wv,50743,BRAXTON CO BD OF EDUCATION,8201,DAVIS ELEMENTARY,56.90%,,57.67%,Y,174,99
wv,50743,BRAXTON CO BD OF EDUCATION,8202,FLATWOODS ELEMENTARY,65.56%,,57.67%,Y,180,118
wv,50743,BRAXTON CO BD OF EDUCATION,8203,FRAMETOWN ELEMENTARY,55.88%,,57.67%,Y,136,76
wv,50743,BRAXTON CO BD OF EDUCATION,8204,LITTLE BIRCH ELEM.,75.00%,,57.67%,Y,88,66
wv,50743,BRAXTON CO BD OF EDUCATION,8205,SUTTON ELEMENTARY SC,68.15%,,57.67%,Y,157,107
wv,50744,BROOKE CO BD OF EDUCATION,10502,BROOKE HIGH SCHOOL,39.00%,,45.31%,Y,1023,399
wv,50744,BROOKE CO BD OF EDUCATION,10208,BROOKE PRIMARY SCHOOL NORTH,53.10%,,45.31%,Y,258,137
wv,50744,BROOKE CO BD OF EDUCATION,10209,BROOKE PRIMARY SOUTH,57.14%,,45.31%,Y,203,116
wv,50744,BROOKE CO BD OF EDUCATION,10210,BROOKE INTERMEDIATE NORTH,50.27%,,45.31%,Y,183,92
wv,50744,BROOKE CO BD OF EDUCATION,10304,BROOKE MIDDLE SCHOOL,45.62%,,45.31%,Y,765,349
wv,50744,BROOKE CO BD OF EDUCATION,10211,BROOKE INTERMEDIATE SOUTH,52.34%,,45.31%,Y,128,67
wv,50745,CABELL CO BD OF EDUCATION,12203,ALTIZER ELEMENTARY,59.17%,,51.54%,Y,240,142
wv,50745,CABELL CO BD OF EDUCATION,12301,BARBOURSVILLE MIDDLE,38.96%,,51.54%,Y,711,277
wv,50745,CABELL CO BD OF EDUCATION,12550,CABELL MIDLAND HIGH,34.95%,,51.54%,Y,1734,606
wv,50745,CABELL CO BD OF EDUCATION,12290,CENTRAL CITY ELEMENT,89.07%,,51.54%,Y,439,391
wv,50745,CABELL CO BD OF EDUCATION,12218,COX LANDING ELEMENTA,58.10%,,51.54%,Y,210,122
wv,50745,CABELL CO BD OF EDUCATION,12221,CULLODEN ELEMENTARY,43.64%,,51.54%,Y,220,96
wv,50745,CABELL CO BD OF EDUCATION,12224,DAVIS CREEK ELEMENTA,39.60%,,51.54%,Y,202,80
wv,50745,CABELL CO BD OF EDUCATION,12236,GUYANDOTTE ELEMENTAR,79.92%,,51.54%,Y,239,191
wv,50745,CABELL CO BD OF EDUCATION,12239,HIGHLAWN ELEMENTARY,71.95%,,51.54%,Y,303,218
wv,50745,CABELL CO BD OF EDUCATION,12242,HITE-SAUNDERS ELEMEN,40.11%,,51.54%,Y,187,75
wv,50745,CABELL CO BD OF EDUCATION,12560,HUNTINGTON HIGH SCHO,55.31%,,51.54%,Y,1620,896
wv,50745,CABELL CO BD OF EDUCATION,12310,HUNTINGTON MIDDLE,60.32%,,51.54%,Y,678,409
wv,50745,CABELL CO BD OF EDUCATION,12251,MARTHA ELEMENTARY,40.39%,,51.54%,Y,203,82
wv,50745,CABELL CO BD OF EDUCATION,12254,MEADOWS ELEMENTARY,48.40%,,51.54%,Y,250,121
wv,50745,CABELL CO BD OF EDUCATION,12263,MILTON ELEMENTARY,52.64%,,51.54%,Y,587,309
wv,50745,CABELL CO BD OF EDUCATION,12308,MILTON MIDDLE SCHOOL,39.59%,,51.54%,Y,581,230
wv,50745,CABELL CO BD OF EDUCATION,12269,NICHOLS ELEMENTARY,38.03%,,51.54%,Y,234,89
wv,50745,CABELL CO BD OF EDUCATION,12272,ONA ELEMENTARY,36.24%,,51.54%,Y,287,104
wv,50745,CABELL CO BD OF EDUCATION,12285,SALT ROCK ELEMENTARY,45.78%,,51.54%,Y,225,103
wv,50745,CABELL CO BD OF EDUCATION,12292,SOUTHSIDE ELEMENTARY,45.92%,,51.54%,Y,453,208
wv,50745,CABELL CO BD OF EDUCATION,12287,SPRING HILL ELEMENTA,85.07%,,51.54%,Y,375,319
wv,50745,CABELL CO BD OF EDUCATION,12291,VILLAGE OF BARBOURSV,38.70%,,51.54%,Y,664,257
wv,50745,CABELL CO BD OF EDUCATION,12701,CABELL COUNTY CAREER TECHNOLOGY CENTER,100.00%,,51.54%,Y,1,1
wv,50745,CABELL CO BD OF EDUCATION,12502,CROSSROADS ACADEMY,65.00%,,51.54%,Y,80,52
wv,50745,CABELL CO BD OF EDUCATION,12311,HUNTINGTON EAST MIDDLE ,69.21%,,51.54%,Y,604,418
wv,50745,CABELL CO BD OF EDUCATION,12227,EXPLORER ACADAMY,60.94%,,51.54%,Y,448,273
wv,50746,CALHOUN CO BD OF EDUCATION,14201,ARNOLDSBURG ELEMENTA,59.88%,,62.50%,Y,172,103
wv,50746,CALHOUN CO BD OF EDUCATION,14501,CALHOUN MIDDLE HIGH,61.03%,,62.50%,Y,503,307
wv,50746,CALHOUN CO BD OF EDUCATION,14203,PLEASANT HILL SCHOOL,74.72%,,62.50%,Y,178,133
wv,50747,CLAY CO BD OF EDUCATION,16209,BIG OTTER ELEMENTARY,66.15%,,62.50%,Y,192,127
wv,50747,CLAY CO BD OF EDUCATION,16202,CLAY ELEMENTARY,75.23%,,62.50%,Y,331,249
wv,50747,CLAY CO BD OF EDUCATION,16501,CLAY HIGH SCHOOL,60.74%,,62.50%,Y,517,314
wv,50747,CLAY CO BD OF EDUCATION,16301,CLAY MIDDLE SCHOOL,66.00%,,62.50%,Y,403,266
wv,50747,CLAY CO BD OF EDUCATION,16208,H.E. WHITE ELEMENTAR,75.61%,,62.50%,Y,82,62
wv,50747,CLAY CO BD OF EDUCATION,16205,LIZEMORE ELEMENTARY,67.86%,,62.50%,Y,112,76
wv,50748,DODDRIDGE CO BD OF EDUCATION,18501,DODDRIDGE CO. HIGH S,42.26%,,49.63%,Y,310,131
wv,50748,DODDRIDGE CO BD OF EDUCATION,18301,DODDRIDGE CO. MIDDLE,51.03%,,49.63%,Y,339,173
wv,50748,DODDRIDGE CO BD OF EDUCATION,18211,DODDRIDGE CO.ELEMENT,51.91%,,49.63%,Y,366,190
wv,50748,DODDRIDGE CO BD OF EDUCATION,18212,DODDRIDGE COUNTY PRESCHOOL CENTER,62.34%,,49.63%,Y,77,48
